"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",0.0508130081300784,-7.98319327731093,54.9586776859504,-4.7085201793722,-6.77966101694915,-3.00546448087431,-4.46808510638298,4.59999999999999,0,-2.1276595744681,250,-2.20713073005093,0,0,250,2.07253886010366,"E","Dorm. N","Curitiba","Hyp.","C10","01"
"year1",0.301962757926534,6.95652173913043,-164.893617021277,-3.10122878876535,-1.29403306973401,-1.4460511679644,3.06748466257669,-12.2047244094488,1.25348189415041,0,157.894736842105,3.64779874213836,0,3.41880341880341,157.894736842105,-3.66713681241186,"E","Dorm. S","Curitiba","Hyp.","C10","01"
"year2",0.104643557880962,-2.45040840140024,3.98058252427184,-9.33767643865363,-14.6171693735499,-19.7095435684647,0.670241286863271,-1.65649520488231,-0.64102564102565,-3.32640332640333,NA,1.56946826758147,0,0.934579439252333,NA,-1.49213239283777,"E","Living","Curitiba","Hyp.","C10","01"
"year3",0.100351229302553,-11.036036036036,51.4910536779324,-17.8082191780822,-0.63091482649842,3.96039603960396,-4.71124620060792,-16.4893617021277,-0.114678899082562,-9,NA,-2.72560696289509,0,0,NA,2.51884172947242,"NE","Dorm. 1","Curitiba","Hyp.","C10","01"
"year4",0.0756238971515027,-17.5287356321839,53.6541889483066,-4.21245421245422,-1.63934426229508,-15.3564899451554,-6.36942675159236,9.32642487046632,-0.467289719626175,-8.42105263157895,NA,-3.53059177532598,0,-0.666666666666664,NA,3.24380885943496,"NE","Dorm. 2","Curitiba","Hyp.","C10","01"
"year5",0.0888550393500946,0.145560407569147,-45.3263707571802,-4.15676959619953,-5.48885077186963,NA,-19.438444924406,0.143781452192679,-0.281425891181999,-5.28571428571429,NA,6.46565520773318,0,2.63157894736842,NA,-5.72902813979467,"NE","Living","Curitiba","Hyp.","C10","01"
"year6",0.0250941028858275,-16.7042889390519,58.869395711501,1.53550863723608,-1.85758513931888,8.68421052631578,-5.95419847328245,4.22832980972516,-0.574052812858783,6.25000000000001,NA,-5.41629364368845,0,-0.621118012422347,NA,4.93203883495146,"NW","Dorm. 1","Curitiba","Hyp.","C10","01"
"year7",0.0504159314343304,-23.2758620689655,61.6755793226381,4.40771349862259,-2.85714285714285,5.64102564102565,-7.87234042553192,8.98876404494383,-0.93457943925235,8.6021505376344,NA,-6.28387873920898,0,-1.33333333333333,NA,5.67190226876091,"NW","Dorm. 2","Curitiba","Hyp.","C10","01"
"year8",0.0253871541000312,-5.92520641087908,31.2957157784744,1.6904761904762,-0.0858369098712397,5.32374100719425,-9.32754880694144,NA,-0.937207122774133,4.31654676258993,NA,-3.78797590052557,0,-1.05263157894736,NA,3.17375792108205,"NW","Living","Curitiba","Hyp.","C10","01"
"year9",0.323061630218691,7.02151755379389,-45.2205882352941,-10.2040816326531,-2.46252676659529,-15.0214592274678,3.96551724137931,-8.11808118081182,0.831600831600829,-10.3448275862069,NA,3.57464704115349,0,2.04081632653061,NA,-3.53483606557376,"SE","Dorm. 1","Curitiba","Hyp.","C10","01"
"year10",0.325243932949715,6.03085553997195,-26.2135922330097,-67.7215189873418,-3.23767476085357,-9.97067448680353,3.65853658536585,-9.77777777777778,0.414078674948231,-12.7272727272727,NA,3.41089370703331,100,2.14285714285715,NA,-3.34161210205462,"SE","Dorm. 2","Curitiba","Hyp.","C10","01"
"year11",0.164619475750279,0.330812854442352,-24.7563352826511,-35.5932203389831,-8.31769856160099,NA,-2.58620689655173,-11.5436241610738,-0.783475783475779,-9.69387755102042,NA,5.45622973598888,25,2.16216216216215,NA,-4.94485428383608,"SE","Living","Curitiba","Hyp.","C10","01"
