"","val","var","sim","dwel","room","weather"
"2",393.8,"int_conv_he","Base","E","Dorm. N","Curitiba"
"3",398.6,"int_conv_he","Base","E","Dorm. S","Curitiba"
"4",765.3,"int_conv_he","Base","E","Living","Curitiba"
"5",399,"int_conv_he","Base","NE","Dorm. 1","Curitiba"
"6",397,"int_conv_he","Base","NE","Dorm. 2","Curitiba"
"7",788.5,"int_conv_he","Base","NE","Living","Curitiba"
"8",398.6,"int_conv_he","Base","NW","Dorm. 1","Curitiba"
"9",396.9,"int_conv_he","Base","NW","Dorm. 2","Curitiba"
"10",788,"int_conv_he","Base","NW","Living","Curitiba"
"11",403.7,"int_conv_he","Base","SE","Dorm. 1","Curitiba"
"12",401,"int_conv_he","Base","SE","Dorm. 2","Curitiba"
"13",791,"int_conv_he","Base","SE","Living","Curitiba"
"14",403.4,"int_conv_he","Base","SW","Dorm. 1","Curitiba"
"15",401,"int_conv_he","Base","SW","Dorm. 2","Curitiba"
"16",791,"int_conv_he","Base","SW","Living","Curitiba"
"17",392.5,"int_conv_he","Base","W","Dorm. N","Curitiba"
"18",396.5,"int_conv_he","Base","W","Dorm. S","Curitiba"
"19",765,"int_conv_he","Base","W","Living","Curitiba"
"20",383,"int_conv_he","Base","E","Dorm. N","Rio de Janeiro"
"21",383.3,"int_conv_he","Base","E","Dorm. S","Rio de Janeiro"
"22",761.3,"int_conv_he","Base","E","Living","Rio de Janeiro"
"23",392.8,"int_conv_he","Base","NE","Dorm. 1","Rio de Janeiro"
"24",392.9,"int_conv_he","Base","NE","Dorm. 2","Rio de Janeiro"
"25",785.8,"int_conv_he","Base","NE","Living","Rio de Janeiro"
"26",392.8,"int_conv_he","Base","NW","Dorm. 1","Rio de Janeiro"
"27",392.9,"int_conv_he","Base","NW","Dorm. 2","Rio de Janeiro"
"28",785.7,"int_conv_he","Base","NW","Living","Rio de Janeiro"
"29",393.3,"int_conv_he","Base","SE","Dorm. 1","Rio de Janeiro"
"30",393.3,"int_conv_he","Base","SE","Dorm. 2","Rio de Janeiro"
"31",786.7,"int_conv_he","Base","SE","Living","Rio de Janeiro"
"32",393.3,"int_conv_he","Base","SW","Dorm. 1","Rio de Janeiro"
"33",393.3,"int_conv_he","Base","SW","Dorm. 2","Rio de Janeiro"
"34",786.7,"int_conv_he","Base","SW","Living","Rio de Janeiro"
"35",382.8,"int_conv_he","Base","W","Dorm. N","Rio de Janeiro"
"36",383.2,"int_conv_he","Base","W","Dorm. S","Rio de Janeiro"
"37",761.6,"int_conv_he","Base","W","Living","Rio de Janeiro"
"38",386.3,"int_conv_he","Base","E","Dorm. N","São Paulo"
"39",388.5,"int_conv_he","Base","E","Dorm. S","São Paulo"
"40",762.5,"int_conv_he","Base","E","Living","São Paulo"
"41",394.5,"int_conv_he","Base","NE","Dorm. 1","São Paulo"
"42",394,"int_conv_he","Base","NE","Dorm. 2","São Paulo"
"43",787,"int_conv_he","Base","NE","Living","São Paulo"
"44",394.4,"int_conv_he","Base","NW","Dorm. 1","São Paulo"
"45",394,"int_conv_he","Base","NW","Dorm. 2","São Paulo"
"46",786.8,"int_conv_he","Base","NW","Living","São Paulo"
"47",395.7,"int_conv_he","Base","SE","Dorm. 1","São Paulo"
"48",394.7,"int_conv_he","Base","SE","Dorm. 2","São Paulo"
"49",787.7,"int_conv_he","Base","SE","Living","São Paulo"
"50",395.6,"int_conv_he","Base","SW","Dorm. 1","São Paulo"
"51",394.7,"int_conv_he","Base","SW","Dorm. 2","São Paulo"
"52",787.7,"int_conv_he","Base","SW","Living","São Paulo"
"53",385.9,"int_conv_he","Base","W","Dorm. N","São Paulo"
"54",387.8,"int_conv_he","Base","W","Dorm. S","São Paulo"
"55",762.8,"int_conv_he","Base","W","Living","São Paulo"
"56",393.6,"int_conv_he","Simp.","E","Dorm. N","Curitiba"
"57",397.4,"int_conv_he","Simp.","E","Dorm. S","Curitiba"
"58",764.5,"int_conv_he","Simp.","E","Living","Curitiba"
"59",398.6,"int_conv_he","Simp.","NE","Dorm. 1","Curitiba"
"60",396.7,"int_conv_he","Simp.","NE","Dorm. 2","Curitiba"
"61",787.8,"int_conv_he","Simp.","NE","Living","Curitiba"
"62",398.5,"int_conv_he","Simp.","NW","Dorm. 1","Curitiba"
"63",396.7,"int_conv_he","Simp.","NW","Dorm. 2","Curitiba"
"64",787.8,"int_conv_he","Simp.","NW","Living","Curitiba"
"65",402.4,"int_conv_he","Simp.","SE","Dorm. 1","Curitiba"
"66",399.7,"int_conv_he","Simp.","SE","Dorm. 2","Curitiba"
"67",789.7,"int_conv_he","Simp.","SE","Living","Curitiba"
"68",402.1,"int_conv_he","Simp.","SW","Dorm. 1","Curitiba"
"69",399.7,"int_conv_he","Simp.","SW","Dorm. 2","Curitiba"
"70",789.7,"int_conv_he","Simp.","SW","Living","Curitiba"
"71",392.5,"int_conv_he","Simp.","W","Dorm. N","Curitiba"
"72",395.6,"int_conv_he","Simp.","W","Dorm. S","Curitiba"
"73",764.3,"int_conv_he","Simp.","W","Living","Curitiba"
"74",383,"int_conv_he","Simp.","E","Dorm. N","Rio de Janeiro"
"75",383.3,"int_conv_he","Simp.","E","Dorm. S","Rio de Janeiro"
"76",761.2,"int_conv_he","Simp.","E","Living","Rio de Janeiro"
"77",392.8,"int_conv_he","Simp.","NE","Dorm. 1","Rio de Janeiro"
"78",392.9,"int_conv_he","Simp.","NE","Dorm. 2","Rio de Janeiro"
"79",785.7,"int_conv_he","Simp.","NE","Living","Rio de Janeiro"
"80",392.8,"int_conv_he","Simp.","NW","Dorm. 1","Rio de Janeiro"
"81",392.9,"int_conv_he","Simp.","NW","Dorm. 2","Rio de Janeiro"
"82",785.7,"int_conv_he","Simp.","NW","Living","Rio de Janeiro"
"83",393.2,"int_conv_he","Simp.","SE","Dorm. 1","Rio de Janeiro"
"84",393.2,"int_conv_he","Simp.","SE","Dorm. 2","Rio de Janeiro"
"85",786.6,"int_conv_he","Simp.","SE","Living","Rio de Janeiro"
"86",393.2,"int_conv_he","Simp.","SW","Dorm. 1","Rio de Janeiro"
"87",393.2,"int_conv_he","Simp.","SW","Dorm. 2","Rio de Janeiro"
"88",786.6,"int_conv_he","Simp.","SW","Living","Rio de Janeiro"
"89",382.8,"int_conv_he","Simp.","W","Dorm. N","Rio de Janeiro"
"90",383.1,"int_conv_he","Simp.","W","Dorm. S","Rio de Janeiro"
"91",761.5,"int_conv_he","Simp.","W","Living","Rio de Janeiro"
"92",386,"int_conv_he","Simp.","E","Dorm. N","São Paulo"
"93",387.6,"int_conv_he","Simp.","E","Dorm. S","São Paulo"
"94",762.5,"int_conv_he","Simp.","E","Living","São Paulo"
"95",394.3,"int_conv_he","Simp.","NE","Dorm. 1","São Paulo"
"96",393.9,"int_conv_he","Simp.","NE","Dorm. 2","São Paulo"
"97",786.9,"int_conv_he","Simp.","NE","Living","São Paulo"
"98",394.3,"int_conv_he","Simp.","NW","Dorm. 1","São Paulo"
"99",393.9,"int_conv_he","Simp.","NW","Dorm. 2","São Paulo"
"100",786.9,"int_conv_he","Simp.","NW","Living","São Paulo"
"101",395,"int_conv_he","Simp.","SE","Dorm. 1","São Paulo"
"102",394.3,"int_conv_he","Simp.","SE","Dorm. 2","São Paulo"
"103",787.6,"int_conv_he","Simp.","SE","Living","São Paulo"
"104",394.9,"int_conv_he","Simp.","SW","Dorm. 1","São Paulo"
"105",394.3,"int_conv_he","Simp.","SW","Dorm. 2","São Paulo"
"106",787.6,"int_conv_he","Simp.","SW","Living","São Paulo"
"107",385.7,"int_conv_he","Simp.","W","Dorm. N","São Paulo"
"108",387,"int_conv_he","Simp.","W","Dorm. S","São Paulo"
"109",762.7,"int_conv_he","Simp.","W","Living","São Paulo"
"110",43.8,"conv_hge_floor","Base","E","Dorm. N","Curitiba"
"111",86.1,"conv_hge_floor","Base","E","Dorm. S","Curitiba"
"112",167.2,"conv_hge_floor","Base","E","Living","Curitiba"
"113",39.5,"conv_hge_floor","Base","NE","Dorm. 1","Curitiba"
"114",28.7,"conv_hge_floor","Base","NE","Dorm. 2","Curitiba"
"115",206.4,"conv_hge_floor","Base","NE","Living","Curitiba"
"116",36.9,"conv_hge_floor","Base","NW","Dorm. 1","Curitiba"
"117",26.7,"conv_hge_floor","Base","NW","Dorm. 2","Curitiba"
"118",193.7,"conv_hge_floor","Base","NW","Living","Curitiba"
"119",94.5,"conv_hge_floor","Base","SE","Dorm. 1","Curitiba"
"120",75.6,"conv_hge_floor","Base","SE","Dorm. 2","Curitiba"
"121",212.3,"conv_hge_floor","Base","SE","Living","Curitiba"
"122",93.2,"conv_hge_floor","Base","SW","Dorm. 1","Curitiba"
"123",75.6,"conv_hge_floor","Base","SW","Dorm. 2","Curitiba"
"124",212,"conv_hge_floor","Base","SW","Living","Curitiba"
"125",40.9,"conv_hge_floor","Base","W","Dorm. N","Curitiba"
"126",79.3,"conv_hge_floor","Base","W","Dorm. S","Curitiba"
"127",213.6,"conv_hge_floor","Base","W","Living","Curitiba"
"128",241.1,"conv_hge_floor","Base","E","Dorm. N","Rio de Janeiro"
"129",260.2,"conv_hge_floor","Base","E","Dorm. S","Rio de Janeiro"
"130",483.6,"conv_hge_floor","Base","E","Living","Rio de Janeiro"
"131",355.7,"conv_hge_floor","Base","NE","Dorm. 1","Rio de Janeiro"
"132",361.8,"conv_hge_floor","Base","NE","Dorm. 2","Rio de Janeiro"
"133",680,"conv_hge_floor","Base","NE","Living","Rio de Janeiro"
"134",356.5,"conv_hge_floor","Base","NW","Dorm. 1","Rio de Janeiro"
"135",361.2,"conv_hge_floor","Base","NW","Dorm. 2","Rio de Janeiro"
"136",680.9,"conv_hge_floor","Base","NW","Living","Rio de Janeiro"
"137",386.7,"conv_hge_floor","Base","SE","Dorm. 1","Rio de Janeiro"
"138",389.1,"conv_hge_floor","Base","SE","Dorm. 2","Rio de Janeiro"
"139",649.9,"conv_hge_floor","Base","SE","Living","Rio de Janeiro"
"140",388.4,"conv_hge_floor","Base","SW","Dorm. 1","Rio de Janeiro"
"141",389.2,"conv_hge_floor","Base","SW","Dorm. 2","Rio de Janeiro"
"142",650.3,"conv_hge_floor","Base","SW","Living","Rio de Janeiro"
"143",253.1,"conv_hge_floor","Base","W","Dorm. N","Rio de Janeiro"
"144",273.9,"conv_hge_floor","Base","W","Dorm. S","Rio de Janeiro"
"145",571.8,"conv_hge_floor","Base","W","Living","Rio de Janeiro"
"146",92.1,"conv_hge_floor","Base","E","Dorm. N","São Paulo"
"147",122.9,"conv_hge_floor","Base","E","Dorm. S","São Paulo"
"148",261.3,"conv_hge_floor","Base","E","Living","São Paulo"
"149",134.1,"conv_hge_floor","Base","NE","Dorm. 1","São Paulo"
