"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",0.177349885989356,-11.5695792880259,6.89655172413795,-11.4347357065804,-11.4583333333333,1.04790419161677,2.81124497991969,-12.4423963133641,1.61527165932451,-9.58904109589041,19.2,4.629388816645,0,2.32558139534883,19.2,-4.34881602914389,"E","Dorm. N","Curitiba","Hyp.","C10","01"
"year1",0.199153597211852,8.53932584269662,-120.27027027027,-5.6872037914692,0,0.711382113821141,-6.53465346534653,-15.4255319148936,1.14777618364419,-8.98876404494383,10.472972972973,3.58504958047291,0,1.36054421768707,10.472972972973,-3.42443200526835,"E","Dorm. S","Curitiba","Hyp.","C10","01"
"year2",0.104329681794479,-5.31772575250835,-9.84496124031008,-11.3110539845758,-7.05596107055961,-0.145560407569133,-3.42612419700214,-11.9928400954654,1.55763239875389,-7.02614379084968,100,4.21213443910955,0,1.8808777429467,100,-3.73842938190504,"E","Living","Curitiba","Hyp.","C10","01"
"year3",0.326223337515687,-16.022356776898,-4.76190476190476,-54.66472303207,-21.2698412698413,-1.8796992481203,6.27763041556145,-46.2595419847328,3.39855818743563,-33.75,1000,11.689708141321,25,4.69483568075117,1000,-10.8596660687181,"NE","Dorm. 1","Curitiba","Hyp.","C10","01"
"year4",0.277567499369156,-17.5064047822374,-11.2836438923395,-31.7678100263852,-24.0780911062907,-45.8023379383634,5.52291421856638,-8.03571428571429,3.36734693877551,-35,NA,14.1915422885572,25,5.28846153846155,NA,-13.1575982877098,"NE","Dorm. 2","Curitiba","Hyp.","C10","01"
"year5",0.253807106598985,-63.806150378361,-60.5508001488649,-13.9298716229163,-18.422674060382,NA,100,-12.1574489287494,7.84313725490197,-21.0204081632653,NA,28.8504053058217,10,13.4920634920635,NA,-25.8544785079645,"NE","Living","Curitiba","Hyp.","C10","01"
"year6",0.175702811244991,-13.4314627414903,-0.858895705521476,-21.6182048040455,-23.861852433281,-6.81818181818182,3.45132743362832,-1.76565008025681,1.95674562306899,-5.23255813953488,400,6.41775378617483,25,2.81690140845071,400,-6.05692702009983,"NW","Dorm. 1","Curitiba","Hyp.","C10","01"
"year7",0.17663386323492,-14.3528406663819,-6.7287784679089,-18.2875264270613,-26.0303687635575,-13.5155096011817,3.40775558166862,-7.65911542610573,2.24489795918368,-7.59493670886077,NA,8.81254667662434,25,3.38164251207729,NA,-8.3089064261556,"NW","Dorm. 2","Curitiba","Hyp.","C10","01"
"year8",0.0634517766497462,-10.3526002254065,-3.0145143282471,-8.14956855225312,-12.7082048118445,-6.17837568510213,48.1481481481482,NA,2.20408163265306,-6.45491803278688,NA,5.45982307408773,5,3.17460317460318,NA,-4.77258167841127,"NW","Living","Curitiba","Hyp.","C10","01"
"year9",0.394866732477794,1.159793814433,-37.0481927710843,-46.1538461538461,1.14404576183048,-5.14018691588784,-13.5542168674699,-10.7734806629834,2.18068535825545,-12.987012987013,55.9322033898305,5.55701869897286,100,2.77777777777778,55.9322033898305,-5.47126436781609,"SE","Dorm. 1","Curitiba","Hyp.","C10","01"
