"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",-0.099850224663014,-3.37552742616034,-2.60869565217392,-2.22617987533393,11.0047846889952,-1.1441647597254,-1.65289256198348,-2.84090909090909,-0.307219662058376,5.66037735849056,-12.2406639004149,3.41518487157777,0,0,-12.2406639004149,-3.06809678223996,"E","Dorm. N","Curitiba","Hyp.","C10","01"
"year1",-0.0985221674876791,4.64646464646464,-2.85714285714286,-2.39747634069401,-2.09895052473762,-2.9058116232465,1.66666666666667,3.98773006134968,-1.17647058823529,2.94117647058824,-11.4754098360656,4.11201701524283,0,-1.19047619047619,-11.4597544338335,-3.67945120049891,"E","Dorm. S","Curitiba","Hyp.","C10","01"
"year2",-0.168371972542426,2.72873194221509,-3.85906040268457,-3.63288718929254,-2.28136882129278,-16.7391304347826,-3.7871033776868,1.90718372536554,-2.31481481481481,-1.38674884437597,-63.6363636363636,1.00727476217123,0,-1.42450142450142,-64.4444444444444,-0.601530105705776,"E","Living","Curitiba","Hyp.","C10","01"
"year3",-0.123334977799704,-2.7363184079602,-26.865671641791,-29.5010845986985,11.2311015118791,-3.54330708661417,-2.40847784200385,-27.2727272727273,-0.551267916207277,-19.8473282442748,-25.7668711656442,6.05050859347597,0,0,-25.9938837920489,-5.40282853964723,"NE","Dorm. 1","Curitiba","Hyp.","C10","01"
"year4",-0.173783515392251,0.57361376673041,-48.3333333333333,-14.265335235378,10.091743119266,-27.0666666666667,-3.58974358974359,-0.271493212669681,-1.09649122807018,-20.6349206349206,-39.9038461538462,5.51745160798659,0,-0.478468899521538,-39.7129186602871,-4.85033259423503,"NE","Dorm. 2","Curitiba","Hyp.","C10","01"
"year5",0.0631313131313131,-51.1571675302245,-13.0690948044992,-2.63157894736843,0.735294117647055,NA,-29.9363057324841,-2.8773072747014,2.143522833178,-8.36047774158522,-37.5,16.1411741702107,3.84615384615385,4.83870967741935,-37.5,-14.5104008117707,"NE","Living","Curitiba","Hyp.","C10","01"
"year6",-0.246791707798618,0.345167652859955,-39.6825396825397,-7.20887245841035,7.09677419354838,1.69172932330827,-5.48076923076923,-4.10958904109589,-1.76211453744494,0.699300699300697,-32.6153846153846,3.18471337579618,0,-1.39534883720931,-32.5153374233129,-2.73224043715847,"NW","Dorm. 1","Curitiba","Hyp.","C10","01"
"year7",-0.29791459781529,3.91969407265775,-53.3333333333333,-6.21428571428571,6.11620795107034,-5.55555555555555,-6.29011553273426,0.679347826086957,-2.19298245614035,0.806451612903223,-48.0769230769231,2.50114381576942,0,-1.91387559808613,-48.3253588516746,-2.06571468182447,"NW","Dorm. 2","Curitiba","Hyp.","C10","01"
"year8",-0.126262626262626,2.79841077906375,-5.73419078242229,-3.35195530726257,0.668896321070234,-1.73818576860401,-75,NA,-4.28704566635602,-1.09170305676856,-75,1.00758131572511,0,-2.41935483870967,-75,-0.736071745843737,"NW","Living","Curitiba","Hyp.","C10","01"
"year9",-0.218340611353706,3.3112582781457,-69.6969696969697,-48.1651376146789,-4.20693575895395,-8.85245901639344,-0.789177001127399,0.573065902578805,-2.43093922651934,1.44927536231884,-23.8879736408567,6.52374366067312,0,-1.54639175257732,-23.8486842105263,-5.89456205894562,"SE","Dorm. 1","Curitiba","Hyp.","C10","01"
"year10",-0.317150524518164,5.82914572864321,-58.4905660377359,-23.0769230769231,-5.26315789473685,-1.74291938997821,-2.33281493001555,-2.32558139534884,-3.05676855895198,0,-33.6283185840708,5.89443417539536,0,-2.11640211640213,-33.7748344370861,-5.19095291064144,"SE","Dorm. 2","Curitiba","Hyp.","C10","01"
"year11",-0.23770799449518,8.24630896651064,-5.12280701754387,-5.10579576816927,-8.82578664620107,NA,0.663129973474801,0.198019801980201,-3.41269841269842,-0.361010830324902,-65.2173913043478,0.813835198372333,0,-2.09205020920502,-64.957264957265,-0.134622445233158,"SE","Living","Curitiba","Hyp.","C10","01"
"year12",-0.242718446601942,3.91304347826086,-75,-76.0869565217391,-4.30839002267573,0.57142857142858,-0.790067720090281,-6.15384615384615,-2.42290748898679,0,-24,6.31364562118126,0,-1.53846153846154,-24.126455906822,-5.68923327895596,"SW","Dorm. 1","Curitiba","Hyp.","C10","01"
"year13",-0.317150524518164,5.82329317269078,-58.4905660377359,-23.0263157894737,-5.26315789473685,-2.32558139534884,-2.33281493001555,-1.52173913043479,-3.05676855895198,0,-33.6283185840708,5.87268993839836,0,-2.64550264550265,-33.7748344370861,-5.18902891030393,"SW","Dorm. 2","Curitiba","Hyp.","C10","01"
"year14",-0.250218941573877,8.30935251798562,-5.12280701754387,-5.04355800091701,-8.9025326170376,0.0987166831194556,0.730411686586982,NA,-3.4920634920635,-0.180505415162457,-65.2173913043478,0.791403470558329,0,-2.51046025104603,-64.957264957265,-0.103950103950114,"SW","Living","Curitiba","Hyp.","C10","01"
"year15",-0.125344697919278,-0.0756429652042317,-6.59340659340659,-3.20754716981133,5.90062111801242,0.948509485094855,-2.7027027027027,-2.70588235294117,-0.75642965204236,3.94736842105264,-13.6563876651982,1.95432069696256,0,0,-13.6263736263736,-1.70958210215282,"W","Dorm. N","Curitiba","Hyp.","C10","01"
"year16",-0.0990099009900934,7.74299835255355,-5.20833333333333,-4.94559841740851,-2.35988200589972,3.76175548589343,1.34357005758157,-7.27272727272728,-1.28755364806866,2.24719101123595,-11.4285714285714,2.87812041116006,0,-0.552486187845292,-11.5615615615616,-2.56678889470927,"W","Dorm. S","Curitiba","Hyp.","C10","01"
"year17",-0.129853265809635,-2.31356693620845,-4.26666666666667,-3.67500553464688,-2.92072322670377,0.323624595469253,-3.72294372294372,-13.6882129277567,-4.00552486187844,-1.94285714285715,-56.8627450980392,2.38700947225981,-5.88235294117646,-2.40963855421686,-55.7692307692308,-1.85150638932934,"W","Living","Curitiba","Hyp.","C10","01"
"year18",0.026123301985362,-4.39874321622395,-0.225988700564975,-1.6813671444322,-2.54083484573504,0.853727945361411,1.05115627189909,-4.46650124069479,22.2222222222222,-2.32558139534885,NA,1.67901234567902,0,1.53846153846153,NA,-1.57516527737856,"E","Dorm. N","Rio de Janeiro","Hyp.","C10","01"
"year19",0,-3.51384869780901,-0.657894736842102,-2.56238486015744,-1.9031141868512,-0.311041990668737,-3.47058823529412,-4.421768707483,1.66666666666666,-3.26975476839238,NA,1.93041849744291,0,2.87081339712918,NA,-1.75657894736842,"E","Dorm. S","Rio de Janeiro","Hyp.","C10","01"
"year20",0.0131440588853868,-5.33011919110755,-0.921560222888987,-2.49460123613076,-1.2189404594468,0.245459008345606,-2.00226671703816,-5.81420765027323,5.38461538461538,-2.91313559322034,NA,2.48914132976946,0,2.43902439024389,NA,-2.2866080738865,"E","Living","Rio de Janeiro","Hyp.","C10","01"
"year21",0.0254841997961322,-8.33171865917458,-1.66023166023166,-5.26315789473685,-7.3803967327888,-2.48565965583174,0.998573466476459,-11.9576185671039,314.285714285714,-9.39457202505219,NA,4.73896687769521,6.66666666666667,3.03030303030302,NA,-4.49184876864377,"NE","Dorm. 1","Rio de Janeiro","Hyp.","C10","01"
"year22",0.050981391791993,-8.86670581327069,-2.09205020920502,-6.41498722679535,-7.59785111281658,-11.6591928251121,1.02389078498294,-4.33453737149207,161.538461538462,-9.74576271186441,NA,5.44801257579161,0,3.125,NA,-5.17285313853732,"NE","Dorm. 2","Rio de Janeiro","Hyp.","C10","01"
"year23",0.0509424350483924,-39.8091106290672,-6.12585291887793,-6.35618043350908,-9.22257720979766,NA,-1.82913227749275,-7.0982254436391,9.07172995780592,-9.43747094374709,NA,13.5013073449013,0,14.2857142857143,NA,-12.5997696858992,"NE","Living","Rio de Janeiro","Hyp.","C10","01"
"year24",0.0254841997961322,-6.92531522793404,-1.15651503469545,-3.48883178493773,-7.15948777648429,-3.27126321087066,0.662565073355408,-2.16886134779241,800,-3.11203319502075,NA,3.3256880733945,6.66666666666667,1.51515151515151,NA,-3.164968567093,"NW","Dorm. 1","Rio de Janeiro","Hyp.","C10","01"
"year25",0.050981391791993,-7.00998629332289,-1.52149106124002,-4.46715881128146,-7.36761320030699,-5.22077200777562,0.614334470989765,-3.52331606217616,141.666666666667,-3.61702127659575,NA,3.85030101536527,0,3.125,NA,-3.67475253834062,"NW","Dorm. 2","Rio de Janeiro","Hyp.","C10","01"
"year26",0.0127356087620872,-6.484375,-1.80521844660196,-3.82404692082112,-6.24334114638824,-3.82117882117881,-0.847835787594826,NA,1.68776371308018,-4.05972935137658,NA,3.71563899041893,0,2.38095238095237,NA,-3.48527600047691,"NW","Living","Rio de Janeiro","Hyp.","C10","01"
"year27",0,-8.76018626309663,-1.80549856380795,-5.65644171779141,-2.80280280280281,-2.96650717703349,-8.31899024670109,-5.2063492063492,6.17283950617284,-5.2486187845304,NA,4.59693537641572,8.33333333333334,4.51977401129944,NA,-4.23928644658602,"SE","Dorm. 1","Rio de Janeiro","Hyp.","C10","01"
"year28",0.0254452926208709,-10.2811950790861,-2.00081665986117,-6.22502119413832,-2.8358208955224,-5.4448871181939,-8.52359208523592,-5.48148148148149,6.84931506849315,-5.46448087431694,NA,5.15862068965517,7.14285714285715,5.95238095238095,NA,-4.76626947754354,"SE","Dorm. 2","Rio de Janeiro","Hyp.","C10","01"
"year29",0,-7.1297731435818,-1.50061071366254,-4.38940657184895,-0.950656405613397,NA,-6.56764910652122,-3.71438874864768,7.89473684210526,-4.23514538558786,NA,3.5126079054975,0.526315789473692,4.0650406504065,NA,-3.14477799394193,"SE","Living","Rio de Janeiro","Hyp.","C10","01"
"year30",0,-8.89472149314669,-1.84124386252046,-5.67079906714128,-2.77777777777778,-5.19316022799241,-8.33094760950473,-2.95113691340106,5.26315789473683,-5.23415977961432,NA,4.63425463425463,8.33333333333334,5.14285714285713,NA,-4.27875992826032,"SW","Dorm. 1","Rio de Janeiro","Hyp.","C10","01"
"year31",0.0254452926208709,-10.2811950790861,-2.00081665986117,-6.22502119413832,-2.8358208955224,-5.51851851851852,-8.52359208523592,-5.4448871181939,6.84931506849315,-5.46448087431694,NA,5.16413793103448,7.14285714285715,5.95238095238095,NA,-4.76626947754354,"SW","Dorm. 2","Rio de Janeiro","Hyp.","C10","01"
"year32",0,-7.15896279594139,-1.50087260034904,-4.4004580402421,-0.995024875621885,-3.7450486136118,-6.56764910652122,NA,7.84313725490196,-4.24319189360356,NA,3.5228273530498,0.526315789473692,4.0650406504065,NA,-3.15356377343614,"SW","Living","Rio de Janeiro","Hyp.","C10","01"
"year33",0.0261301280376333,-3.91993327773143,-0.433369447453945,-1.29479466387653,-2.18546958062612,-3.37122696981576,0.653167864141084,0.748262960983434,60,-2.01005025125627,NA,1.40584976469888,0,1.6949152542373,NA,-1.31945217681772,"W","Dorm. N","Rio de Janeiro","Hyp.","C10","01"
"year34",0,-3.28322784810127,-0.80878105141537,-2.42367012905256,-1.78571428571429,-4.34782608695652,-3.14465408805031,-0.293111871030774,2.04081632653062,-2.6525198938992,NA,1.81893630264888,0,2.39234449760766,NA,-1.66846412484933,"W","Dorm. S","Rio de Janeiro","Hyp.","C10","01"
"year35",0.0131371518654636,-7.38112136266856,-1.52886743110039,-3.11612860632469,-2.23097112860892,-6.01170062537826,-2.69396551724138,-0.956844366334707,0.229357798165141,-3.32068311195446,NA,3.39630275902183,0,0,NA,-3.11086747978621,"W","Living","Rio de Janeiro","Hyp.","C10","01"
"year36",-0.0767067246228615,-1.54400411734431,-0.898876404494379,-2.42018537590113,0.842696629213475,-11.25,-12.0689655172414,-2.95527156549521,0,0,-17.0454545454546,1.17086978898611,0,1.65289256198347,-17.0454545454546,-1.05559465165376,"E","Dorm. N","São Paulo","Hyp.","C10","01"
"year37",-0.126454223571067,1.78419711129991,-2,-5.32633158289573,-4.54545454545454,-13.2701421800948,-1.14155251141553,-0.977995110024446,-1.10619469026549,-1.13636363636365,-14.7540983606557,1.532982347476,0,-0.769230769230766,-14.7540983606557,-1.3671875,"E","Dorm. S","São Paulo","Hyp.","C10","01"
"year38",-0.0523354703650369,0.381033022861984,-1.15452930728241,-1.41523637458598,-0.35523978685612,-2.90162774239209,-1.78117048346055,-0.908372827804101,-1.9002375296912,-1.00456621004566,-80,0.707162284678146,0,-2.31213872832369,-80,-0.485551871151109,"E","Living","São Paulo","Hyp.","C10","01"
"year39",-0.125565042692115,-3.46320346320347,-2.98913043478259,-5.6393963463066,-1.08616944243302,-2.14285714285715,-10.7142857142857,-15.6626506024096,0,-11.3821138211382,-40.4761904761905,3.64450127877237,11.1111111111111,1.61290322580646,-40.4761904761905,-3.30760749724366,"NE","Dorm. 1","São Paulo","Hyp.","C10","01"
"year40",-0.126008064516129,-2.24126565589979,-3.81578947368422,-6.33614939973321,-1.34357005758158,-15.1410874053682,-21.9178082191781,-1.86528497409326,-0.183823529411767,-11.7647058823529,-56.5217391304348,3.7737463631696,10,1.65289256198347,-56.5217391304348,-3.37945292620866,"NE","Dorm. 2","São Paulo","Hyp.","C10","01"
"year41",0.0253871541000312,-43.1523871811642,-7.8234398782344,-4.086302713305,-3.58994814519346,NA,-3.65448504983388,-4.57567461869378,4.77223427331888,-7.85340314136125,-100,13.546459721173,1.53846153846153,8.55263157894736,-100,-12.3699351205778,"NE","Living","São Paulo","Hyp.","C10","01"
"year42",-0.200904068307386,-1.49900066622252,-2.97297297297298,-2.27693936987026,-1.58730158730158,-0.5,-23.1292517006803,-2.0096463022508,-1.09289617486339,-0.793650793650791,-45.2380952380952,1.64248562825075,11.1111111111111,0,-45.2380952380952,-1.44031178513938,"NW","Dorm. 1","São Paulo","Hyp.","C10","01"
"year43",-0.176411290322578,0.296638101516162,-3.02631578947368,-2.95884315906563,-1.72744721689059,-3.93171236420074,-36.986301369863,-0.760193503800964,-1.28676470588236,-1.26582278481013,-60.8695652173913,1.45535484975601,0,0.826446280991733,-60.8695652173913,-1.22494432071269,"NW","Dorm. 2","São Paulo","Hyp.","C10","01"
"year44",-0.0380807311500323,0.157026956294155,-2.5586353944563,-2.31340026189436,-1.5562649640862,-1.83737294761533,-4.54293628808864,NA,-5.85683297180042,-1.57657657657657,-100,1.25451108437876,0,-0.657894736842115,-100,-1.09960793923059,"NW","Living","São Paulo","Hyp.","C10","01"
"year45",-0.223325062034734,-1.19386014781125,-4.60704607046069,-6.75044883303412,-9.96884735202491,-3.42679127725856,-4.24278137890394,-2.60756192959583,-2.83185840707965,-2.94117647058824,-37.8378378378378,3.65291541829914,0,-1.46520146520146,-37.8378378378378,-3.30099135203544,"SE","Dorm. 1","São Paulo","Hyp.","C10","01"
"year46",-0.27404085700049,-0.944444444444438,-5.79310344827587,-6.23628956439989,-11.1111111111111,-3.35507921714818,-4.90506329113924,-3.40993328391401,-3.52112676056338,-2.95857988165681,-53.6585365853659,3.68077815850559,0,-1.8450184501845,-53.6585365853659,-3.28980666059319,"SE","Dorm. 2","São Paulo","Hyp.","C10","01"
"year47",-0.126502213788741,2.45979186376537,-2.13627992633518,-2.76907001044934,-61.8320610687023,NA,-1.85107278081615,-0.683654443753881,-3.79008746355686,-1.22222222222222,-85.7142857142857,0.928196989371432,0,-1.88087774294671,-85.7142857142857,-0.532180276068507,"SE","Living","São Paulo","Hyp.","C10","01"
"year48",-0.223380491437076,-1.36674259681094,-4.72334682860999,-6.7766224453209,-10.1880877742947,-2.60078023407022,-4.29159318048206,-3.34029227557412,-2.84191829484903,-2.35294117647058,-38.3561643835616,3.68536220200392,0,-1.47058823529413,-38.3561643835616,-3.34106239460371,"SW","Dorm. 1","São Paulo","Hyp.","C10","01"
"year49",-0.27404085700049,-0.944444444444438,-5.79310344827587,-6.20689655172414,-11.1111111111111,-3.33827893175074,-4.90506329113924,-3.35507921714818,-3.52112676056338,-2.95857988165681,-53.6585365853659,3.68077815850559,0,-1.8450184501845,-53.6585365853659,-3.28980666059319,"SW","Dorm. 2","São Paulo","Hyp.","C10","01"
