"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year",400.2,114.5,-11.8,-114.8,23.2,-132.6,-73.8,68.4,-65.3,5.6,42.3,-342.2,0.4,-18.5,42.3,43.1777777777778,"E","Dorm. N","Curitiba","Hyp.","C10","Base"
"year1",405.6,51.8,-10.8,-162.3,-136.2,-102.7,42.7,33.9,-68.8,7,64.8,-270.5,0.1,-17,64.9,34.3222222222222,"E","Dorm. S","Curitiba","Hyp.","C10","Base"
"year2",770.8,320,114.6,252,51.4,-53.7,94,160.3,-88.4,64,1.6,-1415.2,0.6,-35.6,1.6,113.466666666667,"E","Living","Curitiba","Hyp.","C10","Base"
"year3",404.9,195.5,-8.5,32.5,51.5,49,-106.3,38.4,-91.2,10.5,24.2,-535.7,0.6,-21.5,24.2,49.6083333333333,"NE","Dorm. 1","Curitiba","Hyp.","C10","Base"
"year4",402.1,210.4,-8.9,120.2,36,54.7,-80.8,110.2,-92.2,10,12.5,-619.9,0.5,-21,12.6,57.2166666666667,"NE","Dorm. 2","Curitiba","Hyp.","C10","Base"
"year5",792.5,282.8,162.3,488.4,150.7,0,11,178.9,-105,84.4,0.5,-1715.5,2.7,-23.6,0.5,101.1,"NE","Living","Curitiba","Hyp.","C10","Base"
"year6",404.2,203.5,-8.8,50.2,49.8,54.1,-109.7,56,-92.4,14.4,21.9,-562.4,0.6,-21.8,22,51.9166666666667,"NW","Dorm. 1","Curitiba","Hyp.","C10","Base"
"year7",401.6,217.4,-9.2,131.3,34.7,105.4,-82.8,74.1,-93.2,12.5,10.8,-639.3,0.5,-21.3,10.8,58.8666666666667,"NW","Dorm. 2","Curitiba","Hyp.","C10","Base"
"year8",791,595.1,175.9,484.4,150.5,180.9,3.9,0,-111.9,90.6,0.2,-2023.9,2.6,-25.4,0.2,117.325,"NW","Living","Curitiba","Hyp.","C10","Base"
"year9",411.3,93.6,-5.6,-32.3,-183.3,27.8,88,35.1,-92.7,7,46.2,-405.5,0.1,-19.7,46.3,37.7833333333333,"SE","Dorm. 1","Curitiba","Hyp.","C10","Base"
"year10",408.6,105.3,-8.4,35,-136,45.1,62.8,63,-94.4,6.7,30,-458.2,0.1,-19.3,30,42.6166666666667,"SE","Dorm. 2","Curitiba","Hyp.","C10","Base"
"year11",797.4,300.6,135.2,206.3,-141.8,0,151.8,101.2,-130.3,55.2,4,-1365,0.6,-24.4,4.1,81.6,"SE","Living","Curitiba","Hyp.","C10","Base"
"year12",411,95.6,-5.6,-24.3,-184,35.2,87.9,36.6,-93,7,45.6,-414,0.1,-19.8,45.6,38.5416666666667,"SW","Dorm. 1","Curitiba","Hyp.","C10","Base"
"year13",408.6,105.4,-8.4,35.1,-136,63,62.8,45.3,-94.4,6.7,30,-458.4,0.1,-19.4,30,42.6333333333333,"SW","Dorm. 2","Curitiba","Hyp.","C10","Base"
"year14",797.3,301.1,135.2,207.1,-141.9,101.4,151.7,0,-130.4,55.3,4,-1366.4,0.6,-24.5,4.1,81.685,"SW","Living","Curitiba","Hyp.","C10","Base"
"year15",398.4,132.1,-9.7,-54.7,34.1,74.5,-76,-87.3,-66.6,7.9,39.2,-416.4,0.6,-19.3,39.3,51.7444444444444,"W","Dorm. N","Curitiba","Hyp.","C10","Base"
"year16",403.6,65.4,-10.1,-106.1,-138.8,33.1,52.8,-53.1,-70.8,9.1,58.9,-330.7,0.1,-18.2,58.9,41.3333333333333,"W","Dorm. S","Curitiba","Hyp.","C10","Base"
"year17",769.1,434.9,143.6,435.1,69.8,186,111.2,68.1,-75.3,85.8,2.2,-1803.4,1.6,-17,2.3,140.3,"W","Living","Curitiba","Hyp.","C10","Base"
"year18",382.9,334.7,176.6,713.4,161.1,177.2,144.2,231,-3.5,37.8,0,-1592.8,1.3,-6.4,0,190.233333333333,"E","Dorm. N","Rio de Janeiro","Hyp.","C10","Base"
