"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",-0.0260078023407081,-4.62555066079296,97.2286374133949,20,16.6204986149584,22.9787234042553,33.1034482758621,17.2284644194757,-1.79425837320574,13.3333333333333,NA,-12.8518971848225,NA,-2.94117647058824,NA,11.3224005582694,"E","Dorm. N","Curitiba","Hyp.","SF","01"
"year1",0.12990387113536,13.1468531468532,-9.60264900662251,-0.726744186046512,-6.89655172413794,-11.4583333333333,2.38095238095239,0.280112044817911,0.325027085590463,8.98876404494381,NA,-1.93247445579742,NA,1.35135135135136,NA,1.39464756879005,"E","Dorm. S","Curitiba","Hyp.","SF","01"
"year2",0,1.06137517305031,12.5968992248062,1.08070820878364,0,0.404448938321528,2.50272034820457,1.26502213788741,-1.68067226890756,2.02156334231806,NA,-1.93403099748311,0,0,NA,1.63574486771325,"E","Living","Curitiba","Hyp.","SF","01"
"year3",-0.0507485409794584,-5.6657223796034,83.5761589403973,15.6050955414013,16.260162601626,14.792899408284,23.0263157894737,11.0416666666667,-2.36578707916287,-2.50000000000001,NA,-14.027799968046,0,-2.97029702970298,NA,12.6948462294622,"NE","Dorm. 1","Curitiba","Hyp.","SF","01"
"year4",-0.0507614213197941,-5.24781341107871,79.1666666666667,14.446227929374,15.6626506024096,10.3626943005181,20,15.7549234135667,-2.44590780809032,-0.862068965517238,NA,-13.6095569333132,0,-3.24324324324325,NA,12.3731980779498,"NE","Dorm. 2","Curitiba","Hyp.","SF","01"
"year5",0.0127145581691065,3.47692307692308,-34.7328244274809,-8.37520938023451,-9.02527075812274,NA,-10.9774436090226,-6.75512665862486,-0.830815709969784,-0.908173562058518,NA,5.99356395816573,0,2.17391304347826,NA,-5.31993241779665,"NE","Living","Curitiba","Hyp.","SF","01"
"year6",-0.0507485409794584,-7.32394366197183,87.1862615587847,18.1318681318681,17.7266576454668,16.0965794768612,25.1633986928104,16.6407465007776,-2.55009107468124,12.3076923076923,NA,-15.5332056194125,0,-3.98009950248755,NA,13.9489194499018,"NW","Dorm. 1","Curitiba","Hyp.","SF","01"
"year7",-0.0507614213197941,-7.00729927007299,83.7121212121212,16.93354683747,17.2117039586919,15.8878504672897,22.7678571428571,16.3013698630137,-2.63157894736842,14.7826086956522,NA,-15.2834467120181,0,-3.78378378378378,NA,13.7843608219909,"NW","Dorm. 2","Curitiba","Hyp.","SF","01"
"year8",-0.0127145581691065,0.246078129806199,26.6310568485311,6.88449848024315,6.39504899432697,7.25570509069632,6.9172932330827,NA,-1.66288737717308,7.80933062880325,NA,-6.56380358848068,0,-1.7391304347826,NA,5.7422483977135,"NW","Living","Curitiba","Hyp.","SF","01"
"year9",0.101445599797103,10.5714285714286,-2.31729055258468,-0.735294117647055,-27.5,-1.06382978723404,1.60771704180064,-1.64835164835165,0,-2.27272727272728,NA,-1.56634987680394,NA,1.68539325842697,NA,1.19540229885057,"SE","Dorm. 1","Curitiba","Hyp.","SF","01"
