"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",0.156331422615937,-11.706629055007,-7.46987951807229,-10.272373540856,-9.65824665676077,-11.5606936416185,-12.5,-9.20792079207921,1.71198388721048,-13.28125,NA,6.91910932192729,NA,2.29885057471265,NA,-6.38201739523325,"E","Dorm. N","Curitiba","Hyp.","SF","01"
"year1",0.258464719565779,-1.10132158590308,-37.2093023255814,-15.9301130524152,-147.368421052632,-26.3157894736842,-9.97442455242966,-11.3490364025696,1.64948453608247,-9.84848484848484,NA,5.76197099145639,NA,2.03045685279187,NA,-5.40680601140093,"E","Dorm. S","Curitiba","Hyp.","SF","01"
"year2",0.0262501640635314,-5.71227080394921,-11.5948887837198,-8.79652005799904,-7.48936170212766,-8.76112251882271,-6.99088145896656,-10.5543237250554,2.06185567010309,-10.0553505535055,NA,5.97507881699444,0,2.55102040816327,NA,-5.200223665534,"E","Living","Curitiba","Hyp.","SF","01"
"year3",0.17816238228558,-15.5089820359281,-11.2033195020747,-15.725900116144,-17.0532060027285,-11.0569105691057,-16.6666666666667,-19.0899001109878,2.76325616131443,-37.9807692307692,NA,12.3385812842738,0,4.33333333333333,NA,-11.4958448753463,"NE","Dorm. 1","Curitiba","Hyp.","SF","01"
"year4",0.101832993890015,-15.4884130243473,-13.1939908556499,-16.0223278891875,-17.5909878682842,-18.688293370945,-17.4852652259332,-12.4145785876993,2.6861089792786,-39.3364928909953,NA,12.8935781340866,0,4.27046263345197,NA,-12.0135104014739,"NE","Dorm. 2","Curitiba","Hyp.","SF","01"
"year5",0.114532960040734,-54.5140175373595,-54.1610917848542,-32.8599162153878,-34.588804422944,NA,-36.6564417177914,-29.8597194388778,8.62299465240642,-21.5686274509804,NA,32.5363338021566,0,15.0326797385621,NA,-29.7468734968735,"NE","Living","Curitiba","Hyp.","SF","01"
"year6",0.127258844489692,-13.9005392450569,-8.92116182572614,-12.2258516098927,-14.9386084583902,-10.4689203925845,-13.5593220338983,-9.45606694560669,2.09267563527654,-11.0599078341014,NA,9.51495839971676,0,3.33333333333333,NA,-9.02494700798955,"NW","Dorm. 1","Curitiba","Hyp.","SF","01"
"year7",0.0763747454175182,-13.5483870967742,-10.7119529719138,-12.2781675608749,-15.2380952380952,-10.7479224376731,-14.1453831041257,-11.038489469862,1.91864927091329,-12.8571428571429,NA,9.85471149854712,0,3.20284697508898,NA,-9.34407364787111,"NW","Dorm. 2","Curitiba","Hyp.","SF","01"
"year8",0.0381776533469163,-9.14927768860353,-6.68806848582129,-7.39720436690134,-9.22279792746114,-6.2328498627989,-6.54062340316811,NA,3.07486631016042,-8.59580052493438,NA,6.36403200428509,0,4.2483660130719,NA,-5.72819618921681,"NW","Living","Curitiba","Hyp.","SF","01"
"year9",0.354161396407786,-5.26315789473683,-30.0417246175243,-16.7904903417533,-51.6949152542373,-11.2244897959184,-17.7494199535963,-12.8888888888889,2.48062015503876,-14.5631067961165,NA,8.93020420603475,NA,3.07017543859649,NA,-8.51811790156841,"SE","Dorm. 1","Curitiba","Hyp.","SF","01"
