"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",0.0514668039114742,-5.18358531317494,59.0062111801242,117.777777777778,4.46096654275094,-0.900900900900901,-0.362318840579702,9.09090909090908,-0.57142857142858,3.27868852459017,NA,-5.83824317086235,-50,-0.714285714285712,NA,5.3266560437059,"E","Dorm. N","Curitiba","Hyp.","TV","01"
"year1",0.306826898491431,11.4958448753463,-83.4394904458599,-6.3321385902031,-2.14541120381406,-3.52112676056338,2.49110320284697,-7.26643598615916,1.13493064312735,4.34782608695652,NA,2.0874103065884,Inf,2.32558139534884,NA,-2.22283205268935,"E","Dorm. S","Curitiba","Hyp.","TV","01"
"year2",0.0262054507337437,-1.44685587089593,8.13475760065735,-3.12712440516655,-6.41627543035994,-36.5168539325843,1.33333333333333,0.23076923076924,-1.37931034482759,-1.24333925399644,NA,0.284309205471035,0,0,NA,-0.432445789831348,"E","Living","Curitiba","Hyp.","TV","01"
"year3",0.0505178075271648,-7.86516853932583,55.8823529411765,6.34028892455859,8.67158671586715,8.40950639853747,0.377358490566043,-3.55450236966825,-0.74706510138741,-6.19469026548674,NA,-6.75265553869497,0,-1.16279069767441,NA,6.12380006620325,"NE","Dorm. 1","Curitiba","Hyp.","TV","01"
"year4",0.0253164556962083,-10.126582278481,55.8867362146051,6.76733780760626,8.73563218390804,-2.45398773006135,-1.80722891566263,11.7647058823529,-0.986842105263149,-4.54545454545455,NA,-7.23943179873354,0,-1.25,NA,6.62560096153847,"NE","Dorm. 2","Curitiba","Hyp.","TV","01"
"year5",0.0254000508001074,1.33277800916286,-36.1278369615563,-5.81790706460143,-6.31229235880399,NA,-14.367816091954,-2.50164581961818,-0.703605980650833,-3.01886792452831,NA,5.82013640041614,0,1.99004975124379,NA,-5.20792659117534,"NE","Living","Curitiba","Hyp.","TV","01"
"year6",0.0252652854977175,-11.3805970149254,61.9124797406807,12.8982128982129,9.87202925045704,12.093023255814,1.92307692307692,9.45709281961471,-1.06837606837607,9.6774193548387,NA,-9.11477869467365,0,-1.16279069767441,NA,8.22411533420708,"NW","Dorm. 1","Curitiba","Hyp.","TV","01"
"year7",0,-13.7130801687764,62.4441132637854,12.3180291153415,10.1149425287356,10.7466063348416,0,12.6382306477093,-1.31578947368421,12.037037037037,NA,-9.77739726027398,0,-1.25,NA,8.83944678292243,"NW","Dorm. 2","Curitiba","Hyp.","TV","01"
"year8",-0.0127000254000537,-3.95833333333333,31.1862835959222,5.06424792139077,4.45478723404255,6.68397144711227,1.95627157652473,NA,-1.75901495162709,5.9493670886076,NA,-5.23363405042794,0,-1.99004975124377,NA,4.46354446452116,"NW","Living","Curitiba","Hyp.","TV","01"
"year9",0.301734976112645,9.10138248847927,-26.7409470752089,-47.2222222222222,-4.03146509341199,-8.69565217391306,2.90909090909091,-5.20833333333333,0.474833808167141,-5.79710144927537,NA,1.64992826398852,0,2.51572327044025,NA,-1.78315228530437,"SE","Dorm. 1","Curitiba","Hyp.","TV","01"
"year10",0.252334090335604,7.83289817232376,-13.0864197530864,-11.6490166414523,-4.90883590462833,-5.78313253012048,2.81690140845069,-5.62851782363978,0.0962463907603547,-7.2463768115942,NA,1.3129573826948,0,2.02702702702703,NA,-1.38966092273485,"SE","Dorm. 2","Curitiba","Hyp.","TV","01"
"year11",0.0761228114691587,0.929203539823006,-18.3109707971586,-14.4997796386073,-22.1631205673759,NA,-4.11817367949866,-9.73654066437572,-1.52519893899203,-7.9059829059829,NA,4.68575083959699,0,1.02040816326532,NA,-4.20048962762531,"SE","Living","Curitiba","Hyp.","TV","01"
"year12",0.301810865191144,8.6405529953917,-24.4505494505494,-30.5699481865285,-3.75494071146245,-5.13698630136986,3.2490974729242,-6.42458100558658,0.475285171102662,-5.79710144927537,NA,1.32200188857413,0,2.51572327044025,NA,-1.45837553169942,"SW","Dorm. 1","Curitiba","Hyp.","TV","01"
"year13",0.252334090335604,7.70234986945171,-12.8395061728395,-11.3464447806354,-4.90883590462833,-5.61797752808989,2.81690140845069,-5.55555555555555,0.0962463907603547,-7.2463768115942,NA,1.2911555842479,0,2.02702702702703,NA,-1.3708781030011,"SW","Dorm. 2","Curitiba","Hyp.","TV","01"
"year14",0.0761228114691587,0.929614873837979,-17.9163378058406,-14.0907089387935,-21.6312056737589,-9.54545454545455,-4.02864816472695,NA,-1.45888594164455,-7.69230769230768,NA,4.54981608827762,0,1.02040816326532,NA,-4.08505154639175,"SW","Living","Curitiba","Hyp.","TV","01"
"year15",0.0257665550115862,-6.15711252653928,54.4736842105263,19.2139737991266,7.58017492711371,10.7876712328767,0.80971659919028,-0.896860986547082,-0.573065902578805,7.7922077922078,NA,-6.20641562064156,-33.3333333333333,-0.699300699300697,NA,5.6895858464013,"W","Dorm. N","Curitiba","Hyp.","TV","01"
"year16",0.256344527044348,9.97191011235954,-57.3604060913706,-9.60960960960962,-1.86335403726708,-6.0790273556231,4.58452722063038,-6.79611650485436,1.00250626566416,7.14285714285714,NA,1.11731843575419,0,2.23880597014926,NA,-1.26703322973944,"W","Dorm. S","Curitiba","Hyp.","TV","01"
"year17",0.0393030263330366,-0.815100815100818,20.2476780185758,0.704955421936549,-2.33918128654971,2.18767990788717,3.08880308880309,-1.33891213389121,-1.0909090909091,1.40127388535031,NA,-2.06934440239286,0,0,NA,1.63909313725489,"W","Living","Curitiba","Hyp.","TV","01"
"year18",0,-5.13739545997611,11.9148936170213,-0.548961424332351,-0.794223826714797,-1.07307102708227,-0.864361702127667,0.369588173178452,-15.1515151515152,-1.2012012012012,NA,0.158533223049349,0,0,NA,-0.115325474115831,"E","Dorm. N","Rio de Janeiro","Hyp.","TV","01"
"year19",0.0260960334029287,-3.11211098612674,-15.0779896013865,-4.39619594473354,-5.60190703218117,-2.88259958071279,-3.49544072948328,-6.36182902584493,1.25,-3.06748466257669,NA,3.74548736462094,14.2857142857143,8.21917808219178,NA,-3.48684664779397,"E","Dorm. S","Rio de Janeiro","Hyp.","TV","01"
"year20",0,-3.80622837370242,3.53719008264462,-2.06042686870553,-3.32409972299169,-2.1637907422624,-0.442260442260445,-2.25090036014406,-2.81124497991968,-1.99312714776633,NA,0.980565683741027,0,2.32558139534883,NA,-0.869155946030749,"E","Living","Rio de Janeiro","Hyp.","TV","01"
"year21",0,-4.71724137931035,10.3158933859822,-1.8153213118722,-2.1301775147929,0.240963855421687,-1.31640808650681,-4.71821756225425,-7.61904761904763,-5.58375634517765,NA,0.969636524822695,0,0,NA,-0.86516912492835,"NE","Dorm. 1","Rio de Janeiro","Hyp.","TV","01"
"year22",-0.0254517688979297,-4.48087431693988,8.24284304047385,-2.11742059672763,-2.4568740198641,-4.79638009049774,-1.75675675675675,0.0738007380073759,-5.69105691056911,-6.00522193211488,NA,1.29355424671107,0,0,NA,-1.17519155104576,"NE","Dorm. 2","Rio de Janeiro","Hyp.","TV","01"
"year23",0.0254582484724964,-2.99971156619555,-28.4391235599729,-5.85783401563082,-7.47290359383915,NA,-5.08691206543967,-5.21996060407092,-0.393700787401566,-5.37368746139593,NA,6.2324166044669,0,8.33333333333333,NA,-5.69791666666667,"NE","Living","Rio de Janeiro","Hyp.","TV","01"
"year24",0,-4.87066593285635,11.8953603158934,-0.653199467763408,-1.61544523246652,0.0655737704917995,-1.03189493433395,0.434362934362937,-9.25925925925926,-0.252525252525256,NA,0.105152471083075,10,0,NA,-0.0676801332777926,"NW","Dorm. 1","Rio de Janeiro","Hyp.","TV","01"
"year25",-0.0254517688979297,-4.69945355191257,10.4146100691017,-0.649819494584835,-1.83054393305439,0.0737735153080002,-1.41891891891892,0,-8.13008130081301,-0.524934383202107,NA,0.236758066292256,0,-3.33333333333334,NA,-0.19677903785407,"NW","Dorm. 2","Rio de Janeiro","Hyp.","TV","01"
"year26",0,-3.08668685994519,8.56303660189787,0.0521143537820165,-0.827389443651919,0.944010416666678,-0.281257990283821,NA,0.197238658777109,0.619962802231866,NA,-0.784099721400471,0,0,NA,0.763338891204655,"NW","Living","Rio de Janeiro","Hyp.","TV","01"
"year27",0,-2.69220812839763,-15.5234657039711,-6.28366247755835,-7.34237829209896,-6.04651162790698,-5.43117744610282,-7.23076923076924,-6.24999999999999,-7.4766355140187,NA,4.97332433924082,7.69230769230768,8.62068965517241,NA,-4.63436824746957,"SE","Dorm. 1","Rio de Janeiro","Hyp.","TV","01"
"year28",0.0254323499491411,-2.52837977296182,-17.4018126888218,-7.34395948160285,-8.36277974087162,-7.77118186724231,-5.84666298952014,-7.8252957233849,-13.0434782608696,-8,NA,5.54842652001222,20,9.25925925925926,NA,-5.16626069223361,"SE","Dorm. 2","Rio de Janeiro","Hyp.","TV","01"
"year29",0.025429116338213,-3.07010844661677,-16.0478674440012,-8.16477814253944,-9.39565627950897,NA,-6.85871056241427,-8.87059899405577,-24.0506329113924,-7.77591973244147,NA,5.37463875378868,1.26582278481012,6.89655172413792,NA,-4.77646986127846,"SE","Living","Rio de Janeiro","Hyp.","TV","01"
"year30",0,-2.60779757294088,-15.8243080625752,-6.34896922617269,-7.23945902943517,-7.23633564280216,-5.46583850931677,-6.26813697040047,-6.89655172413794,-7.45341614906833,NA,5.00214290087553,15.3846153846154,7.01754385964913,NA,-4.66159436747674,"SW","Dorm. 1","Rio de Janeiro","Hyp.","TV","01"
"year31",0.0254323499491411,-2.52837977296182,-17.4018126888218,-7.34395948160285,-8.36277974087162,-7.83242258652094,-5.84666298952014,-7.76280323450135,-13.0434782608696,-8,NA,5.54231591811794,20,9.25925925925926,NA,-5.16626069223361,"SW","Dorm. 2","Rio de Janeiro","Hyp.","TV","01"
