"","val","var","sim","dwel","room","weather"
"2",388.8,"int_conv_he","Base","E","Dorm. N","Curitiba"
"3",392.3,"int_conv_he","Base","E","Dorm. S","Curitiba"
"4",763.4,"int_conv_he","Base","E","Living","Curitiba"
"5",396.1,"int_conv_he","Base","NE","Dorm. 1","Curitiba"
"6",395.1,"int_conv_he","Base","NE","Dorm. 2","Curitiba"
"7",787.6,"int_conv_he","Base","NE","Living","Curitiba"
"8",395.9,"int_conv_he","Base","NW","Dorm. 1","Curitiba"
"9",395,"int_conv_he","Base","NW","Dorm. 2","Curitiba"
"10",787.3,"int_conv_he","Base","NW","Living","Curitiba"
"11",398.9,"int_conv_he","Base","SE","Dorm. 1","Curitiba"
"12",397.3,"int_conv_he","Base","SE","Dorm. 2","Curitiba"
"13",788.8,"int_conv_he","Base","SE","Living","Curitiba"
"14",398.8,"int_conv_he","Base","SW","Dorm. 1","Curitiba"
"15",397.3,"int_conv_he","Base","SW","Dorm. 2","Curitiba"
"16",788.8,"int_conv_he","Base","SW","Living","Curitiba"
"17",388.2,"int_conv_he","Base","W","Dorm. N","Curitiba"
"18",391.1,"int_conv_he","Base","W","Dorm. S","Curitiba"
"19",763.6,"int_conv_he","Base","W","Living","Curitiba"
"20",382.9,"int_conv_he","Base","E","Dorm. N","Rio de Janeiro"
"21",383.3,"int_conv_he","Base","E","Dorm. S","Rio de Janeiro"
"22",761.2,"int_conv_he","Base","E","Living","Rio de Janeiro"
"23",392.8,"int_conv_he","Base","NE","Dorm. 1","Rio de Janeiro"
"24",392.8,"int_conv_he","Base","NE","Dorm. 2","Rio de Janeiro"
"25",785.8,"int_conv_he","Base","NE","Living","Rio de Janeiro"
"26",392.8,"int_conv_he","Base","NW","Dorm. 1","Rio de Janeiro"
"27",392.8,"int_conv_he","Base","NW","Dorm. 2","Rio de Janeiro"
"28",785.6,"int_conv_he","Base","NW","Living","Rio de Janeiro"
"29",393.2,"int_conv_he","Base","SE","Dorm. 1","Rio de Janeiro"
"30",393.3,"int_conv_he","Base","SE","Dorm. 2","Rio de Janeiro"
"31",786.7,"int_conv_he","Base","SE","Living","Rio de Janeiro"
"32",393.2,"int_conv_he","Base","SW","Dorm. 1","Rio de Janeiro"
"33",393.3,"int_conv_he","Base","SW","Dorm. 2","Rio de Janeiro"
"34",786.7,"int_conv_he","Base","SW","Living","Rio de Janeiro"
"35",382.8,"int_conv_he","Base","W","Dorm. N","Rio de Janeiro"
"36",383.2,"int_conv_he","Base","W","Dorm. S","Rio de Janeiro"
"37",761.6,"int_conv_he","Base","W","Living","Rio de Janeiro"
"38",384.5,"int_conv_he","Base","E","Dorm. N","São Paulo"
"39",385.4,"int_conv_he","Base","E","Dorm. S","São Paulo"
"40",762.3,"int_conv_he","Base","E","Living","São Paulo"
"41",393.7,"int_conv_he","Base","NE","Dorm. 1","São Paulo"
"42",393.6,"int_conv_he","Base","NE","Dorm. 2","São Paulo"
"43",786.8,"int_conv_he","Base","NE","Living","São Paulo"
"44",393.7,"int_conv_he","Base","NW","Dorm. 1","São Paulo"
"45",393.6,"int_conv_he","Base","NW","Dorm. 2","São Paulo"
"46",786.7,"int_conv_he","Base","NW","Living","São Paulo"
"47",394.3,"int_conv_he","Base","SE","Dorm. 1","São Paulo"
"48",394,"int_conv_he","Base","SE","Dorm. 2","São Paulo"
"49",787.5,"int_conv_he","Base","SE","Living","São Paulo"
"50",394.3,"int_conv_he","Base","SW","Dorm. 1","São Paulo"
"51",394,"int_conv_he","Base","SW","Dorm. 2","São Paulo"
"52",787.5,"int_conv_he","Base","SW","Living","São Paulo"
"53",384.3,"int_conv_he","Base","W","Dorm. N","São Paulo"
"54",385.1,"int_conv_he","Base","W","Dorm. S","São Paulo"
"55",762.6,"int_conv_he","Base","W","Living","São Paulo"
"56",388.6,"int_conv_he","Simp.","E","Dorm. N","Curitiba"
"57",391.1,"int_conv_he","Simp.","E","Dorm. S","Curitiba"
"58",763.2,"int_conv_he","Simp.","E","Living","Curitiba"
"59",395.9,"int_conv_he","Simp.","NE","Dorm. 1","Curitiba"
"60",395,"int_conv_he","Simp.","NE","Dorm. 2","Curitiba"
"61",787.4,"int_conv_he","Simp.","NE","Living","Curitiba"
"62",395.8,"int_conv_he","Simp.","NW","Dorm. 1","Curitiba"
"63",395,"int_conv_he","Simp.","NW","Dorm. 2","Curitiba"
"64",787.4,"int_conv_he","Simp.","NW","Living","Curitiba"
"65",397.7,"int_conv_he","Simp.","SE","Dorm. 1","Curitiba"
"66",396.3,"int_conv_he","Simp.","SE","Dorm. 2","Curitiba"
"67",788.2,"int_conv_he","Simp.","SE","Living","Curitiba"
"68",397.6,"int_conv_he","Simp.","SW","Dorm. 1","Curitiba"
"69",396.3,"int_conv_he","Simp.","SW","Dorm. 2","Curitiba"
"70",788.2,"int_conv_he","Simp.","SW","Living","Curitiba"
"71",388.1,"int_conv_he","Simp.","W","Dorm. N","Curitiba"
"72",390.1,"int_conv_he","Simp.","W","Dorm. S","Curitiba"
"73",763.3,"int_conv_he","Simp.","W","Living","Curitiba"
"74",382.9,"int_conv_he","Simp.","E","Dorm. N","Rio de Janeiro"
"75",383.2,"int_conv_he","Simp.","E","Dorm. S","Rio de Janeiro"
"76",761.2,"int_conv_he","Simp.","E","Living","Rio de Janeiro"
"77",392.8,"int_conv_he","Simp.","NE","Dorm. 1","Rio de Janeiro"
"78",392.9,"int_conv_he","Simp.","NE","Dorm. 2","Rio de Janeiro"
"79",785.6,"int_conv_he","Simp.","NE","Living","Rio de Janeiro"
"80",392.8,"int_conv_he","Simp.","NW","Dorm. 1","Rio de Janeiro"
"81",392.9,"int_conv_he","Simp.","NW","Dorm. 2","Rio de Janeiro"
"82",785.6,"int_conv_he","Simp.","NW","Living","Rio de Janeiro"
"83",393.2,"int_conv_he","Simp.","SE","Dorm. 1","Rio de Janeiro"
"84",393.2,"int_conv_he","Simp.","SE","Dorm. 2","Rio de Janeiro"
"85",786.5,"int_conv_he","Simp.","SE","Living","Rio de Janeiro"
"86",393.2,"int_conv_he","Simp.","SW","Dorm. 1","Rio de Janeiro"
"87",393.2,"int_conv_he","Simp.","SW","Dorm. 2","Rio de Janeiro"
"88",786.5,"int_conv_he","Simp.","SW","Living","Rio de Janeiro"
"89",382.8,"int_conv_he","Simp.","W","Dorm. N","Rio de Janeiro"
"90",383.1,"int_conv_he","Simp.","W","Dorm. S","Rio de Janeiro"
"91",761.5,"int_conv_he","Simp.","W","Living","Rio de Janeiro"
"92",384.3,"int_conv_he","Simp.","E","Dorm. N","São Paulo"
"93",384.9,"int_conv_he","Simp.","E","Dorm. S","São Paulo"
"94",762.3,"int_conv_he","Simp.","E","Living","São Paulo"
"95",393.7,"int_conv_he","Simp.","NE","Dorm. 1","São Paulo"
"96",393.6,"int_conv_he","Simp.","NE","Dorm. 2","São Paulo"
"97",786.7,"int_conv_he","Simp.","NE","Living","São Paulo"
"98",393.7,"int_conv_he","Simp.","NW","Dorm. 1","São Paulo"
"99",393.6,"int_conv_he","Simp.","NW","Dorm. 2","São Paulo"
"100",786.7,"int_conv_he","Simp.","NW","Living","São Paulo"
"101",394,"int_conv_he","Simp.","SE","Dorm. 1","São Paulo"
"102",393.9,"int_conv_he","Simp.","SE","Dorm. 2","São Paulo"
"103",787.4,"int_conv_he","Simp.","SE","Living","São Paulo"
"104",394,"int_conv_he","Simp.","SW","Dorm. 1","São Paulo"
"105",393.9,"int_conv_he","Simp.","SW","Dorm. 2","São Paulo"
"106",787.4,"int_conv_he","Simp.","SW","Living","São Paulo"
"107",384.2,"int_conv_he","Simp.","W","Dorm. N","São Paulo"
"108",384.7,"int_conv_he","Simp.","W","Dorm. S","São Paulo"
"109",762.6,"int_conv_he","Simp.","W","Living","São Paulo"
"110",43.9,"conv_hge_floor","Base","E","Dorm. N","Curitiba"
"111",80.5,"conv_hge_floor","Base","E","Dorm. S","Curitiba"
"112",177.1,"conv_hge_floor","Base","E","Living","Curitiba"
"113",49.2,"conv_hge_floor","Base","NE","Dorm. 1","Curitiba"
"114",42.6,"conv_hge_floor","Base","NE","Dorm. 2","Curitiba"
"115",243.3,"conv_hge_floor","Base","NE","Living","Curitiba"
"116",47.5,"conv_hge_floor","Base","NW","Dorm. 1","Curitiba"
"117",40.9,"conv_hge_floor","Base","NW","Dorm. 2","Curitiba"
"118",230.5,"conv_hge_floor","Base","NW","Living","Curitiba"
"119",94.7,"conv_hge_floor","Base","SE","Dorm. 1","Curitiba"
"120",82.6,"conv_hge_floor","Base","SE","Dorm. 2","Curitiba"
"121",228.1,"conv_hge_floor","Base","SE","Living","Curitiba"
"122",94.3,"conv_hge_floor","Base","SW","Dorm. 1","Curitiba"
"123",82.5,"conv_hge_floor","Base","SW","Dorm. 2","Curitiba"
"124",228,"conv_hge_floor","Base","SW","Living","Curitiba"
"125",44.2,"conv_hge_floor","Base","W","Dorm. N","Curitiba"
"126",78.3,"conv_hge_floor","Base","W","Dorm. S","Curitiba"
"127",231.2,"conv_hge_floor","Base","W","Living","Curitiba"
"128",238.2,"conv_hge_floor","Base","E","Dorm. N","Rio de Janeiro"
"129",258.4,"conv_hge_floor","Base","E","Dorm. S","Rio de Janeiro"
"130",472.6,"conv_hge_floor","Base","E","Living","Rio de Janeiro"
"131",345.4,"conv_hge_floor","Base","NE","Dorm. 1","Rio de Janeiro"
"132",349.6,"conv_hge_floor","Base","NE","Dorm. 2","Rio de Janeiro"
"133",672.6,"conv_hge_floor","Base","NE","Living","Rio de Janeiro"
"134",345.7,"conv_hge_floor","Base","NW","Dorm. 1","Rio de Janeiro"
"135",348.8,"conv_hge_floor","Base","NW","Dorm. 2","Rio de Janeiro"
"136",671.9,"conv_hge_floor","Base","NW","Living","Rio de Janeiro"
"137",375.9,"conv_hge_floor","Base","SE","Dorm. 1","Rio de Janeiro"
"138",377.8,"conv_hge_floor","Base","SE","Dorm. 2","Rio de Janeiro"
"139",634.6,"conv_hge_floor","Base","SE","Living","Rio de Janeiro"
"140",377.2,"conv_hge_floor","Base","SW","Dorm. 1","Rio de Janeiro"
"141",377.8,"conv_hge_floor","Base","SW","Dorm. 2","Rio de Janeiro"
"142",635,"conv_hge_floor","Base","SW","Living","Rio de Janeiro"
"143",248.7,"conv_hge_floor","Base","W","Dorm. N","Rio de Janeiro"
"144",270.5,"conv_hge_floor","Base","W","Dorm. S","Rio de Janeiro"
"145",561.3,"conv_hge_floor","Base","W","Living","Rio de Janeiro"
"146",97.7,"conv_hge_floor","Base","E","Dorm. N","São Paulo"
"147",123.7,"conv_hge_floor","Base","E","Dorm. S","São Paulo"
"148",269.6,"conv_hge_floor","Base","E","Living","São Paulo"
"149",143,"conv_hge_floor","Base","NE","Dorm. 1","São Paulo"
"150",142.9,"conv_hge_floor","Base","NE","Dorm. 2","São Paulo"
"151",384.4,"conv_hge_floor","Base","NE","Living","São Paulo"
"152",142.8,"conv_hge_floor","Base","NW","Dorm. 1","São Paulo"
"153",141.9,"conv_hge_floor","Base","NW","Dorm. 2","São Paulo"
"154",379.1,"conv_hge_floor","Base","NW","Living","São Paulo"
