"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",0.154202004626051,-11.2224448897795,0.764818355640546,-29.9163179916318,-8.81057268722467,-1.79856115107914,-0.296735905044493,-9.82532751091703,1.70380078636959,-9.61538461538461,133.333333333333,5.15425826713467,0,2.59067357512953,133.333333333333,-4.85135576608951,"E","Dorm. N","Curitiba","Hyp.","TV","01"
"year1",0.227790432801817,4.97427101200687,-52.3560209424084,-21.9512195121951,-1.13350125944583,-1.40105078809106,-7.847533632287,-13.1147540983607,1.28865979381443,-8.69565217391304,36.8421052631579,4.16666666666667,0,1.22699386503067,36.8421052631579,-4.06281156530409,"E","Dorm. S","Curitiba","Hyp.","TV","01"
"year2",0.091611045674641,-6.13825983313469,-10.8247422680412,-9.12144702842378,-6.52777777777778,-18.695652173913,-4.65549348230912,-11.6404981050352,1.84842883548983,-7.77626193724421,NA,4.91141794338313,0,2.01729106628243,NA,-4.25240776801221,"E","Living","Curitiba","Hyp.","TV","01"
"year3",0.278058645096048,-15.7770800627944,-8.71647509578545,-22.4086021505376,-18.6717998075072,-7.60368663594469,-4.08163265306124,-32.3258869908016,3.08699719363893,-33.8541666666667,NA,12.0101722344238,33.3333333333333,4.68085106382979,NA,-11.1567203452268,"NE","Dorm. 1","Curitiba","Hyp.","TV","01"
"year4",0.253613999492772,-16.7154352596928,-12.7589063794532,-21.1238599588114,-20.1421800947867,-30.6913996627319,-7.52212389380531,-10.5263157894737,3.29566854990584,-34.6938775510204,NA,13.5226370135028,33.3333333333333,5.30973451327435,NA,-12.5193621867881,"NE","Dorm. 2","Curitiba","Hyp.","TV","01"
"year5",0.203329520904819,-60.0292397660819,-55.5156657963446,-24.6117905730383,-27.1474506201194,NA,-35.4120267260579,-20.189701897019,9.07063197026022,-20.7894736842105,NA,30.3568551635251,5.26315789473685,14.6520146520147,NA,-27.5546084176878,"NE","Living","Curitiba","Hyp.","TV","01"
"year6",0.17694641051567,-13.3932057789926,-4.94296577946768,-12.4106015986538,-17.0172084130019,-7.91180285343709,-2.95857988165681,-5.22803114571747,2.15154349859683,-6.89655172413794,NA,7.42987979393245,33.3333333333333,2.97872340425532,NA,-7.00876095118898,"NW","Dorm. 1","Curitiba","Hyp.","TV","01"
"year7",0.177529799644938,-13.8258961228968,-8.7821043910522,-13.158669414189,-17.7935943060498,-11.2903225806452,-4.86725663716813,-8.90410958904109,2.35404896421846,-8.76288659793814,NA,8.83083341611206,0,3.53982300884956,NA,-8.31358249772107,"NW","Dorm. 2","Curitiba","Hyp.","TV","01"
"year8",0.0381242851696617,-10.5847953216374,-4.86292428198433,-8.107736704686,-11.5755627009646,-6.29745422063421,-5.90200445434298,NA,2.45353159851302,-7.31922398589066,NA,6.14752447327077,5.26315789473685,3.66300366300366,NA,-5.54549007069523,"NW","Living","Curitiba","Hyp.","TV","01"
"year9",0.374438342486271,-1.24869927159208,-32.4731182795699,-33.6270190895741,-1.30391173520561,-8.06451612903226,-15.4435925520263,-11.4503816793893,2.24299065420561,-11.7021276595745,Inf,7.19365982523878,0,2.55102040816327,Inf,-6.98214285714286,"SE","Dorm. 1","Curitiba","Hyp.","TV","01"
