"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",-0.900000000000034,3.30000000000001,-1.4,-1.9,2.1,-2,-1.5,-0.399999999999991,-1,0.600000000000001,-7.3,7.80000000000001,-0.1,-0.199999999999999,-7.3,-0.788888888888891,"E","Dorm. N","Curitiba","Hyp.","TV","01"
"year1",-0.900000000000034,5,-1.5,-2.5,-2.5,-2.9,1.09999999999999,1.7,-1.59999999999999,0.4,-9.6,11.3,0,-0.300000000000001,-9.5,-1.21111111111112,"E","Dorm. S","Curitiba","Hyp.","TV","01"
"year2",-1.79999999999995,24.3,-6.3,0.399999999999977,0.100000000000009,-5.2,-1.5,7,-3.7,0.400000000000006,-1.6,-9.70000000000005,0,-1,-1.6,1.2,"E","Living","Curitiba","Hyp.","TV","01"
"year3",-1.10000000000002,7.70000000000002,-3.1,-8.29999999999998,5.5,-1.60000000000001,-3,-9.2,-1.7,-2.6,-10.6,22,-0.1,-0.299999999999997,-10.6,-1.65833333333333,"NE","Dorm. 1","Curitiba","Hyp.","TV","01"
"year4",-1.19999999999999,14.8,-3.8,-10.7,4,-12.9,-2.6,0.700000000000003,-2.09999999999999,-2.5,-9.5,17.7,0,-0.399999999999999,-9.5,-1.23333333333333,"NE","Dorm. 2","Curitiba","Hyp.","TV","01"
"year5",0,-277.9,-25.9,-49.7,-8,0,-18,-12.6,1.5,-6.09999999999999,-0.2,347.6,0.1,1,-0.2,-17.95,"NE","Living","Curitiba","Hyp.","TV","01"
"year6",-1.5,13.9,-3.6,2.69999999999999,5.60000000000001,1.6,-3.5,-1,-2.8,0.5,-12.3,3.19999999999993,-0.1,-0.699999999999999,-12.3,-0.0666666666666629,"NW","Dorm. 1","Curitiba","Hyp.","TV","01"
"year7",-1.60000000000002,22.1,-4.1,2.09999999999999,4.3,-1.60000000000001,-2.8,2.2,-3.2,0.5,-10.5,-5.30000000000007,0,-0.599999999999998,-10.5,0.708333333333343,"NW","Dorm. 2","Curitiba","Hyp.","TV","01"
"year8",-1.39999999999998,42.3000000000001,-12.8,1.70000000000005,6.29999999999998,0.899999999999977,-6.8,0,-6.8,0.799999999999997,-0.5,-21.0999999999999,0,-1.1,-0.5,1.27999999999999,"NW","Living","Curitiba","Hyp.","TV","01"
"year9",-1.69999999999999,8.40000000000001,-3.9,-5,-5.40000000000001,-1.9,1.69999999999999,0.700000000000003,-3.8,0.299999999999999,-17.4,24.5,0,-0.599999999999998,-17.5,-1.96666666666666,"SE","Dorm. 1","Curitiba","Hyp.","TV","01"
"year10",-2.10000000000002,12.2,-4.5,-2.80000000000001,-4.39999999999999,0.600000000000001,0.900000000000006,0.0999999999999943,-4.39999999999999,0.2,-18,21.2,0,-0.600000000000001,-18,-1.625,"SE","Dorm. 2","Curitiba","Hyp.","TV","01"
"year11",-2.89999999999998,40.6,-10.1,3.60000000000002,-7.4,0,6.09999999999999,2.5,-6.90000000000001,1.3,-5.7,-18.3,0,-1,-5.8,1.42,"SE","Living","Curitiba","Hyp.","TV","01"
"year12",-1.70000000000005,8.89999999999999,-3.9,-4.8,-5.39999999999999,0.699999999999996,1.7,-1.8,-3.80000000000001,0.299999999999999,-17.4,24,0,-0.699999999999999,-17.4,-1.925,"SW","Dorm. 1","Curitiba","Hyp.","TV","01"
"year13",-2.10000000000002,12.2,-4.5,-2.8,-4.39999999999999,0.100000000000009,0.900000000000006,0.600000000000001,-4.39999999999999,0.2,-18,21.1999999999999,0,-0.600000000000001,-18,-1.61666666666667,"SW","Dorm. 2","Curitiba","Hyp.","TV","01"
"year14",-2.79999999999995,40.8,-10.1,3.70000000000005,-7.5,2.5,6.09999999999999,0,-7,1.3,-5.7,-18.5,0,-1,-5.8,1.43499999999999,"SW","Living","Curitiba","Hyp.","TV","01"
"year15",-1,6.40000000000001,-1.5,-0.299999999999997,2.1,1.3,-1.7,-2.1,-1.2,0.600000000000001,-7.4,3.39999999999998,-0.1,-0.199999999999999,-7.4,-0.244444444444433,"W","Dorm. N","Curitiba","Hyp.","TV","01"
"year16",-1,7.09999999999999,-1.5,-2.9,-2.59999999999999,1.8,1,-3.1,-1.7,0.4,-9.09999999999999,9.30000000000001,0,-0.300000000000001,-9.2,-0.977777777777781,"W","Dorm. S","Curitiba","Hyp.","TV","01"
"year17",-1.29999999999995,5.60000000000002,-7.79999999999998,-6.29999999999995,-0.899999999999991,4.69999999999999,-2.3,-7.7,-4.40000000000001,-0.5,-2.2,19.7,-0.2,-0.699999999999999,-2.2,-0.946666666666658,"W","Living","Curitiba","Hyp.","TV","01"
"year18",0.100000000000023,-16.3,-0.800000000000011,-16.1,-4.5,-1.40000000000001,-0.900000000000006,-9.30000000000001,1.3,-1.2,0,31.8000000000002,0,0.0999999999999996,0,-3.56666666666669,"E","Dorm. N","Rio de Janeiro","Hyp.","TV","01"
"year19",0,-13.7,-1.80000000000001,-18.3,-2.5,-2.69999999999999,-5.5,-7.59999999999999,0.300000000000001,-1.5,0,35.5,0,0.600000000000001,0,-3.93333333333331,"E","Dorm. S","Rio de Janeiro","Hyp.","TV","01"
