"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",0.699999999999989,-15.6,1.7,-18.3,0.800000000000001,1,1.80000000000001,-21.9,1,-0.100000000000001,1.1,27.6,0,-0.5,1.1,-3.26666666666667,"E","Dorm. N","Curitiba","Hyp.","C10","02"
"year1",-0.100000000000023,5.3,-6.8,-0.400000000000006,-3.40000000000001,-3.7,-1.5,8.2,-0.5,-0.200000000000001,-3,7.89999999999998,0,-2.3,-3.09999999999999,-0.844444444444441,"E","Dorm. S","Curitiba","Hyp.","C10","02"
"year2",-0.600000000000023,-17.2,-10.5,-50.5,-2.7,-11,-8.5,-28.2,-1.7,17.7,-0.1,63.8,0.1,-7.1,-0.1,-4.2,"E","Living","Curitiba","Hyp.","C10","02"
"year3",1.69999999999999,-52.4,-14.7,-106.4,-72.9,-2,9.8,-41.4,4.8,-7.7,1,177.7,0.4,-3.8,1,-15.025,"NE","Dorm. 1","Curitiba","Hyp.","C10","02"
"year4",1.79999999999995,-65.9,-26.3,-161.5,-78.7,-58.8,8.59999999999999,-32.5,5.89999999999999,-8.2,0,257.3,0.4,-3.5,0,-21.675,"NE","Dorm. 2","Curitiba","Hyp.","C10","02"
"year5",2.5,-436.5,-185.7,-223.5,-142.3,0,7.8,-42.6,14,-0.699999999999989,0,813.3,1.6,-1,0,-40.845,"NE","Living","Curitiba","Hyp.","C10","02"
"year6",1.10000000000002,-48.2,-12.2,-89.7,-77,-15.8,6.5,-3.3,3.5,-3.3,0.4,149.4,0.4,-4.2,0.4,-12.6416666666667,"NW","Dorm. 1","Curitiba","Hyp.","C10","02"
"year7",1.39999999999998,-58.5,-21.9,-135.7,-79.6,-40.1,6.7,-22.8,4.8,-3.8,0,213.9,0.4,-3.8,0,-18.0833333333333,"NW","Dorm. 2","Curitiba","Hyp.","C10","02"
"year8",1,-104.7,-31.3,-193.9,-133.4,-30.6,6.6,0,7.10000000000001,13.5,0,306.5,1.5,-3.6,0,-14.55,"NW","Living","Curitiba","Hyp.","C10","02"
"year9",-2.09999999999997,8.40000000000001,-3.4,24.2,-15.2,-5.9,45,0.299999999999997,-4.10000000000001,0.3,-9.6,-7.40000000000003,0,-5.7,-9.7,0.93333333333333,"SE","Dorm. 1","Curitiba","Hyp.","C10","02"
"year10",-1.30000000000001,5.3,-6.5,14.7,-8.70000000000002,3.3,19.6,0.399999999999999,-2.8,0.6,-2,-3.09999999999997,-0.1,-5.2,-2,0.50833333333334,"SE","Dorm. 2","Curitiba","Hyp.","C10","02"
"year11",-1.60000000000002,14.6,-13,13.5,-21.7,0,27.3,-3,-7.19999999999999,16.7,-0.3,-28.0999999999999,-0.2,-6.9,-0.4,1.42,"SE","Living","Curitiba","Hyp.","C10","02"
"year12",-2,8.2,-3.7,23,-14.1,0.600000000000001,42.7,-6.3,-3.8,0.399999999999999,-9.1,-6.80000000000001,0,-5.6,-9.1,0.883333333333333,"SW","Dorm. 1","Curitiba","Hyp.","C10","02"
"year13",-1.30000000000001,5.2,-6.5,14.6,-8.59999999999999,0.400000000000006,19.6,3.2,-2.8,0.5,-2,-3.10000000000002,-0.1,-5.2,-2,0.5,"SW","Dorm. 2","Curitiba","Hyp.","C10","02"
