"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",0,-4.90000000000001,0.0999999999999996,-8.7,3.6,-0.199999999999989,0.200000000000003,-12.4,0.200000000000003,0.5,-4,16.1,-0.1,-1,-4,-1.82222222222222,"E","Dorm. N","Curitiba","Hyp.","C10","02"
"year1",-0.5,3.2,-0.200000000000001,1.59999999999999,-3.39999999999998,-3.60000000000001,1.1,7.6,-1,0.3,-8.60000000000001,8.30000000000001,0,-3,-8.59999999999999,-0.855555555555554,"E","Dorm. S","Curitiba","Hyp.","C10","02"
"year2",-1.10000000000002,7.10000000000002,-5.7,-36,-1.1,-10.3,-6.09999999999999,-18.5,-2.7,21.3,-1.9,22,0.1,-9.2,-2,-1.23333333333333,"E","Living","Curitiba","Hyp.","C10","02"
"year3",1.29999999999995,-13.5,0.6,-56.6,-47.6,1.7,7.8,-18.4,3.3,-3.5,0,75.4,0.5,-7.1,-0.100000000000001,-6.31666666666668,"NE","Dorm. 1","Curitiba","Hyp.","C10","02"
"year4",1.30000000000001,-9.90000000000001,-0.700000000000001,-82.1,-51.4,-25.7,5.7,-10.8,3.5,-3.6,0.0999999999999996,98.6,0.4,-7.1,0.0999999999999996,-8.29166666666667,"NE","Dorm. 2","Curitiba","Hyp.","C10","02"
"year5",1.60000000000002,-323.8,-23.5,-134.2,-92.5,0,2.3,-18.8,7,12.2,0.2,450.2,2.1,-6.7,0.2,-22.735,"NE","Living","Curitiba","Hyp.","C10","02"
"year6",0.800000000000011,-7.69999999999999,-0.100000000000001,-48.9,-51.3,-3.1,4.7,0.799999999999997,2.3,-0.799999999999999,-2.3,62,0.5,-7.4,-2.2,-5.16666666666667,"NW","Dorm. 1","Curitiba","Hyp.","C10","02"
"year7",0.800000000000011,-2.79999999999998,-1,-70.7,-52.7,-16.7,3.7,-4.80000000000001,2.39999999999999,-0.9,-1.6,78.7,0.4,-7.4,-1.6,-6.6,"NW","Dorm. 2","Curitiba","Hyp.","C10","02"
"year8",0.100000000000023,-11.5,-9.79999999999998,-138,-92.7,-16.7,-4.7,0,0.0999999999999943,18.8,-0.1,141.1,2,-8.5,-0.1,-6.47,"NW","Living","Curitiba","Hyp.","C10","02"
"year9",-1.89999999999998,9.69999999999999,-2.1,27.8,-11.9,-3.3,39.1,3.8,-3.8,1,-17.2,-3.80000000000001,-0.1,-8.8,-17.2,0.583333333333336,"SE","Dorm. 1","Curitiba","Hyp.","C10","02"
"year10",-1.79999999999995,11.2,-2.6,18.1,-8.5,5.7,17.7,3.1,-3.7,1,-14.5,1.80000000000001,-0.1,-8.7,-14.6,0.125,"SE","Dorm. 2","Curitiba","Hyp.","C10","02"
"year11",-2.5,33.6,-7.70000000000002,21.7,-19,0,27.1,1.8,-7.90000000000001,21,-6,-54.2,-0.1,-11,-6.1,3.13499999999999,"SE","Living","Curitiba","Hyp.","C10","02"
