"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",0.599999999999966,-25.4,-6.40000000000001,-28.2,-6.2,-6.1,-4.8,-11,1.7,-1.4,0,57.1,0,-0.5,0,-6.52222222222223,"E","Dorm. N","Curitiba","Hyp.","SF","02"
"year1",0.799999999999955,-0.600000000000009,-13.8,-12.9,-2.4,-3.1,-3.2,-4.3,1.5,-0.9,0,28.2,0,-2.9,0,-3.3111111111111,"E","Dorm. S","Curitiba","Hyp.","SF","02"
"year2",0.300000000000068,-27.3,-23.8,-91.6,-9.39999999999999,-14,-9.90000000000001,-58.3,0.799999999999997,22,0,125.9,0,-7.8,0,-8.48666666666668,"E","Living","Curitiba","Hyp.","SF","02"
"year3",0.800000000000011,-65.3,-22.8,-101.8,-47.2,-17.7,-16,-20.8,5.90000000000001,-8.3,0,195.6,0.1,-5.6,0,-16.3166666666667,"NE","Dorm. 1","Curitiba","Hyp.","SF","02"
"year4",0.5,-64.5,-25.9,-108.4,-37.7,-31,-11.3,-28.3,5.39999999999999,-8.7,0,206.1,0.1,-5.5,0,-17.1416666666667,"NE","Dorm. 2","Curitiba","Hyp.","SF","02"
"year5",1,-455.5,-208.2,-399.7,-159.4,0,-76.3,-80.6,12.2,1.7,0,1031.4,1.2,-2,0,-51.65,"NE","Living","Curitiba","Hyp.","SF","02"
"year6",0.599999999999966,-59.7,-19.5,-86.3,-44,-13.1,-13.8,-15.4,5,-2.8,0,163.4,0.1,-5.9,0,-13.7666666666667,"NW","Dorm. 1","Curitiba","Hyp.","SF","02"
"year7",0.400000000000034,-57.9,-22.2,-90.4,-35,-26,-9.59999999999999,-19.8,4.39999999999999,-3.1,0,169.6,0.1,-5.8,0,-14.25,"NW","Dorm. 2","Curitiba","Hyp.","SF","02"
"year8",0.399999999999977,-88.2,-30.8,-150.7,-86,-22,-17.4,0,3.80000000000001,21.6,0,250,1.2,-5.3,0,-11.705,"NW","Living","Curitiba","Hyp.","SF","02"
"year9",0.800000000000011,-4.29999999999998,-18.6,-16.5,-3.7,-4.5,-5.09999999999999,-3.09999999999999,2.50000000000001,-0.399999999999999,0,41.1,0,-5.3,0,-3.55,"SE","Dorm. 1","Curitiba","Hyp.","SF","02"
"year10",1,-7,-20,-23.4,-3.3,-5.7,-6,-8.3,2.7,-0.5,0,51.2,-0.1,-5,0,-4.43333333333333,"SE","Dorm. 2","Curitiba","Hyp.","SF","02"
"year11",0.300000000000068,-0.700000000000045,-40.4,-57.9,-8.8,0,-29.5,-10.8,-1.70000000000002,17.6,0,80.3,-0.1,-6.4,0,-4.2,"SE","Living","Curitiba","Hyp.","SF","02"
"year12",0.800000000000011,-3.80000000000001,-18.4,-15.7,-3.6,-3,-4.8,-4.2,2.39999999999999,-0.4,0,39.5,0,-5.3,0,-3.40833333333333,"SW","Dorm. 1","Curitiba","Hyp.","SF","02"
"year13",1,-7,-20,-23.2,-3.3,-8.3,-6,-5.7,2.7,-0.4,0,51,-0.1,-5,0,-4.40833333333333,"SW","Dorm. 2","Curitiba","Hyp.","SF","02"
"year14",0.300000000000068,-0.100000000000023,-40.1,-57.1,-8.5,-10.5,-29.3,0,-1.59999999999999,17.8,0,78.3,-0.1,-6.4,0,-4.09499999999998,"SW","Living","Curitiba","Hyp.","SF","02"
"year15",0.5,-23.7,-5.7,-27.2,-6.09999999999999,-10.3,-4.8,-6,1.5,-1.4,0,53,0,0.899999999999999,0,-6.09999999999999,"W","Dorm. N","Curitiba","Hyp.","SF","02"
"year16",0.599999999999966,0.200000000000003,-13.9,-13.1,-2.4,-4.40000000000001,-3.2,-3.1,1.09999999999999,-0.9,0,24,0,1.4,0,-2.91111111111111,"W","Dorm. S","Curitiba","Hyp.","SF","02"
"year17",0.199999999999932,-51.1999999999999,-13.6,-103.9,-8.70000000000002,-73.2,-9.20000000000002,-12.9,0.700000000000003,32.8,0,130.2,0.2,-2,0,-8.73999999999998,"W","Living","Curitiba","Hyp.","SF","02"
"year18",0.100000000000023,-15.1,0.700000000000017,-16.9,-3.30000000000001,-4,-3,-6.5,0.700000000000001,-0.5,0,32.2,-0.1,0.5,0,-3.67777777777775,"E","Dorm. N","Rio de Janeiro","Hyp.","SF","02"
"year19",0,7.80000000000001,-5.89999999999999,-2,-0.5,-0.800000000000011,-0.5,-0.199999999999989,0,-0.0999999999999979,0,-0.400000000000091,-0.1,1.7,0,-0.0666666666666913,"E","Dorm. S","Rio de Janeiro","Hyp.","SF","02"
"year20",0.300000000000068,-22.8,0,-95.0999999999999,-5.90000000000001,-9.60000000000002,-6.40000000000001,-73.3,-1.4,49.1,0,57.4000000000001,0.4,-1.7,0,-3.72666666666669,"E","Living","Rio de Janeiro","Hyp.","SF","02"
