"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year",-0.409626216077835,17.1819262782402,-6.35696821515893,6.17834394904458,8.41346153846154,7.58620689655172,11.3636363636364,3.05232558139536,-2.74122807017544,17.741935483871,-88.4615384615385,-4.90196078431372,NA,-7.59999999999999,-88.4615384615385,5.02133245815557,"E","Dorm. N","Curitiba","Hyp.","SF","02"
"year1",-0.479919171507951,18.5579196217494,-11.864406779661,14.0105078809107,14.2857142857143,22.2222222222222,9.22509225092251,8.92857142857143,-3.58744394618834,9.52380952380951,-59.1397849462366,-0.0720288115246126,NA,-25.4335260115607,-59.1397849462366,0.59271803556308,"E","Dorm. S","Curitiba","Hyp.","SF","02"
"year2",-0.169890224777845,14.0605136028477,-5.18394648829431,-3.15982038915683,3.19926873857404,2.41758241758243,2.66889074228523,-12.3514431239389,-5.61471442400774,42.9597701149425,-100,-2.67188009123492,25,-37.4172185430464,-100,2.51193400380035,"E","Living","Curitiba","Hyp.","SF","02"
"year3",-0.250563768479078,13.2821497120921,-0.236406619385346,-6.1181434599156,-16.6666666666667,2.28915662650603,1.0498687664042,-3.67132867132867,-0.159744408945689,-18.4873949579832,-95.5882352941177,0.456008583690984,NA,-59.2391304347826,-95.5882352941177,0.280967505497185,"NE","Dorm. 1","Curitiba","Hyp.","SF","02"
"year4",-0.250941028858218,15.828173374613,-3.43980343980344,-4.37817258883249,-16.7874396135266,-2.76243093922652,1.83823529411765,1.9180470793374,-0.906095551894559,-19.8275862068965,-97.9591836734694,-0.668724279835382,NA,-63.5294117647059,-97.9591836734694,1.34865720652046,"NE","Dorm. 2","Curitiba","Hyp.","SF","02"
"year5",0.0634437254155564,-39.2262072860774,-15.9803921568627,-20.7603635557526,-29.702300405954,NA,-19.2152336987882,-14.5479577787976,-0.0834724540901574,20.1980198019802,NA,17.7351409313725,340,-50.5681818181818,NA,-15.7467974925048,"NE","Living","Curitiba","Hyp.","SF","02"
"year6",-0.325732899022804,15.2399232245681,-2.85714285714286,-3.42877341816896,-15.3483992467043,4.24448217317487,3.40314136125654,3.51758793969851,-0.879296562749807,9.30232558139534,-97.0588235294118,-1.82403433476395,NA,-60.8695652173913,-97.0588235294118,2.29660395797703,"NW","Dorm. 1","Curitiba","Hyp.","SF","02"
"year7",-0.326223337515687,18.220502901354,-5.6372549019608,-1.36119025007912,-15.3381642512077,2.42070116861436,4.77941176470588,4.99419279907086,-1.64609053497942,10.5263157894737,-100,-3.26478149100257,NA,-65.2941176470588,-100,3.66897198452702,"NW","Dorm. 2","Curitiba","Hyp.","SF","02"
"year8",-0.101509960664899,9.61457009741635,-7.44732974032337,-5.53403431101273,-15.9621237740954,0.224215246636771,-0.346220427005206,NA,-7.51252086811353,29.6517412935323,NA,-0.731184442232615,320,-64.7727272727273,NA,1.21581582263392,"NW","Living","Curitiba","Hyp.","SF","02"
"year9",-0.566642030056653,16.8238993710692,-20.5128205128205,8.25132475397427,172.727272727273,6.77200902934537,4.64716006884681,11.0749185667753,-3.9349871685201,20,-67.9012345679012,0.89234858553257,-100,-72.6618705035971,-67.4897119341564,-0.204953031596929,"SE","Dorm. 1","Curitiba","Hyp.","SF","02"
"year10",-0.592446309553205,17.8407350689127,-22.5531914893617,7.32339598185352,1200,10.1952277657267,2.59179265658748,7.10823909531502,-4.47368421052631,20,-78.3653846153846,0.635324015247776,-100,-75.3846153846154,-78.3653846153846,0.0817661488143862,"SE","Dorm. 2","Curitiba","Hyp.","SF","02"
"year11",-0.302648171500628,20.3037120359955,-7.42138364779875,2.13882947695897,5.81818181818181,NA,-4.69457013574661,5.29182879377433,-7.83744557329462,48.8330341113106,-84.6153846153846,-4.81824417009603,-16.6666666666667,-82.9931972789116,-84.6153846153846,4.5903885680728,"SE","Living","Curitiba","Hyp.","SF","02"
"year12",-0.566642030056653,16.9544740973312,-20.6008583690987,8.28313253012048,211.111111111111,10.5769230769231,4.63121783876501,6.77200902934537,-4.02053036783575,20,-67.7685950413223,0.833965125094764,-100,-71.4285714285714,-67.9012345679012,-0.153452685421986,"SW","Dorm. 1","Curitiba","Hyp.","SF","02"
"year13",-0.592446309553205,17.8407350689127,-22.5531914893617,7.38820479585222,1200,7.0626003210273,2.59179265658748,10.0436681222707,-4.47368421052631,20,-78.3653846153846,0.635324015247776,-100,-75.3846153846154,-78.3653846153846,0.0817527795945016,"SW","Dorm. 2","Curitiba","Hyp.","SF","02"
"year14",-0.302648171500628,20.3485103991006,-7.41671904462601,2.15617715617716,5.81113801452786,5.31587057010784,-4.69191633691352,NA,-7.91575889615106,48.8330341113106,-84.6153846153846,-4.83889396709323,-16.6666666666667,-82.9931972789116,-84.6153846153846,4.60793425622462,"SW","Living","Curitiba","Hyp.","SF","02"
"year15",-0.384319754035357,17.3032407407407,-6.86015831134565,6.37168141592921,8.5648148148148,3.75838926174496,10.4166666666667,7.36196319018404,-2.62295081967214,18.8405797101449,-89.7435897435898,-5.37730776124754,-100,-0.367647058823535,-89.7435897435898,5.44380587484036,"W","Dorm. N","Curitiba","Hyp.","SF","02"
"year16",-0.505816894284269,18.1102362204724,-15.5038759689922,9.10384068278806,12,6.94444444444444,7.61245674740485,6.20155038759689,-4.02234636871508,6.4516129032258,-59.2178770949721,-0.815090824406148,NA,3.81355932203391,-59.2178770949721,1.17308088083969,"W","Dorm. S","Curitiba","Hyp.","SF","02"
"year17",-0.143809648320045,5.24668630338733,-7.5043630017452,-6.10603290676417,0.490196078431365,-15.4903185509057,0.197238658777128,-0.681596884128532,-9.32203389830509,44.4444444444444,-100,0.025758811660171,33.3333333333333,-25.8064516129032,-100,0.07167377117207,"W","Living","Curitiba","Hyp.","SF","02"
