"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year",389,197.1,-43.5,166.7,45.1,31.2,19.6,70.9,-93.7,7.3,0.9,-567.1,0,-26.9,0.9,71.1111111111111,"E","Dorm. N","Curitiba","Hyp.","SF","Base"
"year1",394,100.3,-33,65.1,-7.8,6.6,29.6,36.6,-92.4,9.2,7.6,-416.8,0,-21.7,7.6,52.8,"E","Dorm. S","Curitiba","Hyp.","SF","Base"
"year2",763.9,448.6,113.4,582.3,112.9,139.8,123.1,206.5,-109.1,99.5,0,-1890.6,0.5,-41.5,0,147.46,"E","Living","Curitiba","Hyp.","SF","Base"
"year3",398.1,295.1,-42.4,267,88.5,84.9,38.5,55.1,-125.4,9.7,0.3,-742.2,0,-29.3,0.3,68.4083333333333,"NE","Dorm. 1","Curitiba","Hyp.","SF","Base"
"year4",397.5,299.3,-42.1,301.4,68.9,88,27.7,116.9,-122.5,9.3,0.1,-782.8,0,-27.8,0.1,72.0166666666667,"NE","Dorm. 2","Curitiba","Hyp.","SF","Base"
"year5",788.6,430.4,171.4,714.9,207.8,0,140,186.2,-119.9,121.4,0,-2148.1,2.2,-26.5,0,123.65,"NE","Living","Curitiba","Hyp.","SF","Base"
"year6",397.8,300.2,-43.2,273.2,89.9,61.4,39.5,82.4,-126.2,14.1,0.2,-759.2,0,-29.6,0.2,69.7833333333333,"NW","Dorm. 1","Curitiba","Hyp.","SF","Base"
"year7",397.2,305.6,-43.1,311.6,70.1,122.7,28.5,90.4,-123.5,12.6,0,-803.4,0,-28.1,0,73.7,"NW","Dorm. 2","Curitiba","Hyp.","SF","Base"
"year8",787.3,776.4,188.9,853.5,248.5,223.5,172.7,0,-128.8,130.3,0,-2631.3,2.1,-29,0,148.6,"NW","Living","Curitiba","Hyp.","SF","Base"
"year9",403.6,148.6,-28.2,143,0.8,47.3,60.8,34.1,-121.5,7.2,7.8,-522,0,-24,7.9,48.6916666666667,"SE","Dorm. 1","Curitiba","Hyp.","SF","Base"
"year10",402.7,153.9,-28.8,165.6,1.1,50.8,47.5,66.3,-119.1,7.2,4.5,-547.4,0,-22.8,4.5,51,"SE","Dorm. 2","Curitiba","Hyp.","SF","Base"
"year11",790.6,427.8,147.2,525.3,87.3,0,168.5,135.3,-148.6,82.9,0.2,-1833.9,0.5,-26.9,0.2,106.86,"SE","Living","Curitiba","Hyp.","SF","Base"
"year12",403.6,149,-28.1,143.8,1,34.5,61,47.3,-121.6,7.2,7.8,-523.2,0,-24,7.8,48.8,"SW","Dorm. 1","Curitiba","Hyp.","SF","Base"
"year13",402.7,153.9,-28.8,165.7,1.1,66.7,47.5,50.4,-119.1,7.2,4.5,-547.4,0,-22.8,4.5,51.0083333333333,"SW","Dorm. 2","Curitiba","Hyp.","SF","Base"
