"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year",389.7,132.9,52.7,33.5,41.4,-56.6,-33.8,82.6,-75,9.4,0.7,-513.4,0.2,-18.8,0.7,64.7222222222222,"E","Dorm. N","Curitiba","Hyp.","TV","Base"
"year1",396,61.2,9.1,-60,-80.3,-57.9,41.1,37.1,-76.6,10.5,7.8,-333.5,0.1,-16.1,7.8,42.7666666666667,"E","Dorm. S","Curitiba","Hyp.","TV","Base"
"year2",764.8,315,138.4,351.7,67.3,18.7,102.4,163.2,-106.2,67.6,0,-1508.2,0.4,-34,0,121.286666666667,"E","Living","Curitiba","Hyp.","TV","Base"
"year3",396.7,214.6,95.3,180.4,84.5,80.2,-35.7,51.5,-103.6,12.7,0,-761.2,0.4,-22.4,0,70.3416666666667,"NE","Dorm. 1","Curitiba","Hyp.","TV","Base"
"year4",395.3,227.7,105.3,268.1,67.4,82.2,-24.3,142.8,-102.7,12.8,0,-871,0.4,-21.4,0,80.0083333333333,"NE","Dorm. 2","Curitiba","Hyp.","TV","Base"
"year5",788.5,273.4,136.3,548.6,158.6,0,58,176.7,-122.3,90.3,0,-1729.1,2,-23.3,0,101.985,"NE","Living","Curitiba","Hyp.","TV","Base"
"year6",396.3,221.8,100,208.2,86.8,71,-34.8,85.2,-104.6,18.9,0,-808.6,0.4,-22.8,0,74.3,"NW","Dorm. 1","Curitiba","Hyp.","TV","Base"
"year7",395,235.6,110.1,295,69.3,143,-23.7,106.4,-103.7,17.7,0,-917.8,0.3,-21.8,0,83.8166666666667,"NW","Dorm. 2","Curitiba","Hyp.","TV","Base"
"year8",787.2,611.6,291.5,668.7,192.5,209.8,84.5,0,-131.2,105.1,0,-2329.7,2,-26.3,0,132.94,"NW","Living","Curitiba","Hyp.","TV","Base"
"year9",402.1,94.9,31.4,45.2,-101,34.2,77.2,34.8,-104.6,8.3,0.1,-456.7,0.1,-19.1,0.1,43.4083333333333,"SE","Dorm. 1","Curitiba","Hyp.","TV","Base"
"year10",399.8,102.7,38,97.4,-73.1,48.5,58.2,63.8,-105.6,7.9,0,-518,0.1,-18.4,0,49.1083333333333,"SE","Dorm. 2","Curitiba","Hyp.","TV","Base"
"year11",790.8,268.5,109.7,258.2,-58.7,0,132.6,93.8,-153.2,51.8,0,-1315.7,0.5,-23.9,0,80.095,"SE","Living","Curitiba","Hyp.","TV","Base"
"year12",401.8,96,32.3,51,-100.6,35.1,77.4,39.1,-104.8,8.3,0.1,-463.7,0.1,-19.1,0.1,44.05,"SW","Dorm. 1","Curitiba","Hyp.","TV","Base"
"year13",399.8,102.8,38,97.6,-73.1,63.9,58.2,48.6,-105.6,7.9,0,-518.3,0.1,-18.4,0,49.1333333333333,"SW","Dorm. 2","Curitiba","Hyp.","TV","Base"
"year14",790.8,269.1,110.2,259.4,-58.4,94.6,132.7,0,-153.2,51.9,0,-1318,0.5,-23.9,0,80.22,"SW","Living","Curitiba","Hyp.","TV","Base"
"year15",388.9,150.2,60.7,93.5,54.4,94.7,-29.2,-26.4,-75,12.4,0.5,-599.8,0.4,-19.3,0.5,74.5222222222222,"W","Dorm. N","Curitiba","Hyp.","TV","Base"
"year16",394.1,73.1,14.2,-8.3,-76.9,41.8,51.7,-24.9,-77.7,13,6.5,-398.3,0.1,-17,6.5,50.3555555555556,"W","Dorm. S","Curitiba","Hyp.","TV","Base"
"year17",764.7,434.9,197,536.1,89.9,207,123.9,115.2,-90.8,90.7,0.1,-1931.8,1.1,-18.3,0.1,149.913333333333,"W","Living","Curitiba","Hyp.","TV","Base"
"year18",382.5,339.1,165.8,715.5,154.6,195.2,147.5,218.2,-1.3,36.5,0,-1592.5,1.3,-5.2,0,190.266666666667,"E","Dorm. N","Rio de Janeiro","Hyp.","TV","Base"
"year19",383.2,223,105,533.6,79,178.6,133.7,142.3,-8.3,33.3,0,-1252.6,1,-13.1,0,153.633333333333,"E","Dorm. S","Rio de Janeiro","Hyp.","TV","Base"
"year20",760.9,656.3,340.7,1153.5,190.3,370.3,229.2,363.6,25.8,159.4,0,-3126.3,1.9,-6.4,0,235.5,"E","Living","Rio de Janeiro","Hyp.","TV","Base"
"year21",392.4,459.1,236.4,868.8,272.9,234.6,207.4,153.8,4.2,38.1,0,-1954.6,1.5,-5.4,0,173.3,"NE","Dorm. 1","Rio de Janeiro","Hyp.","TV","Base"
"year22",392.5,448.3,233.1,877.5,203.9,222.7,142.2,308.6,6.1,36.9,0,-1953.3,1.7,-5.1,0,173.233333333333,"NE","Dorm. 2","Rio de Janeiro","Hyp.","TV","Base"
"year23",785.9,596.1,340.3,1297.3,334.9,0,358.9,307.5,53.2,163.5,0,-3284.3,1.8,-8.2,0,183.075,"NE","Living","Rio de Janeiro","Hyp.","TV","Base"
"year24",392.4,465.1,240.1,891,275.8,172.5,209,233.7,3.8,43.8,0,-1996,1.6,-5.5,0,176.666666666667,"NW","Dorm. 1","Rio de Janeiro","Hyp.","TV","Base"
"year25",392.4,457.6,238.5,908.6,206.8,308.7,143.5,249.6,5.3,42.3,0,-2007.3,1.7,-5.2,0,177.666666666667,"NW","Dorm. 2","Rio de Janeiro","Hyp.","TV","Base"
"year26",785.3,1007.8,520.2,1474.1,387.1,353.1,398.9,0,48.7,184.6,0,-4044.9,1.8,-10.3,0,221.665,"NW","Living","Rio de Janeiro","Hyp.","TV","Base"
"year27",393.2,281.5,150.2,625.7,115.2,161.7,232.1,116.7,-2.5,28.4,0,-1462.7,2,-9.9,0,133.95,"SE","Dorm. 1","Rio de Janeiro","Hyp.","TV","Base"
"year28",393.3,272.4,146.6,609.1,76.8,163.6,172.3,196.4,-1.4,28.4,0,-1436.6,2.4,-9.1,0,131.8,"SE","Dorm. 2","Rio de Janeiro","Hyp.","TV","Base"
"year29",786.7,558.9,299.6,908.3,202.6,0,289.1,204.1,14.8,115.3,0,-2713.3,15.5,-8.1,0,159.455,"SE","Living","Rio de Janeiro","Hyp.","TV","Base"
