"","val","var","sim","dwel","room","weather"
"2",394.7,"int_conv_he","Base","E","Dorm. N","Curitiba"
"3",400.4,"int_conv_he","Base","E","Dorm. S","Curitiba"
"4",768,"int_conv_he","Base","E","Living","Curitiba"
"5",401.4,"int_conv_he","Base","NE","Dorm. 1","Curitiba"
"6",399.6,"int_conv_he","Base","NE","Dorm. 2","Curitiba"
"7",791,"int_conv_he","Base","NE","Living","Curitiba"
"8",400.9,"int_conv_he","Base","NW","Dorm. 1","Curitiba"
"9",399.2,"int_conv_he","Base","NW","Dorm. 2","Curitiba"
"10",789.6,"int_conv_he","Base","NW","Living","Curitiba"
"11",407.6,"int_conv_he","Base","SE","Dorm. 1","Curitiba"
"12",405.5,"int_conv_he","Base","SE","Dorm. 2","Curitiba"
"13",794.6,"int_conv_he","Base","SE","Living","Curitiba"
"14",407.4,"int_conv_he","Base","SW","Dorm. 1","Curitiba"
"15",405.5,"int_conv_he","Base","SW","Dorm. 2","Curitiba"
"16",794.6,"int_conv_he","Base","SW","Living","Curitiba"
"17",393.6,"int_conv_he","Base","W","Dorm. N","Curitiba"
"18",398.9,"int_conv_he","Base","W","Dorm. S","Curitiba"
"19",767.2,"int_conv_he","Base","W","Living","Curitiba"
"20",382.5,"int_conv_he","Base","E","Dorm. N","Rio de Janeiro"
"21",383.1,"int_conv_he","Base","E","Dorm. S","Rio de Janeiro"
"22",760.8,"int_conv_he","Base","E","Living","Rio de Janeiro"
"23",392.3,"int_conv_he","Base","NE","Dorm. 1","Rio de Janeiro"
"24",392.3,"int_conv_he","Base","NE","Dorm. 2","Rio de Janeiro"
"25",785.5,"int_conv_he","Base","NE","Living","Rio de Janeiro"
"26",392.3,"int_conv_he","Base","NW","Dorm. 1","Rio de Janeiro"
"27",392.3,"int_conv_he","Base","NW","Dorm. 2","Rio de Janeiro"
"28",785.2,"int_conv_he","Base","NW","Living","Rio de Janeiro"
"29",392.9,"int_conv_he","Base","SE","Dorm. 1","Rio de Janeiro"
"30",392.9,"int_conv_he","Base","SE","Dorm. 2","Rio de Janeiro"
"31",786.2,"int_conv_he","Base","SE","Living","Rio de Janeiro"
"32",392.9,"int_conv_he","Base","SW","Dorm. 1","Rio de Janeiro"
"33",392.9,"int_conv_he","Base","SW","Dorm. 2","Rio de Janeiro"
"34",786.2,"int_conv_he","Base","SW","Living","Rio de Janeiro"
"35",382.4,"int_conv_he","Base","W","Dorm. N","Rio de Janeiro"
"36",383.1,"int_conv_he","Base","W","Dorm. S","Rio de Janeiro"
"37",761.2,"int_conv_he","Base","W","Living","Rio de Janeiro"
"38",387.6,"int_conv_he","Base","E","Dorm. N","São Paulo"
"39",391.4,"int_conv_he","Base","E","Dorm. S","São Paulo"
"40",763,"int_conv_he","Base","E","Living","São Paulo"
"41",395.9,"int_conv_he","Base","NE","Dorm. 1","São Paulo"
"42",395.1,"int_conv_he","Base","NE","Dorm. 2","São Paulo"
"43",787.4,"int_conv_he","Base","NE","Living","São Paulo"
"44",395.7,"int_conv_he","Base","NW","Dorm. 1","São Paulo"
"45",394.9,"int_conv_he","Base","NW","Dorm. 2","São Paulo"
"46",787,"int_conv_he","Base","NW","Living","São Paulo"
"47",399.7,"int_conv_he","Base","SE","Dorm. 1","São Paulo"
"48",398.3,"int_conv_he","Base","SE","Dorm. 2","São Paulo"
"49",788.5,"int_conv_he","Base","SE","Living","São Paulo"
"50",399.6,"int_conv_he","Base","SW","Dorm. 1","São Paulo"
"51",398.3,"int_conv_he","Base","SW","Dorm. 2","São Paulo"
"52",788.5,"int_conv_he","Base","SW","Living","São Paulo"
"53",387.2,"int_conv_he","Base","W","Dorm. N","São Paulo"
"54",390.8,"int_conv_he","Base","W","Dorm. S","São Paulo"
"55",763.2,"int_conv_he","Base","W","Living","São Paulo"
"56",395.2,"int_conv_he","Simp.","E","Dorm. N","Curitiba"
"57",401.2,"int_conv_he","Simp.","E","Dorm. S","Curitiba"
"58",769.2,"int_conv_he","Simp.","E","Living","Curitiba"
"59",400.9,"int_conv_he","Simp.","NE","Dorm. 1","Curitiba"
"60",399.2,"int_conv_he","Simp.","NE","Dorm. 2","Curitiba"
"61",790,"int_conv_he","Simp.","NE","Living","Curitiba"
"62",400.8,"int_conv_he","Simp.","NW","Dorm. 1","Curitiba"
"63",399.2,"int_conv_he","Simp.","NW","Dorm. 2","Curitiba"
"64",790,"int_conv_he","Simp.","NW","Living","Curitiba"
"65",409.4,"int_conv_he","Simp.","SE","Dorm. 1","Curitiba"
"66",407.5,"int_conv_he","Simp.","SE","Dorm. 2","Curitiba"
"67",797.3,"int_conv_he","Simp.","SE","Living","Curitiba"
"68",409.2,"int_conv_he","Simp.","SW","Dorm. 1","Curitiba"
"69",407.5,"int_conv_he","Simp.","SW","Dorm. 2","Curitiba"
"70",797.2,"int_conv_he","Simp.","SW","Living","Curitiba"
"71",394.2,"int_conv_he","Simp.","W","Dorm. N","Curitiba"
"72",399.8,"int_conv_he","Simp.","W","Dorm. S","Curitiba"
"73",768.1,"int_conv_he","Simp.","W","Living","Curitiba"
"74",382.4,"int_conv_he","Simp.","E","Dorm. N","Rio de Janeiro"
"75",383.1,"int_conv_he","Simp.","E","Dorm. S","Rio de Janeiro"
"76",760.6,"int_conv_he","Simp.","E","Living","Rio de Janeiro"
"77",392,"int_conv_he","Simp.","NE","Dorm. 1","Rio de Janeiro"
"78",392,"int_conv_he","Simp.","NE","Dorm. 2","Rio de Janeiro"
"79",785,"int_conv_he","Simp.","NE","Living","Rio de Janeiro"
"80",392,"int_conv_he","Simp.","NW","Dorm. 1","Rio de Janeiro"
"81",392,"int_conv_he","Simp.","NW","Dorm. 2","Rio de Janeiro"
"82",785,"int_conv_he","Simp.","NW","Living","Rio de Janeiro"
"83",392.9,"int_conv_he","Simp.","SE","Dorm. 1","Rio de Janeiro"
"84",392.8,"int_conv_he","Simp.","SE","Dorm. 2","Rio de Janeiro"
"85",786.3,"int_conv_he","Simp.","SE","Living","Rio de Janeiro"
"86",392.9,"int_conv_he","Simp.","SW","Dorm. 1","Rio de Janeiro"
"87",392.8,"int_conv_he","Simp.","SW","Dorm. 2","Rio de Janeiro"
"88",786.3,"int_conv_he","Simp.","SW","Living","Rio de Janeiro"
"89",382.3,"int_conv_he","Simp.","W","Dorm. N","Rio de Janeiro"
"90",383,"int_conv_he","Simp.","W","Dorm. S","Rio de Janeiro"
"91",761.2,"int_conv_he","Simp.","W","Living","Rio de Janeiro"
"92",387.9,"int_conv_he","Simp.","E","Dorm. N","São Paulo"
"93",392.1,"int_conv_he","Simp.","E","Dorm. S","São Paulo"
"94",763.3,"int_conv_he","Simp.","E","Living","São Paulo"
"95",395.8,"int_conv_he","Simp.","NE","Dorm. 1","São Paulo"
"96",395.1,"int_conv_he","Simp.","NE","Dorm. 2","São Paulo"
"97",787.1,"int_conv_he","Simp.","NE","Living","São Paulo"
"98",395.8,"int_conv_he","Simp.","NW","Dorm. 1","São Paulo"
"99",395.1,"int_conv_he","Simp.","NW","Dorm. 2","São Paulo"
"100",787.1,"int_conv_he","Simp.","NW","Living","São Paulo"
"101",401.1,"int_conv_he","Simp.","SE","Dorm. 1","São Paulo"
"102",399.7,"int_conv_he","Simp.","SE","Dorm. 2","São Paulo"
"103",789.3,"int_conv_he","Simp.","SE","Living","São Paulo"
"104",401,"int_conv_he","Simp.","SW","Dorm. 1","São Paulo"
"105",399.7,"int_conv_he","Simp.","SW","Dorm. 2","São Paulo"
"106",789.3,"int_conv_he","Simp.","SW","Living","São Paulo"
"107",387.6,"int_conv_he","Simp.","W","Dorm. N","São Paulo"
"108",391.6,"int_conv_he","Simp.","W","Dorm. S","São Paulo"
"109",763.5,"int_conv_he","Simp.","W","Living","São Paulo"
"110",140.8,"conv_hge_floor","Base","E","Dorm. N","Curitiba"
"111",68.7,"conv_hge_floor","Base","E","Dorm. S","Curitiba"
"112",358.9,"conv_hge_floor","Base","E","Living","Curitiba"
"113",230.4,"conv_hge_floor","Base","NE","Dorm. 1","Curitiba"
"114",243.5,"conv_hge_floor","Base","NE","Dorm. 2","Curitiba"
"115",335.5,"conv_hge_floor","Base","NE","Living","Curitiba"
"116",237.3,"conv_hge_floor","Base","NW","Dorm. 1","Curitiba"
"117",250.8,"conv_hge_floor","Base","NW","Dorm. 2","Curitiba"
"118",655.7,"conv_hge_floor","Base","NW","Living","Curitiba"
"119",114.5,"conv_hge_floor","Base","SE","Dorm. 1","Curitiba"
"120",125.6,"conv_hge_floor","Base","SE","Dorm. 2","Curitiba"
"121",341.4,"conv_hge_floor","Base","SE","Living","Curitiba"
"122",115.6,"conv_hge_floor","Base","SW","Dorm. 1","Curitiba"
"123",125.6,"conv_hge_floor","Base","SW","Dorm. 2","Curitiba"
"124",341.8,"conv_hge_floor","Base","SW","Living","Curitiba"
"125",155.4,"conv_hge_floor","Base","W","Dorm. N","Curitiba"
"126",79.8,"conv_hge_floor","Base","W","Dorm. S","Curitiba"
"127",472.5,"conv_hge_floor","Base","W","Living","Curitiba"
"128",346,"conv_hge_floor","Base","E","Dorm. N","Rio de Janeiro"
"129",235.9,"conv_hge_floor","Base","E","Dorm. S","Rio de Janeiro"
"130",712.4,"conv_hge_floor","Base","E","Living","Rio de Janeiro"
"131",481.3,"conv_hge_floor","Base","NE","Dorm. 1","Rio de Janeiro"
"132",473.5,"conv_hge_floor","Base","NE","Dorm. 2","Rio de Janeiro"
"133",701.1,"conv_hge_floor","Base","NE","Living","Rio de Janeiro"
"134",487.2,"conv_hge_floor","Base","NW","Dorm. 1","Rio de Janeiro"
"135",482.4,"conv_hge_floor","Base","NW","Dorm. 2","Rio de Janeiro"
"136",1086,"conv_hge_floor","Base","NW","Living","Rio de Janeiro"
"137",312.7,"conv_hge_floor","Base","SE","Dorm. 1","Rio de Janeiro"
"138",306.6,"conv_hge_floor","Base","SE","Dorm. 2","Rio de Janeiro"
"139",664.4,"conv_hge_floor","Base","SE","Living","Rio de Janeiro"
"140",311.1,"conv_hge_floor","Base","SW","Dorm. 1","Rio de Janeiro"
"141",306.6,"conv_hge_floor","Base","SW","Dorm. 2","Rio de Janeiro"
"142",664.2,"conv_hge_floor","Base","SW","Living","Rio de Janeiro"
"143",351,"conv_hge_floor","Base","W","Dorm. N","Rio de Janeiro"
"144",240.9,"conv_hge_floor","Base","W","Dorm. S","Rio de Janeiro"
"145",778.4,"conv_hge_floor","Base","W","Living","Rio de Janeiro"
"146",213.3,"conv_hge_floor","Base","E","Dorm. N","São Paulo"
"147",132.2,"conv_hge_floor","Base","E","Dorm. S","São Paulo"
"148",502.1,"conv_hge_floor","Base","E","Living","São Paulo"
"149",315.9,"conv_hge_floor","Base","NE","Dorm. 1","São Paulo"
"150",321.5,"conv_hge_floor","Base","NE","Dorm. 2","São Paulo"
"151",469.5,"conv_hge_floor","Base","NE","Living","São Paulo"
"152",321.3,"conv_hge_floor","Base","NW","Dorm. 1","São Paulo"
"153",329.4,"conv_hge_floor","Base","NW","Dorm. 2","São Paulo"
"154",806.2,"conv_hge_floor","Base","NW","Living","São Paulo"
"155",187.3,"conv_hge_floor","Base","SE","Dorm. 1","São Paulo"
"156",191.3,"conv_hge_floor","Base","SE","Dorm. 2","São Paulo"
"157",460.7,"conv_hge_floor","Base","SE","Living","São Paulo"
"158",186.3,"conv_hge_floor","Base","SW","Dorm. 1","São Paulo"
"159",191.3,"conv_hge_floor","Base","SW","Dorm. 2","São Paulo"
"160",460.6,"conv_hge_floor","Base","SW","Living","São Paulo"
"161",218.8,"conv_hge_floor","Base","W","Dorm. N","São Paulo"
"162",136.2,"conv_hge_floor","Base","W","Dorm. S","São Paulo"
"163",549.9,"conv_hge_floor","Base","W","Living","São Paulo"
"164",138.5,"conv_hge_floor","Simp.","E","Dorm. N","Curitiba"
"165",63.2,"conv_hge_floor","Simp.","E","Dorm. S","Curitiba"
"166",337.8,"conv_hge_floor","Simp.","E","Living","Curitiba"
"167",233.2,"conv_hge_floor","Simp.","NE","Dorm. 1","Curitiba"
"168",240.2,"conv_hge_floor","Simp.","NE","Dorm. 2","Curitiba"
"169",636.9,"conv_hge_floor","Simp.","NE","Living","Curitiba"
"170",234.2,"conv_hge_floor","Simp.","NW","Dorm. 1","Curitiba"
"171",240.2,"conv_hge_floor","Simp.","NW","Dorm. 2","Curitiba"
"172",636.9,"conv_hge_floor","Simp.","NW","Living","Curitiba"
"173",102,"conv_hge_floor","Simp.","SE","Dorm. 1","Curitiba"
"174",110.3,"conv_hge_floor","Simp.","SE","Dorm. 2","Curitiba"
"175",293.7,"conv_hge_floor","Simp.","SE","Living","Curitiba"
"176",102.7,"conv_hge_floor","Simp.","SW","Dorm. 1","Curitiba"
"177",110.4,"conv_hge_floor","Simp.","SW","Dorm. 2","Curitiba"
"178",293.9,"conv_hge_floor","Simp.","SW","Living","Curitiba"
"179",150.4,"conv_hge_floor","Simp.","W","Dorm. N","Curitiba"
"180",72.8,"conv_hge_floor","Simp.","W","Dorm. S","Curitiba"
"181",472.7,"conv_hge_floor","Simp.","W","Living","Curitiba"
"182",361.5,"conv_hge_floor","Simp.","E","Dorm. N","Rio de Janeiro"
"183",247.6,"conv_hge_floor","Simp.","E","Dorm. S","Rio de Janeiro"
"184",753,"conv_hge_floor","Simp.","E","Living","Rio de Janeiro"
"185",526.3,"conv_hge_floor","Simp.","NE","Dorm. 1","Rio de Janeiro"
"186",517.5,"conv_hge_floor","Simp.","NE","Dorm. 2","Rio de Janeiro"
"187",1160,"conv_hge_floor","Simp.","NE","Living","Rio de Janeiro"
"188",524.9,"conv_hge_floor","Simp.","NW","Dorm. 1","Rio de Janeiro"
"189",517.4,"conv_hge_floor","Simp.","NW","Dorm. 2","Rio de Janeiro"
"190",1159.7,"conv_hge_floor","Simp.","NW","Living","Rio de Janeiro"
"191",329.6,"conv_hge_floor","Simp.","SE","Dorm. 1","Rio de Janeiro"
"192",328.1,"conv_hge_floor","Simp.","SE","Dorm. 2","Rio de Janeiro"
"193",687.9,"conv_hge_floor","Simp.","SE","Living","Rio de Janeiro"
"194",328.2,"conv_hge_floor","Simp.","SW","Dorm. 1","Rio de Janeiro"
"195",328,"conv_hge_floor","Simp.","SW","Dorm. 2","Rio de Janeiro"
"196",687.7,"conv_hge_floor","Simp.","SW","Living","Rio de Janeiro"
"197",366.5,"conv_hge_floor","Simp.","W","Dorm. N","Rio de Janeiro"
"198",253.2,"conv_hge_floor","Simp.","W","Dorm. S","Rio de Janeiro"
"199",836.8,"conv_hge_floor","Simp.","W","Living","Rio de Janeiro"
"200",212.4,"conv_hge_floor","Simp.","E","Dorm. N","São Paulo"
"201",128.8,"conv_hge_floor","Simp.","E","Dorm. S","São Paulo"
"202",496.5,"conv_hge_floor","Simp.","E","Living","São Paulo"
"203",328.6,"conv_hge_floor","Simp.","NE","Dorm. 1","São Paulo"
"204",329.2,"conv_hge_floor","Simp.","NE","Dorm. 2","São Paulo"
"205",807.8,"conv_hge_floor","Simp.","NE","Living","São Paulo"
"206",327.8,"conv_hge_floor","Simp.","NW","Dorm. 1","São Paulo"
"207",329.2,"conv_hge_floor","Simp.","NW","Dorm. 2","São Paulo"
"208",807.6,"conv_hge_floor","Simp.","NW","Living","São Paulo"
"209",179.4,"conv_hge_floor","Simp.","SE","Dorm. 1","São Paulo"
