"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.2,5.1,5.7,3.2,-6.2,-3.1,6.5,0.3,-7.8,0.7,0,-1.6,0,-44.4,0,0.5,"Hip.","00","TV","Térreo","HVAC","L","Dorm. N","Curitiba"
43.6,9.2,0.3,-9.5,-6.6,3.2,3,-9.8,-8.7,0.8,0,-1.4,0,-33.6,0,0.1,"Hip.","00","TV","Térreo","HVAC","L","Dorm. S","Curitiba"
50.9,12.1,8.8,4,0.8,5.6,8.9,19.3,-6.9,3.8,0,-1.5,0,-87.1,0,27.9,"Hip.","00","TV","Térreo","HVAC","L","Sala","Curitiba"
33,4.2,8.3,5.1,5,-2.2,4,12,-7.9,1.1,0,-1.5,0,-48.5,0,0.3,"Hip.","00","TV","Térreo","HVAC","NE","Dorm. 1","Curitiba"
32.9,3.6,9.2,4.2,6.2,-1.4,8.3,17.3,-7.7,1,0,-1.4,0,-54.3,0,0.2,"Hip.","00","TV","Térreo","HVAC","NE","Dorm. 2","Curitiba"
39.4,11.8,14.2,8,0,4.4,8.2,28.1,-5.8,4.3,0.1,-1,0,-91.7,0,28.1,"Hip.","00","TV","Térreo","HVAC","NE","Sala","Curitiba"
33,4.2,8.4,5.2,4.1,-2.1,5.3,12.4,-7.9,1.1,0,-1.5,0,-49.1,0,0.3,"Hip.","00","TV","Térreo","HVAC","NO","Dorm. 1","Curitiba"
32.9,3.6,9.2,4.2,8.4,-1.4,6,17.3,-7.7,1,0,-1.4,0,-54.3,0,0.2,"Hip.","00","TV","Térreo","HVAC","NO","Dorm. 2","Curitiba"
39.4,11.8,14.2,8,8.3,4.4,0,28.1,-5.8,4.2,0.1,-1,0,-91.7,0,28.1,"Hip.","00","TV","Térreo","HVAC","NO","Sala","Curitiba"
33.2,8.1,2.2,-8.8,2.5,4.9,2.3,0.8,-8.8,0.5,0,-1.3,0,-34.7,0,0,"Hip.","00","TV","Térreo","HVAC","SE","Dorm. 1","Curitiba"
33.1,7.1,3,-6.2,3.3,3.8,4.3,5.1,-8.7,0.5,0,-1.2,0,-38.7,0,0,"Hip.","00","TV","Térreo","HVAC","SE","Dorm. 2","Curitiba"
39.4,11.6,5.3,-3.5,0,5.5,4,9.9,-7.7,2.2,0,-1,0,-60.2,0,9.5,"Hip.","00","TV","Térreo","HVAC","SE","Sala","Curitiba"
33.2,8.1,2.4,-8.8,2.3,4.9,2.8,1.3,-8.8,0.6,0,-1.3,0,-35.3,0,0,"Hip.","00","TV","Térreo","HVAC","SO","Dorm. 1","Curitiba"
33.1,7.1,3,-6.2,4.3,3.8,3.3,5.1,-8.7,0.5,0,-1.2,0,-38.7,0,0,"Hip.","00","TV","Térreo","HVAC","SO","Dorm. 2","Curitiba"
39.4,11.6,5.3,-3.4,4,5.5,0,10,-7.7,2.2,0,-1,0,-60.2,0,9.5,"Hip.","00","TV","Térreo","HVAC","SO","Sala","Curitiba"
43.1,5.2,6.5,4.2,7.3,-2.7,-2.5,6.2,-7.8,0.9,0,-1.6,0,-51.2,0,1.7,"Hip.","00","TV","Térreo","HVAC","O","Dorm. N","Curitiba"
43.4,9,0.9,-9.1,3.5,4.1,-2.5,-4,-8.8,1,0,-1.5,0,-39.6,0,0.9,"Hip.","00","TV","Térreo","HVAC","O","Dorm. S","Curitiba"
50.9,15.7,13,5.6,12,7.2,7.9,32.6,-5.6,5.4,0,-1.1,0,-112.1,0,52.8,"Hip.","00","TV","Térreo","HVAC","O","Sala","Curitiba"
42.5,26.9,17.6,15.4,21.6,16.6,21.4,74.9,0.3,3.7,0.1,-0.3,0,-161.9,0,137.1,"Hip.","00","TV","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
