"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
47.4,15.5,9.8,9.6,-0.3,4,13.7,27,-3.9,2.1,0,-98.5,3.2,0.2,5.1,94.7,30.5,27.3,"Hip.","01","C10","Térreo","AFN","L","Dorm. N","Curitiba"
47.6,19.6,4.1,-6.5,1.6,10.8,7.3,13.4,-4.9,2.1,0,-83.4,2.9,0.1,7.8,92.1,29.4,26.5,"Hip.","01","C10","Térreo","AFN","L","Dorm. S","Curitiba"
51.1,8.3,7,0.8,-3.5,3.4,7.8,8.5,-5.5,1.4,0,-69.6,2.7,16.4,0.6,83,30.3,26.9,"Hip.","01","C10","Térreo","AFN","L","Sala","Curitiba"
36.4,15.8,13.6,15.3,10.5,4.8,10.8,41.5,-3.7,2.4,0,-106.5,3.3,0.2,0.9,98.9,30.2,26.8,"Hip.","01","C10","Térreo","AFN","NE","Dorm. 1","Curitiba"
36.4,16,14.9,12.5,16.1,3.6,17,49.2,-3.5,2.5,0,-116,3.6,0.1,0.3,99.5,29.7,26.6,"Hip.","01","C10","Térreo","AFN","NE","Dorm. 2","Curitiba"
39.5,6.7,13.2,8.9,0,2,5.3,21.4,-4.8,2.2,0,-77.5,3,17.6,0,82.4,30.5,26.6,"Hip.","01","C10","Térreo","AFN","NE","Sala","Curitiba"
36.4,15.7,13.8,15.5,10.8,4.8,11.4,42.6,-3.7,2.5,0,-107.7,3.3,0.2,1,98.8,30.2,26.8,"Hip.","01","C10","Térreo","AFN","NO","Dorm. 1","Curitiba"
36.4,16,14.9,12.5,17.1,3.6,16,49.2,-3.5,2.5,0,-116,3.6,0.1,0.4,99.5,29.7,26.6,"Hip.","01","C10","Térreo","AFN","NO","Dorm. 2","Curitiba"
39.5,6.7,13.2,8.9,5.2,2,0,21.4,-4.8,2.1,0,-77.5,3,17.6,0,82.4,30.5,26.6,"Hip.","01","C10","Térreo","AFN","NO","Sala","Curitiba"
36.6,21.6,5.7,-5.1,7.7,9.6,7.1,19.3,-4.4,1.5,0,-81.1,2.8,0,4.8,95.2,28.2,25.4,"Hip.","01","C10","Térreo","AFN","SE","Dorm. 1","Curitiba"
36.7,21.3,6.6,-3.6,10.4,7.9,10.5,25.2,-4.3,1.6,0,-88,3.1,0,2.1,97.9,27.7,25.2,"Hip.","01","C10","Térreo","AFN","SE","Dorm. 2","Curitiba"
40.4,12.2,3.6,-6.2,0,4.4,2.1,2.5,-5.7,0.9,0,-53.3,2.4,6.1,0.7,93.2,29.1,25.5,"Hip.","01","C10","Térreo","AFN","SE","Sala","Curitiba"
36.6,21.4,5.9,-5,7.1,9.8,8.6,20.5,-4.4,1.5,0,-82.4,2.9,0,4.6,95.4,28.2,25.4,"Hip.","01","C10","Térreo","AFN","SO","Dorm. 1","Curitiba"
36.7,21.3,6.6,-3.6,10.5,7.9,10.4,25.3,-4.3,1.6,0,-88,3.1,0,2.1,97.9,27.7,25.2,"Hip.","01","C10","Térreo","AFN","SO","Dorm. 2","Curitiba"
40.4,12.1,3.7,-6.2,2.1,4.4,0,2.6,-5.7,0.9,0,-53.4,2.4,6.1,0.7,93.2,29.1,25.5,"Hip.","01","C10","Térreo","AFN","SO","Sala","Curitiba"
47.2,14.6,10.9,11.7,13.9,3.8,5.4,34.8,-4,2.4,0,-106.8,3.3,0.7,4.7,94.6,32,27.8,"Hip.","01","C10","Térreo","AFN","O","Dorm. N","Curitiba"
47.4,18.7,4.8,-6.5,7.2,12.9,8.2,21.8,-5.1,2.4,0,-91.9,3,0.4,7,92.6,31.4,27,"Hip.","01","C10","Térreo","AFN","O","Dorm. S","Curitiba"
50.2,7.8,10.7,1.4,10.8,3.9,3.1,19.2,-5.1,1.9,0,-83.3,2.9,26,0.6,73.5,32.3,27,"Hip.","01","C10","Térreo","AFN","O","Sala","Curitiba"
35.6,16.5,11.6,11.5,6.6,5.9,15.4,39.3,-3.4,2.5,0,-102.3,3.9,64.9,0,35.1,36.3,33.6,"Hip.","01","C10","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
36.3,21.6,5.5,-3.7,9.8,13.1,8.3,27.5,-4.1,2.5,0,-91.2,3.7,56.5,0,43.5,36.7,32.8,"Hip.","01","C10","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
40.4,9,10.7,1.9,2.9,4.9,11.7,21.4,-4.4,2.1,0,-78,3.1,85.9,0,14.1,37,33.2,"Hip.","01","C10","Térreo","AFN","L","Sala","Rio de Janeiro"
27.3,17.6,15.1,17,12.2,7,11.5,47.7,-3.1,2.7,0,-107.7,3.9,71.7,0,28.3,36.3,33.1,"Hip.","01","C10","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
