"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
0,0.4,0.9,2.5,0,0,3.8,2.4,-2,3.6,Inf,-1,3,6.2,0,-0.2,0.3,0.4,"Hip.","01","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
0,-1.4,-1.8,0,0,2.7,-9.8,-2.9,1.9,3.6,NA,0.6,-3.4,0,3.5,-0.3,0.6,0,"Hip.","01","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.4,1.8,1.3,-8.3,0,-2.2,35,18.8,-1.5,-37.9,NA,-2,0,9.4,175,-4.7,2.5,1.1,"Hip.","01","TV","Intermediário","AFN","L","Sala","Curitiba"
-0.3,3.6,4.3,15.6,2.4,0,7.4,8.4,-2,10,NA,-4.6,0,60,-46.2,-0.4,2.5,1.1,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.3,3.8,4.7,18.9,7.2,0,5.1,9,-2,6.5,NA,-5,2.6,66.7,-66.7,-0.8,2.8,1.4,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-0.8,4.7,6.4,73.2,NA,-4.2,4.3,27.4,-7.8,-22.2,NA,-6.4,3.1,12,NA,-6.5,1.6,1.8,"Hip.","01","TV","Intermediário","AFN","NE","Sala","Curitiba"
-0.3,3.6,4.3,16.1,8.3,0,2.3,8.8,-2,6.5,NA,-4.6,2.9,73.3,-46.2,-0.5,2.5,1.1,"Hip.","01","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.3,3.8,4.7,18.9,5.1,0,7.2,9,-2,6.5,NA,-5,2.6,66.7,-66.7,-0.8,2.8,1.4,"Hip.","01","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-0.8,4.7,6.4,73.2,4.2,-4.2,NA,27.4,-7.8,-25,NA,-6.5,3.1,12,NA,-6.5,1.6,1.8,"Hip.","01","TV","Intermediário","AFN","NO","Sala","Curitiba"
0.3,-6.4,-7.7,11.1,-1.2,-32,-5.1,-17.6,5.9,-5.3,NA,7.5,-6.9,50,28.6,-1.8,0.3,-0.4,"Hip.","01","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
0,-6,-7.1,14.3,-5.3,-28.7,-7.6,-14.1,6,-5,NA,6.9,-3.2,0,35.1,-1.5,0.3,-0.8,"Hip.","01","TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
0.3,-2.5,-7.3,12,NA,-9.7,-9.4,-10.6,4.5,-50,NA,4.9,-3.8,0.6,118.2,-1.6,1,0,"Hip.","01","TV","Intermediário","AFN","SE","Sala","Curitiba"
0.3,-6.3,-7.6,11.1,-5.1,-31.8,-1.2,-16.5,5.9,-5.3,NA,7.3,-3.4,0,34.6,-1.9,0.7,-0.8,"Hip.","01","TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
0,-6,-7.1,14.3,-7.6,-28.7,-5.3,-14.4,6,-5,NA,7,-3.2,0,35.1,-1.5,0.3,-0.8,"Hip.","01","TV","Intermediário","AFN","SO","Dorm. 2","Curitiba"
0.3,-2.5,-7.3,12,-9.4,-9.7,NA,-9.6,4.5,-50,NA,4.8,-3.8,0,109.1,-1.5,1,0,"Hip.","01","TV","Intermediário","AFN","SO","Sala","Curitiba"
0,0.8,0.9,5.1,3.6,-2.9,-1.8,3.1,0,6.2,0,-1.5,0,10.7,0,-0.3,0.6,0.3,"Hip.","01","TV","Intermediário","AFN","O","Dorm. N","Curitiba"
0,0,-1.6,0,-9.3,4.6,0,-1.5,0,6.2,NA,-0.1,0,6.7,3.9,-0.4,0.6,0,"Hip.","01","TV","Intermediário","AFN","O","Dorm. S","Curitiba"
-0.4,3.6,2.8,0,56.5,2,-2.7,24.8,-4.6,-38.9,NA,-4,3.3,5.9,87.5,-4.8,2.3,1.8,"Hip.","01","TV","Intermediário","AFN","O","Sala","Curitiba"
-0.3,0.8,0.8,3.8,0,-2,4.6,2.8,0,3.1,NA,-1.5,2.6,1,NA,-2.4,0.5,0.3,"Hip.","01","TV","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
0,-1.2,-1.4,NA,0,3.8,-10.6,-1.6,0,2.9,NA,0.3,0,-0.7,NA,0.9,0.5,0.3,"Hip.","01","TV","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
-0.8,4.9,4.4,2.8,2.6,3.2,53.5,24.3,-3.6,-35,NA,-5.3,3.2,0,NA,0,2.3,1.2,"Hip.","01","TV","Intermediário","AFN","L","Sala","Rio de Janeiro"
-0.8,3.7,4,18.9,2.2,0,6.4,8.5,-6.8,6.2,NA,-4.8,0,3.1,NA,-10.1,1.9,1.2,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
-1.1,3.3,4.4,21.1,6.5,-2.3,5.3,8.8,-7,6.2,NA,-4.9,0,3.2,NA,-11.5,1.6,1.2,"Hip.","01","TV","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
