"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.0111111111111128,0.255555555555556,-1.64444444444444,0.188888888888889,0.566666666666665,0.422222222222222,-0.455555555555556,0.71111111111111,0.0666666666666673,0.0222222222222223,0,0.0111111111111111,-0.0888888888888889,0.666666666666671,-0.0888888888888889,-0.711111111111116,"Hip.","02","C10","Térreo","HVAC","L","Dorm. N","Curitiba"
-0.12222222222222,-0.866666666666667,1.7,0.322222222222219,0.333333333333334,-0.0888888888888886,0.322222222222222,0.888888888888889,-0.0555555555555554,0.0111111111111112,0,-0.0333333333333332,-0.311111111111111,-1.11111111111111,-0.311111111111111,1.31111111111111,"Hip.","02","C10","Térreo","HVAC","L","Dorm. S","Curitiba"
-0.0399999999999991,-0.0933333333333337,-0.466666666666667,0.346666666666667,0.626666666666666,-0.126666666666667,-0.173333333333333,0.673333333333332,0.046666666666666,0.0199999999999996,0,-0.0133333333333332,0,-0.0800000000000125,0,0.213333333333338,"Hip.","02","C10","Térreo","HVAC","L","Sala","Curitiba"
-0.00833333333333286,0.45,-2.475,-0.100000000000001,-0.133333333333333,0.5,-0.275,-0.00833333333333375,0.0916666666666659,-0.0583333333333333,0,0.0166666666666666,0,2,0,-2.09166666666666,"Hip.","02","C10","Térreo","HVAC","NE","Dorm. 1","Curitiba"
0,0.558333333333334,-2.91666666666667,-0.0666666666666664,-0.416666666666666,0.416666666666667,-0.691666666666666,-0.766666666666666,0.125,-0.0666666666666668,0.00833333333333333,0.0250000000000001,0,3.04166666666666,0,-3.15833333333333,"Hip.","02","C10","Térreo","HVAC","NE","Dorm. 2","Curitiba"
-0.00499999999999545,0.180000000000001,-3.255,-0.245,0,0.175,-0.55,-0.995000000000001,0.0499999999999998,-0.245000000000001,0,0.01,0,4.405,0,-4.45999999999999,"Hip.","02","C10","Térreo","HVAC","NE","Sala","Curitiba"
-0.00833333333333997,0.45,-2.51666666666667,-0.116666666666667,-0.283333333333333,0.475000000000001,-0.174999999999999,-0.0916666666666659,0.083333333333333,-0.0666666666666665,0,0.00833333333333308,0,2.13333333333333,0,-2.225,"Hip.","02","C10","Térreo","HVAC","NO","Dorm. 1","Curitiba"
0,0.566666666666667,-2.91666666666667,-0.0750000000000002,-0.708333333333333,0.416666666666667,-0.408333333333333,-0.766666666666667,0.125,-0.0666666666666668,0.00833333333333333,0.0166666666666666,0,3.05,0,-3.16666666666666,"Hip.","02","C10","Térreo","HVAC","NO","Dorm. 2","Curitiba"
-0.00499999999999545,0.18,-3.265,-0.25,-0.555,0.165,0,-1.02,0.0499999999999998,-0.245,0,0.01,0,4.44499999999999,0,-4.505,"Hip.","02","C10","Térreo","HVAC","NO","Sala","Curitiba"
-0.0916666666666686,-0.675,1.05833333333333,0.516666666666667,0.283333333333333,-0.358333333333333,0.175,0.616666666666667,-0.0166666666666657,0.05,0,-0.0333333333333334,0,-0.899999999999999,0,1.025,"Hip.","02","C10","Térreo","HVAC","SE","Dorm. 1","Curitiba"
-0.0833333333333357,-0.508333333333333,0.7,0.458333333333334,0.258333333333333,-0.25,0.308333333333334,0.775,0.00833333333333286,0.0416666666666666,-0.00833333333333333,-0.0250000000000001,0,-0.908333333333339,0,1.025,"Hip.","02","C10","Térreo","HVAC","SE","Dorm. 2","Curitiba"
-0.0549999999999997,-0.344999999999999,1.075,0.68,0,-0.0800000000000001,0.335,1.17,0.0699999999999985,0.135,-0.005,-0.0150000000000001,0,-1.975,0,2.29499999999999,"Hip.","02","C10","Térreo","HVAC","SE","Sala","Curitiba"
-0.0833333333333357,-0.633333333333333,0.975,0.491666666666669,0.166666666666667,-0.358333333333333,0.225,0.525,-0.0250000000000004,0.05,0,-0.0250000000000001,0,-0.775000000000002,0,0.891666666666666,"Hip.","02","C10","Térreo","HVAC","SO","Dorm. 1","Curitiba"
-0.0833333333333357,-0.508333333333335,0.691666666666667,0.450000000000001,0.308333333333334,-0.25,0.25,0.758333333333334,0.00833333333333286,0.0499999999999999,-0.00833333333333333,-0.0250000000000001,0,-0.900000000000002,0,1.01666666666667,"Hip.","02","C10","Térreo","HVAC","SO","Dorm. 2","Curitiba"
-0.0549999999999997,-0.344999999999999,1.05,0.66,0.335,-0.085,0,1.125,0.0699999999999985,0.125,-0.005,-0.0150000000000001,0,-1.89499999999999,0,2.205,"Hip.","02","C10","Térreo","HVAC","SO","Sala","Curitiba"
0,0.288888888888888,-1.95555555555556,0.0333333333333332,-0.5,0.377777777777778,0.566666666666666,0.477777777777778,0.0666666666666664,-0.0111111111111112,0,0.0111111111111113,-0.0777777777777778,1.2,-0.0777777777777778,-1.25555555555555,"Hip.","02","C10","Térreo","HVAC","O","Dorm. N","Curitiba"
-0.0888888888888886,-0.71111111111111,1.35555555555556,0.288888888888888,0.344444444444445,-0.211111111111111,0.266666666666667,0.677777777777779,-0.0444444444444443,-0.0111111111111111,0,-0.0333333333333334,-0.255555555555556,-0.799999999999997,-0.255555555555556,0.955555555555556,"Hip.","02","C10","Térreo","HVAC","O","Dorm. S","Curitiba"
-0.0333333333333314,-0.226666666666667,-2.10666666666667,0.206666666666667,-0.366666666666667,-0.253333333333333,0.286666666666667,-0.120000000000001,-0.00666666666666682,-0.126666666666667,0,-0.0066666666666666,0,2.64,0,-2.66,"Hip.","02","C10","Térreo","HVAC","O","Sala","Curitiba"
0.0111111111111128,1.27777777777778,-1.06666666666667,0.511111111111109,0.81111111111111,0.633333333333333,0.133333333333333,2.08888888888889,0.111111111111111,0.111111111111111,-0.0111111111111111,0,0,-2.71111111111114,0,2.67777777777778,"Hip.","02","C10","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
0,0.766666666666666,2.2,0.71111111111111,0.855555555555554,0.5,1.24444444444444,3.3111111111111,0.0555555555555556,0.155555555555555,0,-0.0333333333333333,0,-6.43333333333334,0,6.51111111111112,"Hip.","02","C10","Térreo","HVAC","L","Dorm. S","Rio de Janeiro"
