"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
423.9,201.1,80.2,100.7,-25.1,9.1,144.7,229.5,-40.3,21.4,0.4,-927.6,3.1,1,6.5,92.5,31.6,28,"Hip.","02","C10","Intermediário","AFN","L","Dorm. N","Curitiba"
427,106.8,48.5,-58.8,3,114.9,81.8,140.9,-44.8,21.5,0.2,-723.3,2.7,0.4,11.5,88.1,30.9,27,"Hip.","02","C10","Intermediário","AFN","L","Dorm. S","Curitiba"
760,250.9,103.4,8.9,-83.5,57.8,116.1,99.2,-90.4,40.2,0.1,-1128.8,2.7,23.9,2.4,73.6,31.5,27.5,"Hip.","02","C10","Intermediário","AFN","L","Sala","Curitiba"
433.4,331.7,150.8,180.2,132.6,14.8,152.7,480.3,-54.4,33.6,0.6,-1383.5,3.4,0.9,3.1,96,31.2,27.6,"Hip.","02","C10","Intermediário","AFN","NE","Dorm. 1","Curitiba"
433.2,352.2,169.4,139.9,223.5,8.2,233.9,605.6,-53.7,34.5,0.6,-1547.4,3.7,1,0.9,98.2,31,27.6,"Hip.","02","C10","Intermediário","AFN","NE","Dorm. 2","Curitiba"
779.1,530.8,220.8,108.8,0,-28.1,123.9,306.6,-117.8,67.8,0.6,-1778.7,3.1,28.5,0.1,71.4,31.5,27.3,"Hip.","02","C10","Intermediário","AFN","NE","Sala","Curitiba"
433.1,334.3,152.5,179.9,152.7,14.1,145.2,491.9,-54.7,34.7,0.6,-1400,3.4,1,3,96,31.3,27.7,"Hip.","02","C10","Intermediário","AFN","NO","Dorm. 1","Curitiba"
433.2,352.1,169.4,140,235.1,8.2,222.2,605.5,-53.7,34.3,0.6,-1547.1,3.7,1,0.9,98.2,31,27.6,"Hip.","02","C10","Intermediário","AFN","NO","Dorm. 2","Curitiba"
779.1,530.8,220.8,108.7,123.7,-28.3,0,306.5,-117.9,67.5,0.6,-1778.5,3.1,28.5,0.1,71.4,31.5,27.3,"Hip.","02","C10","Intermediário","AFN","NO","Sala","Curitiba"
437.6,171.8,96.1,-66.3,90.8,207,100.4,331.9,-56.1,21.3,0.2,-1013.8,2.8,0.1,7.2,92.7,29.3,26.1,"Hip.","02","C10","Intermediário","AFN","SE","Dorm. 1","Curitiba"
