"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-1,0.0999999999999996,2.3,2.2,15,7,0.600000000000001,24.8,-2,0.4,0,-0.5,0,-23.3,0,-0.2,"Hip.",2,"SF","Térreo","HVAC","L","Dorm. N","Curitiba"
-1.3,-0.9,2.5,14.9,11.2,-0.3,1.2,27,-2.2,0.3,0,-0.3,-0.2,-24.4,-0.2,-0.1,"Hip.",2,"SF","Térreo","HVAC","L","Dorm. S","Curitiba"
-0.200000000000003,2.8,3.3,2.9,9.8,1.1,2.8,16.6,-1.7,1.6,0,-0.3,0,-22.3,0,8.9,"Hip.",2,"SF","Térreo","HVAC","L","Sala","Curitiba"
-0.400000000000006,2.5,2.2,3.8,2.5,8.2,1,15.4,-1.8,0.3,0,-0.4,0,-17.2,0,-0.1,"Hip.",2,"SF","Térreo","HVAC","NE","Dorm. 1","Curitiba"
-0.300000000000004,3.1,2,3,2.1,5.9,1.4,12.4,-1.6,0.2,0,-0.2,0,-15,0,0,"Hip.",2,"SF","Térreo","HVAC","NE","Dorm. 2","Curitiba"
-0.100000000000001,5.7,3.3,3.7,2.2,4.3,1.2,11.6,-1.3,1.3,-0.1,-0.2,0,-20.5,0,18.5,"Hip.",2,"SF","Térreo","HVAC","NE","Sala","Curitiba"
-0.400000000000006,2.5,2.2,3.7,1.1,8.2,1.6,14.6,-1.8,0.3,0,-0.4,0,-16.3,0,-0.1,"Hip.",2,"SF","Térreo","HVAC","NO","Dorm. 1","Curitiba"
-0.300000000000004,3.1,2,3,1.8,5.9,1.9,12.5,-1.6,0.2,0,-0.2,0,-15,0,0,"Hip.",2,"SF","Térreo","HVAC","NO","Dorm. 2","Curitiba"
-0.100000000000001,5.7,3.3,3.7,1.5,4.3,2.1,11.7,-1.3,1.4,-0.1,-0.2,0,-20.6,0,18.6,"Hip.",2,"SF","Térreo","HVAC","NO","Sala","Curitiba"
-0.600000000000001,1.5,2.4,15.9,2.1,0.399999999999999,0.8,19.4,-2,0.3,0,-0.3,0,-20.3,0,0,"Hip.",2,"SF","Térreo","HVAC","SE","Dorm. 1","Curitiba"
-0.399999999999999,2.8,2.4,11.7,1.8,0.8,1.9,16.3,-1.7,0.3,0,-0.1,0,-19.2,0,0,"Hip.",2,"SF","Térreo","HVAC","SE","Dorm. 2","Curitiba"
-0.100000000000001,4,3.7,11.3,2,1.6,1.7,16.7,-1.5,1.3,0,-0.2,0,-23.8,0,11.5,"Hip.",2,"SF","Térreo","HVAC","SE","Sala","Curitiba"
-0.600000000000001,1.6,2.5,16,0.9,0.5,1.4,18.8,-2,0.3,0,-0.3,0,-19.8,0,0,"Hip.",2,"SF","Térreo","HVAC","SO","Dorm. 1","Curitiba"
-0.399999999999999,2.8,2.4,11.7,1.9,0.8,1.8,16.3,-1.7,0.3,0,-0.1,0,-19.2,0,0,"Hip.",2,"SF","Térreo","HVAC","SO","Dorm. 2","Curitiba"
-0.100000000000001,4,3.7,11.3,1.8,1.6,2,16.6,-1.5,1.3,0,-0.2,0,-23.7,0,11.5,"Hip.",2,"SF","Térreo","HVAC","SO","Sala","Curitiba"
-0.899999999999999,0.2,2,1.4,0.8,7.1,9.4,18.7,-2.1,0.1,0,-0.4,0,-17,0,-1.1,"Hip.",2,"SF","Térreo","HVAC","O","Dorm. N","Curitiba"
-1.1,-0.300000000000001,2.5,15.1,1.4,-1,5.5,21,-2.1,0.2,0,-0.3,-0.1,-19,-0.1,-0.7,"Hip.",2,"SF","Térreo","HVAC","O","Dorm. S","Curitiba"
-0.200000000000003,5,3.7,3.7,5.2,2,5.3,16.3,-1.3,1.9,0,-0.2,0,-25.7,0,19.3,"Hip.",2,"SF","Térreo","HVAC","O","Sala","Curitiba"
0,-0.599999999999998,-2.2,-2.7,-6.8,-7.6,-4.5,-21.8,-0.6,-0.4,0,-0.1,0,25.5,0,-22.2,"Hip.",2,"SF","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
0,0.299999999999997,-1,1.6,-10.3,-4.3,-2.2,-15.1,-0.3,-0.1,0,0,0,15.9,0,-13.5,"Hip.",2,"SF","Térreo","HVAC","L","Dorm. S","Rio de Janeiro"
-0.0999999999999943,-1.2,-1.3,-1.6,-12,-3.8,-2.5,-19.8,-0.8,-0.6,0,-0.1,0,24.7,0,-16.1,"Hip.",2,"SF","Térreo","HVAC","L","Sala","Rio de Janeiro"
0,-1.7,-2.4,-4.4,-5.2,-8.7,-3,-21.4,-0.9,-0.5,0,0,0,27.3,0,-25.1,"Hip.",2,"SF","Térreo","HVAC","NE","Dorm. 1","Rio de Janeiro"
0,-2.2,-2.4,-3.5,-4.4,-6.4,-5.7,-20,-1,-0.5,0,-0.1,0,26.7,0,-25.6,"Hip.",2,"SF","Térreo","HVAC","NE","Dorm. 2","Rio de Janeiro"
0,-0.100000000000001,-0.699999999999999,-1.2,-2,-10.4,-2.3,-15.8,-0.7,-0.0999999999999996,0,-0.1,0,17.3,0,-14.4,"Hip.",2,"SF","Térreo","HVAC","NE","Sala","Rio de Janeiro"
0,-1.8,-2.4,-4.4,-3.1,-8.8,-5.3,-21.7,-0.9,-0.4,0,0,0,27.7,0,-25.6,"Hip.",2,"SF","Térreo","HVAC","NO","Dorm. 1","Rio de Janeiro"
0,-2.1,-2.4,-3.5,-5.7,-6.4,-4.3,-19.9,-1,-0.5,0,-0.1,0,26.7,0,-25.6,"Hip.",2,"SF","Térreo","HVAC","NO","Dorm. 2","Rio de Janeiro"
0,-0.100000000000001,-0.699999999999999,-1.1,-2.2,-10.4,-2,-15.6,-0.7,-0.0999999999999996,0,-0.1,0,17.1,0,-14.1,"Hip.",2,"SF","Térreo","HVAC","NO","Sala","Rio de Janeiro"
0,-1.1,-1.2,0.300000000000001,-4.1,-6.3,-2.2,-12.5,-0.8,-0.2,0,-0.1,0,16.1,0,-12.6,"Hip.",2,"SF","Térreo","HVAC","SE","Dorm. 1","Rio de Janeiro"
0,-1.2,-0.9,0.0999999999999996,-3.2,-4.8,-3.6,-11.5,-0.8,-0.2,0,-0.1,0,15.2,0,-12.1,"Hip.",2,"SF","Térreo","HVAC","SE","Dorm. 2","Rio de Janeiro"
0,-0.100000000000001,0.400000000000002,-0.9,-1.2,-2.4,-0.800000000000001,-5.3,-0.6,0.0999999999999996,0,0,0,5.40000000000001,0,2.89999999999998,"Hip.",2,"SF","Térreo","HVAC","SE","Sala","Rio de Janeiro"
