"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.2,16.7,5.8,5.1,-6.1,-3.7,10.2,5.6,-8.5,1.2,0,-2.1,0,-60.5,0,4.3,"Hip.","02","TV","Intermediário","HVAC","L","Dorm. N","Curitiba"
43.9,6.5,2.1,-8.8,-6.3,5,4.8,-5.3,-8.6,1.3,0,-1.8,0.6,-38.8,0.6,1.5,"Hip.","02","TV","Intermediário","HVAC","L","Dorm. S","Curitiba"
50.9,22.2,10.2,4.7,1.4,7.1,12.2,25.4,-7.3,4.8,0,-2.3,0,-104.9,0,58.1,"Hip.","02","TV","Intermediário","HVAC","L","Sala","Curitiba"
33,21.3,8.8,8.8,7.3,-2.8,6.4,19.6,-8.9,1.6,0,-2,0,-72.6,0,3.8,"Hip.","02","TV","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
32.9,22.9,10.2,7.1,10,-1.8,13.3,28.6,-8.8,1.7,0,-1.9,0,-84.5,0,4.1,"Hip.","02","TV","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
39.3,34,15.1,10.8,9.8,4.4,10.9,35.9,-6.8,5.6,0.1,-1.4,0,-123.1,0,66.8,"Hip.","02","TV","Intermediário","HVAC","NE","Sala","Curitiba"
33,21.4,8.9,8.8,6.5,-2.8,7.5,20.1,-8.9,1.7,0,-2,0,-73.3,0,3.9,"Hip.","02","TV","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
32.9,22.9,10.2,7.1,13.5,-1.8,9.8,28.6,-8.8,1.6,0,-1.9,0,-84.5,0,4.1,"Hip.","02","TV","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
39.3,34,15.1,10.8,11.1,4.4,9.7,35.9,-6.8,5.6,0.1,-1.4,0,-123,0,66.8,"Hip.","02","TV","Intermediário","HVAC","NO","Sala","Curitiba"
33.4,8,4,-8.3,3.1,7.6,3.3,5.7,-8.9,0.8,0,-1.6,0,-41.2,0,0.5,"Hip.","02","TV","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
33.2,9,4.7,-5.9,4.7,5.8,6.1,10.7,-9,0.8,0,-1.6,0,-47.4,0,0.5,"Hip.","02","TV","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
39.5,13.8,7.2,-2.8,5.1,7.7,5.2,15.2,-7.9,2.9,0,-1.2,0,-70.4,0,24.9,"Hip.","02","TV","Intermediário","HVAC","SE","Sala","Curitiba"
33.4,8.1,4.1,-8.3,3.3,7.7,3.5,6.2,-8.9,0.8,0,-1.6,0,-41.8,0,0.6,"Hip.","02","TV","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
33.2,9,4.7,-5.9,6.1,5.8,4.7,10.7,-9,0.8,0,-1.6,0,-47.4,0,0.5,"Hip.","02","TV","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
39.5,13.8,7.3,-2.8,5.2,7.7,5.1,15.2,-7.9,2.9,0,-1.2,0,-70.4,0,25,"Hip.","02","TV","Intermediário","HVAC","SO","Sala","Curitiba"
