"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
423.4,192.1,51.9,92.1,-37.6,-1.4,136.6,189.7,-41.8,19.1,0.7,-849.6,2.9,1.6,10.3,88.1,32.9,28.6,"Hip.","03","C10","Cobertura","AFN","L","Dorm. N","Curitiba"
425.9,109.3,52.9,-63.5,-10.4,108.8,72.4,107.2,-46.4,19.8,0.2,-694.7,2.5,1.1,16.5,82.4,32.8,27.9,"Hip.","03","C10","Cobertura","AFN","L","Dorm. S","Curitiba"
754.8,259.4,86,14.1,-83.5,59.1,143.5,133.3,-87.7,25.4,0.1,-1134.9,2.6,30.1,5.4,64.6,33.1,28.1,"Hip.","03","C10","Cobertura","AFN","L","Sala","Curitiba"
432.3,319.8,86.4,193.4,122,-2,143.2,456.6,-57.2,30.7,0.1,-1275.3,3.1,2.1,6.6,91.4,32.7,28.3,"Hip.","03","C10","Cobertura","AFN","NE","Dorm. 1","Curitiba"
431.9,336,91.9,160.2,208.5,-4.5,218.6,582.8,-57.1,31.2,0.1,-1421.7,3.4,2.3,5.4,92.3,32.5,28.3,"Hip.","03","C10","Cobertura","AFN","NE","Dorm. 2","Curitiba"
774.1,522.9,136.9,206.7,0,-37.6,122.4,409.1,-116.8,49.6,0.1,-1763.1,3,35.7,2.8,61.6,32.5,27.8,"Hip.","03","C10","Cobertura","AFN","NE","Sala","Curitiba"
432,322.1,86.6,195.4,143.1,-2.8,132.9,468.7,-57.6,31.8,0.1,-1290,3.1,2.3,6.5,91.2,32.7,28.3,"Hip.","03","C10","Cobertura","AFN","NO","Dorm. 1","Curitiba"
431.9,335.9,91.9,160.1,219.8,-4.5,207.1,582.5,-57.1,31.1,0.1,-1421.3,3.4,2.3,5.4,92.3,32.5,28.3,"Hip.","03","C10","Cobertura","AFN","NO","Dorm. 2","Curitiba"
774.1,522.9,136.8,206.7,122.2,-37.7,0,409.1,-116.9,49.3,0.1,-1762.7,3,35.7,2.8,61.6,32.5,27.8,"Hip.","03","C10","Cobertura","AFN","NO","Sala","Curitiba"
436.5,169,89.1,-68,94.1,124.2,95.7,245.9,-56.1,19.3,0.4,-915.2,2.5,1,13.9,85,32,27.2,"Hip.","03","C10","Cobertura","AFN","SE","Dorm. 1","Curitiba"
