"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
426.9,165.2,85.6,82.4,80.8,58.2,105.2,326.6,-45.6,23.4,0.1,-982.3,3.4,0,0.3,99.7,31.2,28.1,"Hip.","03","SF","Térreo","AFN","L","Dorm. N","Curitiba"
427.7,192.8,72.2,36.5,65.9,74.1,85.2,261.7,-54.4,24.6,0.1,-932.9,3.3,0,0.6,99.4,29.2,27.1,"Hip.","03","SF","Térreo","AFN","L","Dorm. S","Curitiba"
757,125,113.8,59.4,67.4,64.6,140.8,332.3,-103.6,31,0,-1235.6,3,21.1,0,78.9,31.1,27.9,"Hip.","03","SF","Térreo","AFN","L","Sala","Curitiba"
437.9,240.5,136.6,156.7,122.8,91.1,97.1,467.7,-58.2,29.1,0,-1250.2,3.3,0,0.2,99.8,30.9,27.8,"Hip.","03","SF","Térreo","AFN","NE","Dorm. 1","Curitiba"
438.4,244.5,141.3,121.5,149.1,64.3,167,501.8,-55.5,29.2,0.1,-1299.3,3.5,0,0.2,99.8,30.8,27.7,"Hip.","03","SF","Térreo","AFN","NE","Dorm. 2","Curitiba"
784.9,202.7,208.2,183,0,101.7,125,537.3,-113.3,50.9,0.1,-1665.3,3.2,24.7,0,75.3,31,27.5,"Hip.","03","SF","Térreo","AFN","NE","Sala","Curitiba"
437.9,240.9,136.8,156.9,98.9,91.2,119.7,466.6,-58.2,30.1,0,-1251.1,3.3,0,0.2,99.8,30.9,27.8,"Hip.","03","SF","Térreo","AFN","NO","Dorm. 1","Curitiba"
438.4,244.4,141.3,121.5,171.7,64.3,144.8,502.4,-55.5,29.1,0.1,-1299.7,3.5,0,0.2,99.8,30.8,27.8,"Hip.","03","SF","Térreo","AFN","NO","Dorm. 2","Curitiba"
784.9,202.6,208.3,183.1,129.3,101.7,0,538.4,-113.3,50.4,0.1,-1665.9,3.2,24.8,0,75.2,31,27.5,"Hip.","03","SF","Térreo","AFN","NO","Sala","Curitiba"
438.8,281.1,116.1,61.6,99.6,132.1,82.2,375.5,-68.5,24.3,0.1,-1169.8,3.2,0,0.3,99.7,28.8,26.6,"Hip.","03","SF","Térreo","AFN","SE","Dorm. 1","Curitiba"
