"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
42.6,23.8,9.3,7.7,6,4.3,11.6,29.7,-10.9,1.5,0,-2.7,0,-90.1,0,9.2,"Hip.","03","SF","Intermediário","HVAC","L","Dorm. N","Curitiba"
43,10,4.3,-0.1,1.6,4.4,5.2,11.1,-10.7,1.5,0,-1.8,0,-56.8,0,2.9,"Hip.","03","SF","Intermediário","HVAC","L","Dorm. S","Curitiba"
50.8,28.3,13.7,7.8,9.7,8.7,17.2,43.4,-8.4,4.9,0,-2,0,-132.2,0,90.2,"Hip.","03","SF","Intermediário","HVAC","L","Sala","Curitiba"
32.7,29,12.7,14.3,10.8,6.4,8,39.5,-11.2,1.9,0,-1.9,0,-100.3,0,12.5,"Hip.","03","SF","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
32.7,29.4,13.4,11.2,12.5,4.6,15.4,43.7,-10.9,1.9,0,-1.8,0,-106,0,12.3,"Hip.","03","SF","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
39.3,40.9,18.6,17.3,0,9.9,12.6,52.3,-7.6,5.8,0,-1.2,0,-150.5,0,105.9,"Hip.","03","SF","Intermediário","HVAC","NE","Sala","Curitiba"
32.7,29,12.7,14.3,8.1,6.4,10.5,39.4,-11.2,1.9,0,-1.9,0,-100.2,0,12.5,"Hip.","03","SF","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
32.7,29.4,13.4,11.3,15.8,4.6,12.2,43.8,-10.9,1.9,0,-1.8,0,-106.1,0,12.4,"Hip.","03","SF","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
39.3,40.9,18.6,17.3,12.9,9.9,0,52.3,-7.6,5.7,0,-1.2,0,-150.5,0,105.9,"Hip.","03","SF","Intermediário","HVAC","NO","Sala","Curitiba"
33,11.3,5.9,0.9,4.8,6.4,3.6,15.7,-10.6,0.8,0,-1.4,0,-53.8,0,1.6,"Hip.","03","SF","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
32.9,11.9,6.4,0.7,5.6,5.3,7.1,18.6,-10.4,0.8,0,-1.3,0,-58,0,1.4,"Hip.","03","SF","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
39.4,17.2,9.4,3.8,0,8.7,6.3,25,-8.4,2.7,0,-1,0,-84.9,0,39.8,"Hip.","03","SF","Intermediário","HVAC","SE","Sala","Curitiba"
33,11.3,5.9,0.9,3.7,6.5,4.8,15.8,-10.6,0.8,0,-1.4,0,-54,0,1.6,"Hip.","03","SF","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
32.9,11.9,6.4,0.7,7.1,5.3,5.5,18.6,-10.4,0.8,0,-1.3,0,-58,0,1.4,"Hip.","03","SF","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
39.4,17.2,9.4,3.8,6.4,8.7,0,25,-8.4,2.7,0,-1,0,-84.9,0,39.8,"Hip.","03","SF","Intermediário","HVAC","SO","Sala","Curitiba"
42.6,24.4,9.8,8.1,12.5,4.6,6.7,31.9,-10.8,1.7,0,-2.9,0,-93.2,0,11.4,"Hip.","03","SF","Intermediário","HVAC","O","Dorm. N","Curitiba"
43,10.7,4.8,0.2,5.6,4.8,2.7,13.3,-10.7,1.6,0,-2.4,0,-59.4,0,4.2,"Hip.","03","SF","Intermediário","HVAC","O","Dorm. S","Curitiba"
