"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.5,-0.0999999999999996,0.9,1,6,2.1,-0.100000000000001,9,-0.7,0.2,0,-0.0999999999999999,-0.1,-8.59999999999999,-0.1,0,"Hip.",3,"TV","Térreo","HVAC","L","Dorm. N","Curitiba"
-0.700000000000003,-1,0.7,6.1,3.5,-0.5,0.6,9.6,-0.799999999999999,0.1,0,-0.0999999999999999,-0.3,-7.5,-0.3,0,"Hip.",3,"TV","Térreo","HVAC","L","Dorm. S","Curitiba"
-0.100000000000001,0.4,1.3,1.3,4.3,0.5,1.3,7.4,-0.5,0.4,0,-0.1,0,-8.7,0,2.3,"Hip.",3,"TV","Térreo","HVAC","L","Sala","Curitiba"
-0.200000000000003,0.899999999999999,0.9,0.899999999999999,1.3,3.5,0.4,6,-0.5,0.1,0,-0.0999999999999999,0,-7,0,-0.1,"Hip.",3,"TV","Térreo","HVAC","NE","Dorm. 1","Curitiba"
-0.100000000000001,1.2,0.8,0.6,0.8,2.7,0.7,4.7,-0.399999999999999,0.1,0,-0.1,0,-6.3,0,0,"Hip.",3,"TV","Térreo","HVAC","NE","Dorm. 2","Curitiba"
0,1.8,1.1,1.1,0.800000000000001,2.1,0.5,4.6,-0.3,0.3,0,0,0,-7.3,0,3.3,"Hip.",3,"TV","Térreo","HVAC","NE","Sala","Curitiba"
-0.200000000000003,0.899999999999999,0.899999999999999,0.7,0.3,3.5,0.9,5.5,-0.5,0.1,0,-0.0999999999999999,0,-6.6,0,0,"Hip.",3,"TV","Térreo","HVAC","NO","Dorm. 1","Curitiba"
-0.100000000000001,1.2,0.8,0.6,0.7,2.7,0.699999999999999,4.7,-0.399999999999999,0.2,0,-0.1,0,-6.40000000000001,0,0,"Hip.",3,"TV","Térreo","HVAC","NO","Dorm. 2","Curitiba"
0,1.8,1.1,1.1,0.6,2.1,0.8,4.6,-0.3,0.3,0,0,0,-7.3,0,3.4,"Hip.",3,"TV","Térreo","HVAC","NO","Sala","Curitiba"
-0.399999999999999,-0.6,0.8,6.7,0.6,0.7,0.1,8.2,-0.799999999999999,0.1,0,-0.0999999999999999,0,-7.1,0,0,"Hip.",3,"TV","Térreo","HVAC","SE","Dorm. 1","Curitiba"
-0.299999999999997,0.2,0.8,5.2,0.6,0.5,0.7,7.2,-0.699999999999999,0.2,0,-0.0999999999999999,0,-7.2,0,0,"Hip.",3,"TV","Térreo","HVAC","SE","Dorm. 2","Curitiba"
-0.100000000000001,0.4,1.2,4.9,0.899999999999999,1.1,0.6,7.5,-0.6,0.3,0,0,0,-8.6,0,2.3,"Hip.",3,"TV","Térreo","HVAC","SE","Sala","Curitiba"
-0.399999999999999,-0.5,0.8,6.8,0.1,0.6,0.3,7.8,-0.799999999999999,0.1,0,-0.0999999999999999,0,-6.8,0,0,"Hip.",3,"TV","Térreo","HVAC","SO","Dorm. 1","Curitiba"
-0.299999999999997,0.2,0.8,5.2,0.7,0.5,0.6,7.2,-0.699999999999999,0.2,0,-0.0999999999999999,0,-7.2,0,0,"Hip.",3,"TV","Térreo","HVAC","SO","Dorm. 2","Curitiba"
-0.100000000000001,0.300000000000001,1.2,5,0.6,1,0.8,7.4,-0.6,0.3,0,0,0,-8.6,0,2.3,"Hip.",3,"TV","Térreo","HVAC","SO","Sala","Curitiba"
-0.5,0.2,1,0.8,0.2,2.5,3.5,7.1,-0.600000000000001,0.1,0,-0.1,0,-7.1,0,-0.3,"Hip.",3,"TV","Térreo","HVAC","O","Dorm. N","Curitiba"
-0.600000000000001,-0.500000000000001,0.8,6.4,1.1,-0.7,1,7.7,-0.700000000000001,0.1,0,-0.1,-0.2,-6.4,-0.2,-0.1,"Hip.",3,"TV","Térreo","HVAC","O","Dorm. S","Curitiba"
-0.100000000000001,0.9,1,1.4,1.5,0.600000000000001,1.8,5.3,-0.4,0.3,0,-0.1,0,-7,0,1.4,"Hip.",3,"TV","Térreo","HVAC","O","Sala","Curitiba"
-0.100000000000001,-0.199999999999999,-0.299999999999999,-0.6,-3.1,-3.3,-1.2,-8.30000000000001,0.1,-0.1,0,0,0,8.59999999999999,0,-6.90000000000001,"Hip.",3,"TV","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
0,-0.199999999999999,-0.0999999999999996,1.3,-5.2,-1.9,0.199999999999999,-5.5,0.1,0,0,0,0,5.59999999999999,0,-5.09999999999999,"Hip.",3,"TV","Térreo","HVAC","L","Dorm. S","Rio de Janeiro"
0,-0.600000000000001,-0.700000000000003,-0.0999999999999996,-4.8,-1.1,-1.4,-7.40000000000001,-0.1,-0.2,0,0,0,9,0,-5.39999999999998,"Hip.",3,"TV","Térreo","HVAC","L","Sala","Rio de Janeiro"
0,-0.699999999999999,-0.699999999999999,-2.1,-1.9,-4,-1.1,-9.2,0,-0.2,0,0,0,10.6,0,-9.09999999999999,"Hip.",3,"TV","Térreo","HVAC","NE","Dorm. 1","Rio de Janeiro"
0,-0.900000000000002,-0.600000000000001,-1.4,-1.9,-3,-1.9,-8.2,0,-0.2,0,0,0,9.80000000000001,0,-8.5,"Hip.",3,"TV","Térreo","HVAC","NE","Dorm. 2","Rio de Janeiro"
0,-0.399999999999999,-0.600000000000001,-0.600000000000001,-0.5,-4.2,-0.5,-5.90000000000001,0,-0.100000000000001,0,0,0,6.79999999999998,0,-5.09999999999999,"Hip.",3,"TV","Térreo","HVAC","NE","Sala","Rio de Janeiro"
0,-0.699999999999999,-0.699999999999999,-2.2,-1.2,-4.1,-1.8,-9.30000000000001,0,-0.1,0,0,0,10.8,0,-9.5,"Hip.",3,"TV","Térreo","HVAC","NO","Dorm. 1","Rio de Janeiro"
0,-0.900000000000002,-0.600000000000001,-1.4,-1.9,-3,-1.8,-8.2,0,-0.2,0,0,0,9.90000000000001,0,-8.59999999999999,"Hip.",3,"TV","Térreo","HVAC","NO","Dorm. 2","Rio de Janeiro"
0,-0.399999999999999,-0.600000000000001,-0.600000000000001,-0.4,-4.2,-0.6,-5.90000000000001,0.1,-0.0999999999999996,0,0,0,6.79999999999998,0,-5,"Hip.",3,"TV","Térreo","HVAC","NO","Sala","Rio de Janeiro"
0,-1,-0.0999999999999996,0.200000000000001,-1.6,-1.1,-0.700000000000001,-3.2,-0.1,-0.1,0,0,0,4.40000000000001,0,-3.5,"Hip.",3,"TV","Térreo","HVAC","SE","Dorm. 1","Rio de Janeiro"
0,-1.1,-0.0999999999999996,0.0999999999999996,-1.1,-0.699999999999999,-0.899999999999999,-2.5,-0.1,0,0,0,0,3.80000000000001,0,-2.60000000000001,"Hip.",3,"TV","Térreo","HVAC","SE","Dorm. 2","Rio de Janeiro"
0,-0.899999999999999,0.100000000000001,-0.0999999999999996,-0.100000000000001,-0.0999999999999996,0,-0.399999999999999,-0.1,0,0,0,0,1.40000000000001,0,1.69999999999999,"Hip.",3,"TV","Térreo","HVAC","SE","Sala","Rio de Janeiro"
0,-1,-0.199999999999999,0.199999999999999,-0.700000000000001,-1.1,-1.7,-3.3,-0.1,-0.1,0,0,0,4.70000000000002,0,-3.7,"Hip.",3,"TV","Térreo","HVAC","SO","Dorm. 1","Rio de Janeiro"
0,-1.1,-0.0999999999999996,0.0999999999999996,-0.800000000000001,-0.699999999999999,-1,-2.5,-0.1,0,0,0,0,3.80000000000001,0,-2.60000000000001,"Hip.",3,"TV","Térreo","HVAC","SO","Dorm. 2","Rio de Janeiro"
0,-0.899999999999999,0.100000000000001,-0.0999999999999996,0.100000000000001,-0.0999999999999996,-0.100000000000001,-0.299999999999997,-0.1,0,0,0,0,1.40000000000001,0,1.69999999999999,"Hip.",3,"TV","Térreo","HVAC","SO","Sala","Rio de Janeiro"
0,-0.399999999999999,-0.5,-0.600000000000001,-1.7,-3.8,-4.1,-10.1,0.1,-0.2,0,-0.1,0,10.9,0,-9.40000000000001,"Hip.",3,"TV","Térreo","HVAC","O","Dorm. N","Rio de Janeiro"
0,-0.399999999999999,-0.299999999999999,0.9,0,-1.9,-6.3,-7.39999999999999,0.1,-0.2,0,0,0,7.90000000000001,0,-7.10000000000001,"Hip.",3,"TV","Térreo","HVAC","O","Dorm. S","Rio de Janeiro"
0,-0.700000000000003,-0.800000000000001,-0.100000000000001,-0.799999999999997,-1.1,-6.8,-8.60000000000001,0,-0.3,0,0,0,10.5,0,-7,"Hip.",3,"TV","Térreo","HVAC","O","Sala","Rio de Janeiro"
-0.199999999999996,0.5,0.699999999999999,0.6,2.5,0.7,-0.0999999999999996,3.7,-0.3,0.1,0.1,0,0,-4.59999999999999,0,-0.599999999999998,"Hip.",3,"TV","Térreo","HVAC","L","Dorm. N","São Paulo"
-0.300000000000004,-0.0999999999999996,0.7,4.5,0.3,-0.8,0.8,4.8,-0.3,0.1,0,-0.1,0,-4.7,0,-0.399999999999999,"Hip.",3,"TV","Térreo","HVAC","L","Dorm. S","São Paulo"
0,0.300000000000001,0.5,0.8,0.5,-0.0999999999999996,0.300000000000001,1.6,-0.2,0.2,0,-0.1,0,-2.19999999999999,0,0.300000000000011,"Hip.",3,"TV","Térreo","HVAC","L","Sala","São Paulo"
-0.100000000000001,0.799999999999999,0.5,-0.0999999999999996,0.0999999999999996,0.8,0,0.800000000000004,-0.2,0.0999999999999999,0,0,0,-1.80000000000001,0,-1.4,"Hip.",3,"TV","Térreo","HVAC","NE","Dorm. 1","São Paulo"
0,0.699999999999999,0.4,-0.100000000000001,0,0.5,-0.199999999999999,0.100000000000001,-0.3,0,0,0,0,-1.2,0,-1,"Hip.",3,"TV","Térreo","HVAC","NE","Dorm. 2","São Paulo"
0,1,0.399999999999999,0.5,0.300000000000001,-0.199999999999999,0.0999999999999996,0.700000000000003,-0.1,0.2,0,0,0,-2.2,0,2.10000000000001,"Hip.",3,"TV","Térreo","HVAC","NE","Sala","São Paulo"
-0.100000000000001,0.699999999999999,0.5,-0.199999999999999,-0.100000000000001,0.8,0.0999999999999996,0.700000000000003,-0.3,0,0,0,0,-1.5,0,-1.5,"Hip.",3,"TV","Térreo","HVAC","NO","Dorm. 1","São Paulo"
