"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.5,15.4,9,8.7,8.6,6.1,11,34.4,-4.9,2.5,0,-103.5,3.3,0,0.9,99.1,31.2,16.2,"Hip.","04","SF","Térreo","AFN","L","Dorm. N","Curitiba"
47.8,9.7,5.7,2.6,5.6,6,6.7,20.9,-5.3,2,0,-81.2,2.9,0,2.1,97.9,29,15.7,"Hip.","04","SF","Térreo","AFN","L","Dorm. S","Curitiba"
50.9,3.1,6.3,3.3,3.8,3.6,7.9,18.7,-6.1,1.7,0,-73.4,2.8,17.5,0,82.5,31,17,"Hip.","04","SF","Térreo","AFN","L","Sala","Curitiba"
36.5,19.6,11.3,13,10.2,7.6,8.1,38.8,-4.7,2.4,0,-103.4,3.3,0,0.4,99.6,31,16.3,"Hip.","04","SF","Térreo","AFN","NE","Dorm. 1","Curitiba"
36.6,20.5,11.9,10.2,12.5,5.4,14,42.1,-4.5,2.5,0,-108.5,3.5,0,0.3,99.7,30.8,16.5,"Hip.","04","SF","Térreo","AFN","NE","Dorm. 2","Curitiba"
39.3,10.3,10.4,9.2,6.4,5.1,6.3,27,-5.6,2.6,0,-83.7,3.2,23.7,0,76.3,31,18.5,"Hip.","04","SF","Térreo","AFN","NE","Sala","Curitiba"
36.5,19.8,11.4,13,8.2,7.6,9.9,38.8,-4.7,2.5,0,-103.8,3.3,0,0.4,99.6,31,16.3,"Hip.","04","SF","Térreo","AFN","NO","Dorm. 1","Curitiba"
36.6,20.5,11.9,10.2,14.4,5.4,12.2,42.1,-4.5,2.5,0,-108.5,3.5,0,0.3,99.7,30.8,16.5,"Hip.","04","SF","Térreo","AFN","NO","Dorm. 2","Curitiba"
39.3,10.3,10.4,9.2,6.5,5.1,6.2,27,-5.6,2.5,0,-83.7,3.2,23.7,0,76.3,31,18.5,"Hip.","04","SF","Térreo","AFN","NO","Sala","Curitiba"
36.8,9.6,6.6,3.2,5.6,7.3,4.6,20.6,-4.7,1.4,0,-69.9,2.6,0,2,98,28.2,15.7,"Hip.","04","SF","Térreo","AFN","SE","Dorm. 1","Curitiba"
