"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0.1,-4.3,-5.7,-1.4,-1.3,-1.1,-2,-5.8,0.6,-0.4,0,0.3,0,14.9,0,-0.3,"Hip.","04","SF","Térreo","HVAC","L","Dorm. N","Curitiba"
0.6,-11,-2.3,-1.7,-2,-2.3,-2.8,-8.9,1.1,-0.7,0,0.3,0,20.7,0,-0.1,"Hip.","04","SF","Térreo","HVAC","L","Dorm. S","Curitiba"
0.1,-9.5,-4,-1.5,-1.9,-1.6,-1.4,-6.2,1,-2.5,0,0.3,0,21.3,0,-13.4,"Hip.","04","SF","Térreo","HVAC","L","Sala","Curitiba"
0.1,-2.5,-6.1,-0.9,-1.3,-0.9,-1,-4.3,0.4,-0.2,0,0,0,12.5,0,-0.3,"Hip.","04","SF","Térreo","HVAC","NE","Dorm. 1","Curitiba"
0,-1.4,-5.8,-0.5,-1.2,-0.5,-1.5,-3.6,0.4,-0.2,0,0,0,10.6,0,-0.2,"Hip.","04","SF","Térreo","HVAC","NE","Dorm. 2","Curitiba"
0,-2.4,-4.2,0.8,0,-0.7,-0.9,-1.6,0.3,-1.8,0,0,0,10.6,0,-12.6,"Hip.","04","SF","Térreo","HVAC","NE","Sala","Curitiba"
0.1,-2.5,-6,-1,-1.1,-0.9,-1.3,-4.2,0.4,-0.2,0,0,0,12.2,0,-0.3,"Hip.","04","SF","Térreo","HVAC","NO","Dorm. 1","Curitiba"
0,-1.4,-5.8,-0.5,-1.5,-0.5,-1.3,-3.6,0.4,-0.2,0,0,0,10.5,0,-0.2,"Hip.","04","SF","Térreo","HVAC","NO","Dorm. 2","Curitiba"
0,-2.4,-4.2,0.8,-0.9,-0.7,0,-1.7,0.2,-1.9,0,0,0,10.6,0,-12.7,"Hip.","04","SF","Térreo","HVAC","NO","Sala","Curitiba"
0.6,-11.8,-3.3,-2.3,-2.6,-3.8,-2.1,-10.8,1.3,-0.5,0,0.2,0,24.5,0,0,"Hip.","04","SF","Térreo","HVAC","SE","Dorm. 1","Curitiba"
