"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.399999999999999,5.4,-2.9,-2.1,12.8,6.3,-2.1,14.8,-2.3,0.4,-0.1,-13.7,0.2,2.1,-4,1.89999999999999,2.9,2.1,"Hip.",4,"SF","Cobertura","AFN","L","Dorm. N","Curitiba"
-0.299999999999997,4.2,-1.5,10,6.9,-5.1,0.5,12.2,-1.9,0.5,-0.1,-12.9,0.3,1.6,-7.3,5.5,3.2,1.8,"Hip.",4,"SF","Cobertura","AFN","L","Dorm. S","Curitiba"
-1.4,5.3,-0.8,4.4,12,2.3,3.2,22.1,-1.6,1.2,0,-24.9,0.5,11.1,-3.2,-7.9,3.2,0.9,"Hip.",4,"SF","Cobertura","AFN","L","Sala","Curitiba"
-0.100000000000001,3.7,-2.9,-2.2,0.9,7.6,-3.7,2.7,-2.3,-0.1,0,0,0,2,-1.1,-0.899999999999991,3.59999999999999,1.1,"Hip.",4,"SF","Cobertura","AFN","NE","Dorm. 1","Curitiba"
0,2.4,-3,-2.5,-4.8,5.7,-2.7,-4.3,-1.9,-0.1,0,7.60000000000001,-0.1,1.8,-0.2,-1.59999999999999,3.8,0.299999999999999,"Hip.",4,"SF","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.800000000000004,5,0.2,2,2.6,8.6,2.4,15.7,-0.8,1,0,-21.1,0.4,11.8,-1.5,-10.4,2.7,-0.300000000000001,"Hip.",4,"SF","Cobertura","AFN","NE","Sala","Curitiba"
-0.100000000000001,3.4,-3,-2.4,-3.6,7.7,-0.0999999999999996,1.6,-2.3,-0.1,0,1.10000000000001,0,1.9,-1.1,-0.899999999999991,3.59999999999999,1.2,"Hip.",4,"SF","Cobertura","AFN","NO","Dorm. 1","Curitiba"
0,2.4,-3.1,-2.5,-2.5,5.7,-5,-4.4,-2,0,0,7.7,-0.1,1.8,-0.100000000000001,-1.7,3.8,0.299999999999999,"Hip.",4,"SF","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.800000000000004,5.1,0.2,2,2.7,8.6,2.5,15.7,-0.8,0.9,0,-21.1,0.4,11.9,-1.5,-10.4,2.7,-0.300000000000001,"Hip.",4,"SF","Cobertura","AFN","NO","Sala","Curitiba"
-0.199999999999996,3.8,-1.4,9.6,0.199999999999999,-0.9,-2.4,6.4,-1.9,0.1,0,-6.59999999999999,0.2,1.7,-4.5,2.7,3.8,1.2,"Hip.",4,"SF","Cobertura","AFN","SE","Dorm. 1","Curitiba"
-0.100000000000001,3.1,-1.4,7,-3,-1.2,-1.1,1.8,-1.6,0.1,0,-1.69999999999999,0,1.6,-2.6,1.2,3.8,0.6,"Hip.",4,"SF","Cobertura","AFN","SE","Dorm. 2","Curitiba"
-0.899999999999999,4.2,0,9.4,2.4,2,2.2,16,-1.2,0.6,0,-19.1,0.4,9.9,-2.8,-7.09999999999999,2.2,0,"Hip.",4,"SF","Cobertura","AFN","SE","Sala","Curitiba"
-0.199999999999996,3.7,-1.4,9.6,-2.4,-1,-0.5,5.7,-1.8,0.1,0,-5.69999999999999,0.2,1.6,-4.4,2.7,3.7,1.1,"Hip.",4,"SF","Cobertura","AFN","SO","Dorm. 1","Curitiba"
-0.100000000000001,3,-1.4,7,-1.1,-1.2,-3.1,1.8,-1.6,0.1,0,-1.8,0,1.6,-2.6,1.09999999999999,3.8,0.6,"Hip.",4,"SF","Cobertura","AFN","SO","Dorm. 2","Curitiba"
-0.899999999999999,4.2,0,9.4,2.3,2,2.3,16,-1.2,0.6,0,-19.1,0.4,9.9,-2.8,-7.09999999999999,2.3,0,"Hip.",4,"SF","Cobertura","AFN","SO","Sala","Curitiba"
-0.199999999999996,4.2,-2.9,-4.4,-1.8,6.8,8.6,9.4,-2.3,0.2,-0.1,-7.3,0.1,1.4,-3.3,1.90000000000001,2.9,2,"Hip.",4,"SF","Cobertura","AFN","O","Dorm. N","Curitiba"
-0.100000000000001,3.2,-1.2,10.5,1.1,-7.2,2.6,7,-1.7,0.4,0,-7.30000000000001,0.2,0.9,-5.2,4.3,2.5,1.8,"Hip.",4,"SF","Cobertura","AFN","O","Dorm. S","Curitiba"
-1.6,6.6,0.399999999999999,5.3,4.2,3.3,10.1,23,-1.3,1.2,0,-28.9,0.5,12.8,-2.4,-10.4,3.5,0.800000000000001,"Hip.",4,"SF","Cobertura","AFN","O","Sala","Curitiba"
-0.600000000000001,5.4,-2.5,-2.9,9.9,5.8,-2.3,10.5,-2.3,0.5,0,-9.60000000000001,0.0999999999999996,3.90000000000001,0,-3.9,2,0.300000000000001,"Hip.",4,"SF","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
-0.600000000000001,4.2,-0.9,9.3,2.7,-6,1.1,7,-1.5,0.7,0,-9.40000000000001,0.1,3.7,0,-3.7,2.6,0.400000000000002,"Hip.",4,"SF","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
-1.4,5.6,-1,4.6,10.3,2.3,2.9,20.1,-1.5,1.2,0,-23,0.3,5.09999999999999,0,-5.1,3.3,0.0999999999999979,"Hip.",4,"SF","Cobertura","AFN","L","Sala","Rio de Janeiro"
-0.100000000000001,3.6,-2.6,-2.6,0.300000000000001,7,-3.2,1.4,-2.3,0,0,1,0,-2,0,2,3.6,-0.100000000000001,"Hip.",4,"SF","Cobertura","AFN","NE","Dorm. 1","Rio de Janeiro"
0.300000000000001,2.7,-2.7,-2.8,-4.4,5.1,-2.9,-5,-1.9,-0.0999999999999996,0,7.8,-0.0999999999999996,-4.5,0,4.5,3.7,-0.300000000000001,"Hip.",4,"SF","Cobertura","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.800000000000001,5,0,1.9,2.2,7.2,2.2,13.5,-0.8,0.9,0,-18.9,0.2,1.39999999999999,0,-1.4,2.9,-0.5,"Hip.",4,"SF","Cobertura","AFN","NE","Sala","Rio de Janeiro"
