"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.4,18.8,-4.6,4.7,3.2,2,7.8,17.7,-10.2,0.7,0,-2.6,0.9,-60.3,0.9,10.4,"Hip.","04","SF","Cobertura","HVAC","L","Dorm. N","Curitiba"
44,9.5,-3.2,-1,0.6,3,3.9,6.5,-9.9,0.9,0,-1.8,2.1,-46.5,2.1,7.3,"Hip.","04","SF","Cobertura","HVAC","L","Dorm. S","Curitiba"
51,26.3,8,7.3,9.1,8,15.7,40.2,-6.9,4.6,0,-2.2,0,-122.8,0,92.4,"Hip.","04","SF","Cobertura","HVAC","L","Sala","Curitiba"
33.3,21.8,-3.5,8.9,7.1,3.2,4.7,23.9,-10.4,1,0,-1.6,0.6,-62.2,0.6,10.9,"Hip.","04","SF","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
33.2,21.6,-3.4,6.9,7.5,2.3,9.8,26.5,-10.1,0.9,0,-1.6,0.4,-64.9,0.4,10.7,"Hip.","04","SF","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
39.4,35.4,10.2,14.8,10.8,8.7,10.9,45.2,-6,5.1,0,-0.9,0,-130.3,0,95.3,"Hip.","04","SF","Cobertura","HVAC","NE","Sala","Curitiba"
33.3,21.8,-3.5,8.9,4.9,3.2,6.8,23.8,-10.4,1,0,-1.6,0.6,-62.2,0.6,11,"Hip.","04","SF","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
33.2,21.6,-3.4,6.9,10.2,2.3,7.2,26.6,-10.1,0.9,0,-1.6,0.4,-65,0.4,10.7,"Hip.","04","SF","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
39.4,35.4,10.2,14.8,11.2,8.7,10.6,45.2,-6,5,0,-0.9,0,-130.4,0,95.3,"Hip.","04","SF","Cobertura","HVAC","NO","Sala","Curitiba"
33.8,10.6,-1.9,-0.1,3.7,4.9,2.6,11.1,-9.7,0.5,0,-1.2,2,-43.9,2,6.8,"Hip.","04","SF","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
