"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0.1,-2.4,-2.5,-0.2,0.5,0.5,-1,-0.2,0.3,-0.1,0,5.5,-0.1,-0.1,0.6,-0.5,-0.5,-0.5,"Hip.","04","TV","Térreo","AFN","L","Dorm. N","Curitiba"
0.2,-11.9,-0.3,0.4,0.7,-2,-2.3,-3,0.6,-0.5,0,15.9,-0.4,-0.1,3.8,-3.9,-0.4,-1.1,"Hip.","04","TV","Térreo","AFN","L","Dorm. S","Curitiba"
0.3,-5.4,-3,-0.3,0.9,-0.6,0.8,0.8,0.7,-1.1,0,7.5,-0.1,-2,0.2,1.8,-0.2,-1.1,"Hip.","04","TV","Térreo","AFN","L","Sala","Curitiba"
0,0.4,-2.5,0.7,-0.3,0.4,-0.1,0.8,0.3,0,0,1.8,0,0,0.4,-0.4,-0.4,-0.7,"Hip.","04","TV","Térreo","AFN","NE","Dorm. 1","Curitiba"
0.1,1.8,-2.5,0.9,0,0.3,-0.3,0.9,0.3,0,0,0.4,0,0,0.3,-0.1,-0.5,-0.3,"Hip.","04","TV","Térreo","AFN","NE","Dorm. 2","Curitiba"
0.1,1.4,-4.1,2.8,0.3,0.1,-0.2,3.1,0.2,-0.9,0,0.7,-0.1,-3.9,0,3.9,-0.4,0.2,"Hip.","04","TV","Térreo","AFN","NE","Sala","Curitiba"
0,0.8,-2.5,0.9,-0.1,0.4,-0.3,0.9,0.3,0,0,1.4,0,0,0.4,-0.4,-0.3,-0.7,"Hip.","04","TV","Térreo","AFN","NO","Dorm. 1","Curitiba"
0.1,1.8,-2.4,0.9,-0.3,0.3,0,0.9,0.3,0.1,0,0.3,0,0,0.3,-0.2,-0.5,-0.1,"Hip.","04","TV","Térreo","AFN","NO","Dorm. 2","Curitiba"
0.1,1.4,-4.1,2.8,-0.2,0.1,0.3,3.1,0.2,-0.9,0,0.7,-0.1,-3.9,0,3.9,-0.4,0.2,"Hip.","04","TV","Térreo","AFN","NO","Sala","Curitiba"
0.2,-13.4,-1.7,0.4,-2.3,-5.7,-2.1,-9.6,0.8,-0.5,0,25,-0.5,0,4.8,-4.8,-0.6,-0.9,"Hip.","04","TV","Térreo","AFN","SE","Dorm. 1","Curitiba"
0.2,-13,-1.8,0.5,-3,-4.2,-3.4,-10.2,0.8,-0.5,0.1,25.6,-0.5,0,2.3,-2.3,-0.7,-0.8,"Hip.","04","TV","Térreo","AFN","SE","Dorm. 2","Curitiba"
0.5,-8.9,-1.9,1.3,-1,-1.3,-0.8,-1.8,1.3,-1,0,11.9,-0.3,-3.9,1,2.9,-0.7,-1.1,"Hip.","04","TV","Térreo","AFN","SE","Sala","Curitiba"
0.2,-13,-1.6,0.4,-2.1,-5.5,-2.4,-9.6,0.8,-0.5,0,24.4,-0.5,0,4.8,-4.8,-0.5,-0.9,"Hip.","04","TV","Térreo","AFN","SO","Dorm. 1","Curitiba"
0.2,-13,-1.8,0.5,-3.4,-4.2,-3,-10.2,0.8,-0.5,0.1,25.5,-0.5,0,2.2,-2.2,-0.7,-0.8,"Hip.","04","TV","Térreo","AFN","SO","Dorm. 2","Curitiba"
0.5,-8.9,-1.9,1.3,-0.8,-1.3,-1,-1.9,1.3,-1,0,12,-0.3,-3.9,1,2.9,-0.7,-1.1,"Hip.","04","TV","Térreo","AFN","SO","Sala","Curitiba"
0.1,-0.4,-2.4,0.1,-0.7,0.3,0.5,0.3,0.3,0,0,3,0,-0.2,0.3,-0.2,-0.5,-0.3,"Hip.","04","TV","Térreo","AFN","O","Dorm. N","Curitiba"
0.1,-10.1,-0.2,0.4,-1.9,-1.8,0.7,-2.6,0.5,-0.5,0,13.6,-0.3,-0.1,3.2,-3.1,-0.1,-0.9,"Hip.","04","TV","Térreo","AFN","O","Dorm. S","Curitiba"
0.3,-3.9,-4.5,-0.3,2.5,-0.5,0.5,2.1,0.5,-1.4,0,6.9,-0.1,-3.6,0.2,3.4,-0.3,-1.1,"Hip.","04","TV","Térreo","AFN","O","Sala","Curitiba"
0.1,0,-2.6,0.2,0.4,0.4,-0.5,0.4,0.3,0.1,0,1.6,0,-1.2,0,1.2,-0.4,0,"Hip.","04","TV","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
