"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.599999999999994,2.8,2,1.7,8.9,4.7,0.200000000000001,15.5,-0.9,0.4,0,-0.3,-1.4,-17.3,-1.4,2,"Hip.",4,"TV","Intermediário","HVAC","L","Dorm. N","Curitiba"
-0.799999999999997,1.5,1.5,6.1,4.1,-0.6,1.5,11,-1,0.3,0,-0.0999999999999999,-3,-9.4,-3,0.6,"Hip.",4,"TV","Intermediário","HVAC","L","Dorm. S","Curitiba"
-0.200000000000003,2.4,1.7,2,5.5,1,2,10.6,-0.8,0.5,0,-0.2,0,-13.9,0,11.4,"Hip.",4,"TV","Intermediário","HVAC","L","Sala","Curitiba"
-0.300000000000004,3.3,2.1,2.2,3.1,7.1,0.8,13.2,-0.700000000000001,0.2,0,-0.2,0,-17.5,0,3,"Hip.",4,"TV","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.100000000000001,2.8,1.7,1.2,1.6,5.8,1.5,10.2,-0.6,0.2,0,-0.1,0,-14,0,3,"Hip.",4,"TV","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
-0.100000000000001,2.4,1.5,1.6,1.2,5.2,0.799999999999999,8.8,-0.5,0.4,0,-0.0999999999999999,0,-12.7,0,14.8,"Hip.",4,"TV","Intermediário","HVAC","NE","Sala","Curitiba"
-0.300000000000004,3.2,2,2.1,0.8,7.2,2.6,12.6,-0.700000000000001,0.2,0,-0.1,0,-16.7,0,2.9,"Hip.",4,"TV","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.100000000000001,2.8,1.7,1.2,1.5,5.8,1.6,10.2,-0.6,0.2,0,-0.1,0,-14,0,3,"Hip.",4,"TV","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
-0.100000000000001,2.4,1.5,1.6,0.799999999999999,5.2,1.2,8.90000000000001,-0.5,0.5,0,-0.0999999999999999,0,-12.7,0,14.9,"Hip.",4,"TV","Intermediário","HVAC","NO","Sala","Curitiba"
-0.5,1.6,1.3,6.4,1.2,1.2,0.3,9.2,-1,0.2,0,-0.2,-1.5,-9,-1.5,0.3,"Hip.",4,"TV","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
