"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0.2,-1.9,5.6,0,3,2.4,7.3,71.4,0,0,NA,13,33.3,-3.2,33.3,26.7,"Hip.","04","TV","Cobertura","HVAC","L","Dorm. N","Curitiba"
0.2,-7.9,11.1,3.5,6.3,-4.7,-9.1,0,2.4,-10,NA,23.8,25,-3.4,25,32.5,"Hip.","04","TV","Cobertura","HVAC","L","Dorm. S","Curitiba"
0.2,-6.2,6.7,0,22.7,0,15.5,8.9,3.1,-34.7,NA,20,Inf,-0.1,Inf,7.2,"Hip.","04","TV","Cobertura","HVAC","L","Sala","Curitiba"
0,-1.5,9.1,48.4,8.5,5.7,2,27.5,0,0,NA,30,71.4,-8,71.4,52.7,"Hip.","04","TV","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
0,-4.7,20,60,4,8,9.7,21.7,0,0,NA,26.3,200,-6.9,200,46.6,"Hip.","04","TV","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
0,-3,6.7,38.9,10.2,11.9,4.1,17,1.7,-21.6,-100,30.8,NA,-3.6,NA,10,"Hip.","04","TV","Cobertura","HVAC","NE","Sala","Curitiba"
0,-2,18.2,47.7,2,5.7,4.8,27,0,0,NA,30,71.4,-7.9,71.4,48.3,"Hip.","04","TV","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
0,-4.7,20,60,9.6,8,4.1,21.7,0,0,NA,26.3,200,-6.9,200,46.6,"Hip.","04","TV","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
0,-3,6.7,38.9,5.1,11.9,10.3,17,1.7,-21.6,-100,30.8,NA,-3.5,NA,10,"Hip.","04","TV","Cobertura","HVAC","NO","Sala","Curitiba"
0.3,-11.5,20,6.4,-5.7,-26.5,-12.5,-32.1,4.7,-14.3,NA,44.4,63.6,0,63.6,32.4,"Hip.","04","TV","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
0.3,-11.4,25,5.4,-6.7,-15.4,0,-7.9,3.5,-14.3,NA,35.3,92.3,-1.6,92.3,38.2,"Hip.","04","TV","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
0.5,-14,7.6,31.2,-7.3,-6.5,-3.5,-3.5,5.7,-37.5,NA,38.5,100,3.9,100,1.6,"Hip.","04","TV","Cobertura","HVAC","SE","Sala","Curitiba"
0.6,-12.4,20,6.4,-9.4,-25,-5.3,-30,4.7,-14.3,NA,44.4,66.7,0,66.7,27.8,"Hip.","04","TV","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
0.3,-11.4,25,5.4,0,-15.4,-8.9,-7.9,3.5,-14.3,NA,35.3,92.3,-1.6,92.3,38.2,"Hip.","04","TV","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
0.5,-14,7.6,31.2,-3.5,-6.5,-7.3,-3.5,5.7,-37.5,NA,38.5,100,3.9,100,1.6,"Hip.","04","TV","Cobertura","HVAC","SO","Sala","Curitiba"
0.2,-2.9,6.7,4,7.9,5.3,5.4,20.3,1.2,0,-100,-4.3,30,-2.8,30,23.5,"Hip.","04","TV","Cobertura","HVAC","O","Dorm. N","Curitiba"
