"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.3,2.7,0.3,1.1,2.6,2.7,-1.3,5.1,0.1,2,0,0.7,-0.9,-9.5,-0.9,1.4,"Hip.","05","C10","Intermediário","HVAC","L","Dorm. N","Curitiba"
-0.1,-0.3,1,1.8,3.1,0,-1.9,3,0.2,0.4,0,0.7,-0.6,-4.2,-0.6,0.3,"Hip.","05","C10","Intermediário","HVAC","L","Dorm. S","Curitiba"
-0.1,2.4,1.5,3.9,2.4,0.3,2.7,9.2,0.2,-0.7,0,1.1,0,-13.1,0,17.9,"Hip.","05","C10","Intermediário","HVAC","L","Sala","Curitiba"
-0.3,5.5,2,7.2,2.5,2.7,0.2,12.6,0.2,1.8,0,0.3,0,-21.7,0,3.9,"Hip.","05","C10","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.2,5.3,2.2,6.8,2,2.1,0.8,11.7,0.2,2.1,0,0.2,0,-21.5,0,3.1,"Hip.","05","C10","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
0,6.1,2,7,2.9,2.3,1,13.3,0.1,-0.7,-0.1,0,0,-20.2,0,18.8,"Hip.","05","C10","Intermediário","HVAC","NE","Sala","Curitiba"
-0.2,5.3,1.9,7.2,0.3,2.7,1.6,11.8,0.2,1.7,0,0.3,0,-20.4,0,3.6,"Hip.","05","C10","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.2,5.3,2.2,6.8,0.9,2.1,1.9,11.8,0.2,2.2,0,0.2,0,-21.5,0,3.1,"Hip.","05","C10","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
0,6.1,2,7,1,2.3,3,13.3,0.1,-0.6,-0.1,0,0,-20.2,0,18.8,"Hip.","05","C10","Intermediário","HVAC","NO","Sala","Curitiba"
0.1,-0.9,0.3,2.9,0.3,-4.2,-0.5,-1.6,0.7,0.2,0,0.5,0.2,0.4,0.2,0,"Hip.","05","C10","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
0.1,-0.6,0.5,2.1,-0.1,-1.9,-1.3,-1.2,0.7,0.5,0,0.3,0,-0.4,0,0.1,"Hip.","05","C10","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
0.1,-1,0.3,2.2,-0.4,-1.8,-0.6,-0.6,0.7,-0.9,0,0.3,0,2,0,-0.8,"Hip.","05","C10","Intermediário","HVAC","SE","Sala","Curitiba"
