"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.7,22.1,7.1,37.9,17.6,32.9,-14.3,46.4,1.3,285.7,NA,36.8,-56.3,-23,-56.3,58.3,"Hip.","05","C10","Intermediário","HVAC","L","Dorm. N","Curitiba"
-0.2,-5.6,500,11.8,28.4,0,-51.4,17.3,2.6,44.4,NA,43.8,-16.7,-14.9,-16.7,33.3,"Hip.","05","C10","Intermediário","HVAC","L","Dorm. S","Curitiba"
-0.2,12.6,19.2,156,51.1,4.9,26.2,64.8,3.1,-17.9,NA,52.4,NA,-14.8,NA,40,"Hip.","05","C10","Intermediário","HVAC","L","Sala","Curitiba"
-0.9,35.3,29.9,160,58.1,29.3,3.8,262.5,2.5,138.5,NA,17.6,NA,-42.3,NA,216.7,"Hip.","05","C10","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.6,31.2,28.6,212.5,27,30.4,7.6,82.4,2.5,161.5,NA,11.8,NA,-34.3,NA,163.2,"Hip.","05","C10","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
0,21.8,15.3,94.6,Inf,2300,10.4,54.3,1.7,-14.9,-100,0,NA,-19.5,NA,40,"Hip.","05","C10","Intermediário","HVAC","NE","Sala","Curitiba"
-0.6,33.5,27.9,160,5.8,29.3,31.4,210.7,2.5,121.4,NA,17.6,NA,-38.8,NA,171.4,"Hip.","05","C10","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.6,31.2,28.6,212.5,8.5,30.4,26,83.7,2.5,183.3,NA,11.8,NA,-34.3,NA,163.2,"Hip.","05","C10","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
0,21.8,15.3,94.6,10.4,2300,Inf,54.3,1.7,-13,-100,0,NA,-19.5,NA,40,"Hip.","05","C10","Intermediário","HVAC","NO","Sala","Curitiba"
0.3,-13.6,16.7,18.1,17.6,-55.3,-18.5,-40,8.9,33.3,NA,33.3,28.6,1.3,28.6,0,"Hip.","05","C10","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
0.3,-8.3,20.8,17.5,-3,-36.5,-28.9,-120,8.6,100,NA,21.4,0,-1.1,0,50,"Hip.","05","C10","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
0.3,-8.4,6.7,25.9,Inf,-25.7,-14.6,-9.2,10,-40.9,NA,27.3,NA,3.5,NA,-4.7,"Hip.","05","C10","Intermediário","HVAC","SE","Sala","Curitiba"
0.6,-14.9,10.5,17.5,-18.5,-54.7,-20,-75,8.9,50,NA,33.3,28.6,4.2,28.6,-25,"Hip.","05","C10","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
0.3,-8.3,20.8,17.5,-28.9,-36.5,-3,-120,8.6,100,NA,21.4,0,-1.1,0,50,"Hip.","05","C10","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
0.3,-9.2,6.7,25.9,-14.6,-25.7,Inf,-9.2,10,-40.9,NA,27.3,NA,3.8,NA,-4.7,"Hip.","05","C10","Intermediário","HVAC","SO","Sala","Curitiba"
-0.7,20.1,9.8,37.8,-12.4,33.3,34.4,200,2.6,218.2,-100,26.3,-57.1,-23,-57.1,60.7,"Hip.","05","C10","Intermediário","HVAC","O","Dorm. N","Curitiba"
-0.2,-2.9,275,11.5,-48.6,6,74,39.2,2.5,50,NA,29.4,-19.4,-14.9,-19.4,46.9,"Hip.","05","C10","Intermediário","HVAC","O","Dorm. S","Curitiba"
-0.2,20.4,12.6,117.5,49.6,19.2,71.8,54.2,0,-12.7,-100,0,NA,-17.6,NA,31.4,"Hip.","05","C10","Intermediário","HVAC","O","Sala","Curitiba"
0,5.9,5.7,5.4,17.1,16.3,-19.1,3.4,100,125,0,33.3,NA,-6.7,NA,10.5,"Hip.","05","C10","Intermediário","HVAC","L","Dorm. N","Rio de Janeiro"
0,-3.6,11.5,23.2,15.4,-3,-28.4,0.5,20,73,0,66.7,NA,-2.5,NA,3,"Hip.","05","C10","Intermediário","HVAC","L","Dorm. S","Rio de Janeiro"
0,6.4,5.3,24,11.7,-6.8,37.1,17.3,11.8,-29,100,25,NA,-5.8,NA,4.8,"Hip.","05","C10","Intermediário","HVAC","L","Sala","Rio de Janeiro"
0,8.2,6.1,27.4,-21.2,14.7,0,5.8,50,105.4,0,0,NA,-8.1,NA,14.1,"Hip.","05","C10","Intermediário","HVAC","NE","Dorm. 1","Rio de Janeiro"
0,7.3,6.1,24,2.3,14.3,-9.9,4.8,33.3,111.1,0,0,NA,-7.3,NA,11.9,"Hip.","05","C10","Intermediário","HVAC","NE","Dorm. 2","Rio de Janeiro"
0,7.1,2.3,39.9,Inf,10.7,2.8,15.4,8.3,-27.2,100,40,NA,-6.1,NA,6.7,"Hip.","05","C10","Intermediário","HVAC","NE","Sala","Rio de Janeiro"
0,8.5,6.1,26.9,0,14.1,-19.6,6.2,20,105.4,0,0,NA,-8.3,NA,14.1,"Hip.","05","C10","Intermediário","HVAC","NO","Dorm. 1","Rio de Janeiro"
0,7.3,6.1,24,-9.6,14.3,2.3,4.6,33.3,111.1,0,0,NA,-7.3,NA,12,"Hip.","05","C10","Intermediário","HVAC","NO","Dorm. 2","Rio de Janeiro"
0,7.1,2.3,39.9,2.8,10.7,Inf,15.7,8.3,-27.2,100,40,NA,-6.2,NA,6.9,"Hip.","05","C10","Intermediário","HVAC","NO","Sala","Rio de Janeiro"
0,-17.1,-9.4,18,-41.1,-29.9,-14.4,-22.5,200,70.8,0,87.5,NA,12.2,NA,-14.7,"Hip.","05","C10","Intermediário","HVAC","SE","Dorm. 1","Rio de Janeiro"
0,-14.3,-7.3,18,-14.2,-30.5,-25.3,-18.9,Inf,75,-50,85.7,NA,9.8,NA,-12.5,"Hip.","05","C10","Intermediário","HVAC","SE","Dorm. 2","Rio de Janeiro"
0,-12.8,-6,13.9,Inf,-13.3,-9.7,-7.2,71.4,-41.4,-75,75,NA,8.8,NA,-15.5,"Hip.","05","C10","Intermediário","HVAC","SE","Sala","Rio de Janeiro"
0,-16.7,-8.7,16.7,-14.4,-29.9,-40.3,-22.5,300,64,-50,87.5,NA,12.2,NA,-14.6,"Hip.","05","C10","Intermediário","HVAC","SO","Dorm. 1","Rio de Janeiro"
0,-14.3,-7.3,18,-25.3,-30.5,-14.2,-18.9,Inf,75,-50,85.7,NA,9.8,NA,-12.6,"Hip.","05","C10","Intermediário","HVAC","SO","Dorm. 2","Rio de Janeiro"
0,-12.8,-6,13.9,-9.7,-13.3,Inf,-7,50,-41.4,-75,75,NA,8.8,NA,-15.5,"Hip.","05","C10","Intermediário","HVAC","SO","Sala","Rio de Janeiro"
0,5.7,5.3,4.7,-19.5,15.1,18.9,3.6,100,123.8,0,0,NA,-6.8,NA,10.3,"Hip.","05","C10","Intermediário","HVAC","O","Dorm. N","Rio de Janeiro"
0,-3.8,10.7,19.8,-28,-3.4,17.1,0.9,28.6,78.9,0,66.7,NA,-2.9,NA,3.3,"Hip.","05","C10","Intermediário","HVAC","O","Dorm. S","Rio de Janeiro"
0,5.9,0,17.7,28,-8.9,11.5,13.2,6.7,-30.8,100,33.3,NA,-3.5,NA,2.8,"Hip.","05","C10","Intermediário","HVAC","O","Sala","Rio de Janeiro"
-0.5,12.8,8.7,14.6,1066.7,300,-16.6,20.7,4.2,150,-100,25,-50,-12.5,-50,25.7,"Hip.","05","C10","Intermediário","HVAC","L","Dorm. N","São Paulo"
-0.2,-2.3,26.7,23.5,118.5,-2.1,-32.1,14.6,2,65,NA,60.9,-50,-7.4,-50,17.8,"Hip.","05","C10","Intermediário","HVAC","L","Dorm. S","São Paulo"
-0.2,10.8,12.6,56.1,32.2,2,41.3,32,3.1,-22.4,Inf,36.4,NA,-11.7,NA,15.8,"Hip.","05","C10","Intermediário","HVAC","L","Sala","São Paulo"
-0.3,19.6,16.5,62.5,-3.7,186.7,3.4,30.3,6.4,118.2,-100,11.1,NA,-19.6,NA,33.5,"Hip.","05","C10","Intermediário","HVAC","NE","Dorm. 1","São Paulo"
0,17.7,16.4,67.4,12.4,222.2,-2.9,22.6,6.5,138.1,-100,0,NA,-17.4,NA,30.9,"Hip.","05","C10","Intermediário","HVAC","NE","Dorm. 2","São Paulo"
0,13.7,8.9,59.8,Inf,29.4,6.3,29,3.7,-23.1,-66.7,0,NA,-11.9,NA,15,"Hip.","05","C10","Intermediário","HVAC","NE","Sala","São Paulo"
-0.3,19.6,16.5,62.5,4.5,186.7,-2.8,30.7,4.3,118.2,-100,11.1,NA,-19.6,NA,33.2,"Hip.","05","C10","Intermediário","HVAC","NO","Dorm. 1","São Paulo"
0,17.3,16.4,67.4,-2.4,222.2,11.6,22.9,6.5,138.1,-100,0,NA,-17.4,NA,30.7,"Hip.","05","C10","Intermediário","HVAC","NO","Dorm. 2","São Paulo"
0,13.7,8.9,59.8,7.1,29.4,Inf,29,3.7,-21.9,-66.7,0,NA,-11.9,NA,15.2,"Hip.","05","C10","Intermediário","HVAC","NO","Sala","São Paulo"
0.3,-14.5,-1.7,35.5,-31.9,-35.4,-16.1,-28,10.2,61.5,NA,73.7,NA,6.9,NA,-9.2,"Hip.","05","C10","Intermediário","HVAC","SE","Dorm. 1","São Paulo"
