"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0,-5.9,64.6,10,25.7,36.4,-15,5.9,9.6,275,NA,46.7,300,-11.7,300,72.9,"Hip.","05","SF","Cobertura","HVAC","L","Dorm. N","Curitiba"
0,-3.6,81.1,55.6,128.6,9.1,-9.8,19.4,7.8,120,NA,50,75,-16.4,75,87.5,"Hip.","05","SF","Cobertura","HVAC","L","Dorm. S","Curitiba"
0.2,-7,44.7,12,9.7,1.2,23.2,12.9,12.3,-22.4,NA,64.3,NA,-5.7,NA,13.6,"Hip.","05","SF","Cobertura","HVAC","L","Sala","Curitiba"
0,-5.2,88.9,36,-12.5,33.3,8,13.9,9.5,163.6,NA,36,Inf,-13.4,Inf,88,"Hip.","05","SF","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
0,-7.5,94.4,32.2,6.3,29.2,-8.1,8.8,10.7,154.5,NA,30.4,Inf,-10.4,Inf,79.3,"Hip.","05","SF","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
0,-3.1,45.7,28.8,Inf,14,6.4,15.7,18.8,-21.2,-100,33.3,NA,-7.1,NA,13.3,"Hip.","05","SF","Cobertura","HVAC","NE","Sala","Curitiba"
0,-5.2,88.9,36,7.8,33.3,-11.6,14.9,9.5,141.7,NA,36,Inf,-13.4,Inf,85.7,"Hip.","05","SF","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
0,-7.5,94.4,32.2,-8.7,29.2,6.6,8.4,10.7,154.5,NA,30.4,Inf,-10.4,Inf,79.3,"Hip.","05","SF","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
0,-3.1,45.7,28.8,6.3,14,Inf,15.4,18.8,-20,-100,33.3,NA,-7.1,NA,13.2,"Hip.","05","SF","Cobertura","HVAC","NO","Sala","Curitiba"
0.3,-3.2,120.8,500,-10.3,13.7,10.7,8.3,8.9,183.3,NA,40,133.3,-16.5,133.3,106.3,"Hip.","05","SF","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
0.3,-3.9,129.2,400,9.5,15,-7.3,6.5,10.1,166.7,NA,36.8,225,-15.8,225,102.1,"Hip.","05","SF","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
0.3,-9.8,48.6,9.1,Inf,14.1,2.9,8.4,13.5,-28.6,NA,38.5,Inf,-3.7,Inf,11.4,"Hip.","05","SF","Cobertura","HVAC","SE","Sala","Curitiba"
0.3,-3.2,121.7,500,6.9,13.7,-12.5,7.4,8.9,183.3,NA,40,133.3,-16.5,133.3,106.3,"Hip.","05","SF","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
0.3,-3.9,129.2,400,-7.1,15,9.5,6.5,10.1,166.7,NA,36.8,225,-15.8,225,102.1,"Hip.","05","SF","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
