"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,2.6,0.3,0.9,1.7,1.8,-1.5,2.9,0.3,2.2,0,0.7,-0.1,-9,-0.1,1.8,"Hip.","05","TV","Intermediário","HVAC","L","Dorm. N","Curitiba"
-0.1,-0.3,1,0.9,1.6,0,-1.3,1.4,0.3,0.6,0,0.8,-0.3,-3.3,-0.3,0.4,"Hip.","05","TV","Intermediário","HVAC","L","Dorm. S","Curitiba"
-0.1,2.2,1.4,2.7,1.7,0.3,3.4,8.1,0.2,-0.9,0,1.2,0,-11.9,0,16.6,"Hip.","05","TV","Intermediário","HVAC","L","Sala","Curitiba"
-0.1,5.3,2,5.8,0.9,2.2,0.8,9.8,0.3,2.1,0,0.4,0,-19.4,0,5.1,"Hip.","05","TV","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.1,4.9,2.1,5,1.8,1.6,0.2,8.5,0.4,2.4,0,0.2,0,-18.1,0,4.2,"Hip.","05","TV","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
-0.1,5.4,1.6,5.9,2.3,2,0.9,11,0.3,-0.9,-0.1,0.1,0,-16.7,0,16.4,"Hip.","05","TV","Intermediário","HVAC","NE","Sala","Curitiba"
-0.1,5.2,1.9,5.8,0.8,2.2,0.6,9.4,0.3,2,0,0.4,0,-18.6,0,4.9,"Hip.","05","TV","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.1,4.9,2.1,5,0.2,1.6,1.7,8.4,0.4,2.3,0,0.2,0,-18.1,0,4.2,"Hip.","05","TV","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
-0.1,5.4,1.6,5.9,1,2,2.2,11,0.3,-0.9,-0.1,0.1,0,-16.7,0,16.4,"Hip.","05","TV","Intermediário","HVAC","NO","Sala","Curitiba"
0,-0.8,0.6,1,-0.2,-2.2,-0.2,-1.6,0.6,0.5,0,0.5,0,0,0,0,"Hip.","05","TV","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
0,-0.5,0.8,0.8,0,-1,-1.1,-1.4,0.6,0.6,0,0.3,0,-0.7,0,0,"Hip.","05","TV","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
0.1,-1,0.7,0.9,-0.2,-0.5,-0.3,-0.2,0.6,-1,0,0.3,0,1.5,0,-0.7,"Hip.","05","TV","Intermediário","HVAC","SE","Sala","Curitiba"
0,-0.8,0.6,1,-0.3,-2.2,-0.6,-2.1,0.7,0.5,0,0.5,0,0.6,0,-0.1,"Hip.","05","TV","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
0,-0.5,0.8,0.8,-1.1,-1,0,-1.4,0.6,0.6,0,0.3,0,-0.6,0,0,"Hip.","05","TV","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
0.1,-1,0.6,0.8,-0.4,-0.5,-0.2,-0.3,0.6,-1,0,0.3,0,1.6,0,-0.7,"Hip.","05","TV","Intermediário","HVAC","SO","Sala","Curitiba"
-0.1,2.8,0.5,1.2,-1.5,1.8,2.1,3.7,0.3,2.6,0,0.5,-0.1,-10.4,-0.1,3.5,"Hip.","05","TV","Intermediário","HVAC","O","Dorm. N","Curitiba"
-0.1,-0.3,1.1,1,-1.3,0.2,2.1,1.9,0.2,0.8,0,0.6,-0.3,-4,-0.3,1.5,"Hip.","05","TV","Intermediário","HVAC","O","Dorm. S","Curitiba"
-0.1,5,1.2,3.3,5.9,1,2.4,12.7,0.2,-1,-0.1,0,0,-17.7,0,21.8,"Hip.","05","TV","Intermediário","HVAC","O","Sala","Curitiba"
0,1.5,0.3,0.2,2,1.6,-5.1,-1.2,0.3,4.7,0,0.2,0,-6.2,0,10,"Hip.","05","TV","Intermediário","HVAC","L","Dorm. N","Rio de Janeiro"
