"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.6,17.4,0.7,5,-4.1,-1.5,7.5,6.9,-7.6,2.9,0,-1.3,1.7,-62.8,1.7,12.4,"Hip.","05","TV","Cobertura","HVAC","L","Dorm. N","Curitiba"
44.3,8.4,0.6,-7.1,-3.9,4.9,3.8,-2.3,-8,1.9,0,-1,3.7,-47.5,3.7,8.3,"Hip.","05","TV","Cobertura","HVAC","L","Dorm. S","Curitiba"
51.2,24.8,11.1,7.7,5,7.7,15.4,35.7,-5.9,4.1,0,-1,0,-120.9,0,89.5,"Hip.","05","TV","Cobertura","HVAC","L","Sala","Curitiba"
33.2,21.8,1.8,11.5,6.8,-0.6,5.6,23.3,-7.9,3,0,-1.3,0.5,-73.3,0.5,13.4,"Hip.","05","TV","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
33.2,22.1,2.1,9.2,8.9,-0.4,10.5,28.2,-7.7,3.1,0,-1.4,0.3,-78.5,0.3,13.2,"Hip.","05","TV","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
39.5,34.6,13,14.8,11.1,7.2,10.9,44.1,-5.1,4.3,0,-1,0,-130,0,89.2,"Hip.","05","TV","Cobertura","HVAC","NE","Sala","Curitiba"
33.2,21.8,1.8,11.5,5.7,-0.6,6.8,23.4,-7.9,3,0,-1.3,0.5,-73.3,0.5,13.4,"Hip.","05","TV","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
33.2,22.1,2.1,9.2,10.7,-0.4,8.6,28.1,-7.7,3.1,0,-1.4,0.3,-78.5,0.3,13.2,"Hip.","05","TV","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
39.5,34.6,13,14.8,11.1,7.2,10.9,44.1,-5.1,4.3,0,-1,0,-130,0,89.2,"Hip.","05","TV","Cobertura","HVAC","NO","Sala","Curitiba"
33.9,9.7,1.6,-6.2,3.7,6.1,3.4,6.9,-7.8,1.5,0,-1,2.5,-47.2,2.5,7,"Hip.","05","TV","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
33.8,10.5,1.7,-4.4,5,5.2,5.7,11.5,-7.7,1.6,0,-1.1,2,-52,2,7.4,"Hip.","05","TV","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
39.8,16.2,10.1,-0.1,5.9,8.1,5.8,19.8,-6.2,2.2,0,-0.8,0.2,-81.7,0.2,51.3,"Hip.","05","TV","Cobertura","HVAC","SE","Sala","Curitiba"
33.9,9.8,1.6,-6.2,3.4,6.1,3.7,6.9,-7.8,1.5,0,-1,2.5,-47.2,2.5,7,"Hip.","05","TV","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
33.8,10.5,1.7,-4.4,5.7,5.2,5,11.5,-7.7,1.6,0,-1.1,2,-51.9,2,7.4,"Hip.","05","TV","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
39.8,16.2,10.1,-0.1,5.9,8.1,5.8,19.8,-6.2,2.2,0,-0.8,0.2,-81.7,0.2,51.3,"Hip.","05","TV","Cobertura","HVAC","SO","Sala","Curitiba"
43.5,19,1.2,6.3,8.3,-1.1,-0.6,12.9,-7.6,3.5,0,-1.5,1.6,-71,1.6,18.5,"Hip.","05","TV","Cobertura","HVAC","O","Dorm. N","Curitiba"
44.2,9.7,0.9,-6.7,4.2,6,0,3.5,-8.1,2.3,0,-1.2,3.4,-54.1,3.4,13.1,"Hip.","05","TV","Cobertura","HVAC","O","Dorm. S","Curitiba"
51.1,34.7,13.4,9.7,20.3,9.7,12.2,51.9,-4.9,5.4,0,-1,0,-152.3,0,120.6,"Hip.","05","TV","Cobertura","HVAC","O","Sala","Curitiba"
42.5,42.5,22.6,19.1,24,18.4,21.6,83.2,-0.3,9.5,0.1,-0.5,0,-194.9,0,177,"Hip.","05","TV","Cobertura","HVAC","L","Dorm. N","Rio de Janeiro"
42.5,29.2,21.1,10.7,22.5,17.1,15.6,66,-1.2,7.7,0.1,-0.6,0,-162.5,0,142.1,"Hip.","05","TV","Cobertura","HVAC","L","Dorm. S","Rio de Janeiro"
50.7,52.7,34.9,17.5,29.7,17.5,36.7,101.4,2.2,9.1,0.2,-0.3,0,-251.8,0,260.1,"Hip.","05","TV","Cobertura","HVAC","L","Sala","Rio de Janeiro"
32.7,45.7,24.1,30,17.5,19.8,15.9,83.1,0.1,8,0.1,-0.4,0,-190.3,0,175.9,"Hip.","05","TV","Cobertura","HVAC","NE","Dorm. 1","Rio de Janeiro"
32.7,45.1,24.3,22.5,23.6,13.6,26.1,85.8,0.2,8.1,0.1,-0.4,0,-193,0,177,"Hip.","05","TV","Cobertura","HVAC","NE","Dorm. 2","Rio de Janeiro"
39.2,60.5,36.7,29.3,21.2,23.7,21,95.2,3,7.9,0.2,-0.3,0,-243.5,0,254.5,"Hip.","05","TV","Cobertura","HVAC","NE","Sala","Rio de Janeiro"
32.7,45.7,24.1,30,15.9,19.8,17.5,83.2,0.1,8,0.1,-0.4,0,-190.4,0,175.9,"Hip.","05","TV","Cobertura","HVAC","NO","Dorm. 1","Rio de Janeiro"
32.7,45.1,24.3,22.5,26.1,13.6,23.6,85.8,0.2,8,0.1,-0.4,0,-192.9,0,177,"Hip.","05","TV","Cobertura","HVAC","NO","Dorm. 2","Rio de Janeiro"
39.2,60.5,36.7,29.3,21.2,23.7,21,95.2,3,7.9,0.2,-0.3,0,-243.5,0,254.5,"Hip.","05","TV","Cobertura","HVAC","NO","Sala","Rio de Janeiro"
32.7,28.4,22,11.5,12.3,21.2,11.7,56.7,-0.6,5.6,0.1,-0.2,0,-143.3,0,122.4,"Hip.","05","TV","Cobertura","HVAC","SE","Dorm. 1","Rio de Janeiro"
32.7,28.8,22.2,7.8,17.3,16.1,18.4,59.7,-0.5,5.9,0.1,-0.2,0,-147.3,0,125,"Hip.","05","TV","Cobertura","HVAC","SE","Dorm. 2","Rio de Janeiro"
39.3,35.9,31.5,13.5,14.2,20.2,14.2,62.1,1.2,5.3,0.2,-0.2,0,-175.1,0,174.1,"Hip.","05","TV","Cobertura","HVAC","SE","Sala","Rio de Janeiro"
32.7,28.4,22,11.5,11.7,21.2,12.3,56.7,-0.6,5.6,0.1,-0.2,0,-143.3,0,122.4,"Hip.","05","TV","Cobertura","HVAC","SO","Dorm. 1","Rio de Janeiro"
32.7,28.8,22.2,7.8,18.4,16.1,17.3,59.7,-0.5,5.9,0.1,-0.2,0,-147.3,0,125,"Hip.","05","TV","Cobertura","HVAC","SO","Dorm. 2","Rio de Janeiro"
39.3,35.9,31.5,13.5,14.2,20.2,14.2,62.1,1.2,5.3,0.2,-0.2,0,-175.1,0,174.1,"Hip.","05","TV","Cobertura","HVAC","SO","Sala","Rio de Janeiro"
