"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
44,1,2,1.4,-11.2,-4.3,3.6,-10.4,-6.8,1.2,0,-1.2,0.3,-29.1,0.3,0.3,"Hip.","06","C10","Térreo","HVAC","L","Dorm. N","Curitiba"
44.6,2.7,0.2,-14,-8.1,3.1,1.4,-17.6,-7.5,0.8,0,-1.1,1,-23,1,0.1,"Hip.","06","C10","Térreo","HVAC","L","Dorm. S","Curitiba"
51.1,6.4,5.9,3.9,-2.5,4.2,8.4,14,-6,2,0,-1.1,0,-72.6,0,27.2,"Hip.","06","C10","Térreo","HVAC","L","Sala","Curitiba"
33.2,2.2,4.5,5.7,3.3,-5.6,2.9,6.3,-7.3,1.7,0,-1.2,0,-38.7,0,0.3,"Hip.","06","C10","Térreo","HVAC","NE","Dorm. 1","Curitiba"
33,4.5,5.6,5.4,5.2,-4.1,5.9,12.3,-7.3,1.9,0,-1.3,0,-48,0,0.1,"Hip.","06","C10","Térreo","HVAC","NE","Dorm. 2","Curitiba"
39.4,12.9,10.6,9.9,7.2,2.1,7.2,26.3,-5.5,2.7,0,-1,0,-85.5,0,23.7,"Hip.","06","C10","Térreo","HVAC","NE","Sala","Curitiba"
33.2,2.1,4.4,5.7,2.8,-5.6,3.3,6.2,-7.3,1.7,0,-1.2,0,-38.3,0,0.3,"Hip.","06","C10","Térreo","HVAC","NO","Dorm. 1","Curitiba"
33,4.5,5.6,5.4,6,-4.2,5.2,12.4,-7.3,1.9,0,-1.3,0,-48.2,0,0.1,"Hip.","06","C10","Térreo","HVAC","NO","Dorm. 2","Curitiba"
39.4,12.9,10.6,9.9,7.2,2.1,7.2,26.3,-5.5,2.7,0,-1,0,-85.5,0,23.7,"Hip.","06","C10","Térreo","HVAC","NO","Sala","Curitiba"
34.1,1.9,1.1,-13.2,1.4,2,1.7,-8.1,-7.2,0.6,0,-0.9,0.1,-21.6,0.1,0,"Hip.","06","C10","Térreo","HVAC","SE","Dorm. 1","Curitiba"
33.8,2.4,1.6,-9.9,2.2,2.1,2.2,-3.4,-7.4,0.6,0,-1,0,-26.5,0,0,"Hip.","06","C10","Térreo","HVAC","SE","Dorm. 2","Curitiba"
39.7,6.4,3.5,-6.7,2.8,3.9,2.8,2.8,-6.4,1,0,-0.8,0,-46.1,0,8,"Hip.","06","C10","Térreo","HVAC","SE","Sala","Curitiba"
34.1,1.7,1,-13.1,1.5,1.9,1.5,-8.1,-7.1,0.6,0,-0.9,0.1,-21.3,0.1,0,"Hip.","06","C10","Térreo","HVAC","SO","Dorm. 1","Curitiba"
33.8,2.5,1.7,-10,2.2,2.1,2.4,-3.3,-7.4,0.7,0,-1,0,-26.8,0,0,"Hip.","06","C10","Térreo","HVAC","SO","Dorm. 2","Curitiba"
39.7,6.4,3.5,-6.7,2.8,3.9,2.8,2.8,-6.4,1,0,-0.8,0,-46.1,0,8,"Hip.","06","C10","Térreo","HVAC","SO","Sala","Curitiba"
43.8,0.9,2.5,2.3,3.8,-4.5,-5,-3.4,-6.9,1.7,0,-1.3,0.2,-36.3,0.2,1.5,"Hip.","06","C10","Térreo","HVAC","O","Dorm. N","Curitiba"
44.3,2.3,0.5,-14.2,1.2,3.9,-1.5,-10.6,-7.7,1,0,-1.1,0.8,-29,0.8,0.9,"Hip.","06","C10","Térreo","HVAC","O","Dorm. S","Curitiba"
51,11.2,9.4,5.8,13.1,6.2,6.3,31.4,-5,3.3,0,-1,0,-101,0,52.9,"Hip.","06","C10","Térreo","HVAC","O","Sala","Curitiba"
42.6,26.8,15.8,15,25.2,20.4,16.7,77.2,0.4,7.6,0.1,-0.3,0,-165.9,0,138.3,"Hip.","06","C10","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
42.6,25.4,12.3,8.3,26.7,15.1,12.2,62.3,-0.8,6.4,0.1,-0.8,0,-145.6,0,118.3,"Hip.","06","C10","Térreo","HVAC","L","Dorm. S","Rio de Janeiro"
50.7,31.8,20.7,12.6,29.4,13,28.1,83.1,1.8,6.4,0.1,-0.2,0,-193.4,0,197.3,"Hip.","06","C10","Térreo","HVAC","L","Sala","Rio de Janeiro"
32.7,32.7,18.2,24.8,14.4,22,13.8,75,0.9,6.9,0.1,-0.3,0,-164.2,0,142.3,"Hip.","06","C10","Térreo","HVAC","NE","Dorm. 1","Rio de Janeiro"
32.7,35,18.6,18.8,20.9,15.4,21.5,76.6,1.1,6.9,0.1,-0.3,0,-168.7,0,146.4,"Hip.","06","C10","Térreo","HVAC","NE","Dorm. 2","Rio de Janeiro"
39.3,39.3,23.6,22.8,16.2,23.9,16,78.9,2.4,5.8,0.2,-0.3,0,-188.3,0,198.3,"Hip.","06","C10","Térreo","HVAC","NE","Sala","Rio de Janeiro"
32.7,32.5,18.2,24.8,13.8,22,14.3,74.8,0.9,6.8,0.1,-0.3,0,-163.6,0,141.8,"Hip.","06","C10","Térreo","HVAC","NO","Dorm. 1","Rio de Janeiro"
32.7,35.3,18.7,18.9,21.6,15.4,20.9,76.9,1.1,6.9,0.1,-0.3,0,-169.5,0,147.1,"Hip.","06","C10","Térreo","HVAC","NO","Dorm. 2","Rio de Janeiro"
39.3,39.3,23.6,22.8,16.2,23.9,16,78.9,2.4,5.8,0.2,-0.3,0,-188.3,0,198.3,"Hip.","06","C10","Térreo","HVAC","NO","Sala","Rio de Janeiro"
32.8,24.9,12.2,10.4,9.9,16.5,9.9,46.6,0.1,4.6,0.1,-0.3,0,-120.3,0,95.4,"Hip.","06","C10","Térreo","HVAC","SE","Dorm. 1","Rio de Janeiro"
32.8,26.1,12.5,7.2,14.5,12.7,14.5,48.8,0.1,4.7,0.1,-0.3,0,-124.1,0,96.2,"Hip.","06","C10","Térreo","HVAC","SE","Dorm. 2","Rio de Janeiro"
39.3,27.3,14.8,11,10.1,14.4,10,45.6,0.8,3.6,0.3,-0.2,0,-130.2,0,122.1,"Hip.","06","C10","Térreo","HVAC","SE","Sala","Rio de Janeiro"
32.8,24.7,12.1,10.4,9.9,16.5,9.8,46.4,0.1,4.5,0.1,-0.3,0,-119.7,0,95,"Hip.","06","C10","Térreo","HVAC","SO","Dorm. 1","Rio de Janeiro"
32.8,26.4,12.5,7.1,14.6,12.7,14.6,49.1,0.1,4.8,0.1,-0.3,0,-124.9,0,96.9,"Hip.","06","C10","Térreo","HVAC","SO","Dorm. 2","Rio de Janeiro"
39.3,27.3,14.8,11,10.1,14.4,10,45.6,0.8,3.6,0.3,-0.2,0,-130.2,0,122.1,"Hip.","06","C10","Térreo","HVAC","SO","Sala","Rio de Janeiro"
42.5,27.8,16.9,15.5,17.8,21.3,27.4,82.1,0.7,8,0.1,-0.3,0,-173.6,0,147.1,"Hip.","06","C10","Térreo","HVAC","O","Dorm. N","Rio de Janeiro"
42.6,26.5,13.3,9.2,13.3,15.8,29.1,67.3,-0.6,6.8,0.1,-0.8,0,-153.2,0,126.3,"Hip.","06","C10","Térreo","HVAC","O","Dorm. S","Rio de Janeiro"
50.8,37.1,22.4,13.7,30.4,14,36.8,94.9,3.1,7.5,0.1,-0.2,0,-215.6,0,222.4,"Hip.","06","C10","Térreo","HVAC","O","Sala","Rio de Janeiro"
43,6.8,6.7,5.8,3.1,4.1,7.6,20.6,-4.2,3.3,0,-0.8,0,-73.5,0,25.6,"Hip.","06","C10","Térreo","HVAC","L","Dorm. N","São Paulo"
43.3,7.5,4.4,-5.8,5.4,6.8,4.7,11.1,-5,2.5,0,-1.3,0,-61.7,0,21.2,"Hip.","06","C10","Térreo","HVAC","L","Dorm. S","São Paulo"
50.8,14.1,12.2,7.4,11,7.7,16.4,42.6,-2.8,3.8,0,-0.6,0,-120.1,0,94.5,"Hip.","06","C10","Térreo","HVAC","L","Sala","São Paulo"
32.9,10.6,9.2,12.3,7.1,4.8,6.5,30.7,-4,3.4,0,-0.8,0,-81,0,25.6,"Hip.","06","C10","Térreo","HVAC","NE","Dorm. 1","São Paulo"
32.8,13.9,10.3,10.2,10.7,3.4,11.5,35.8,-3.9,3.6,0,-0.8,0,-90.8,0,26.1,"Hip.","06","C10","Térreo","HVAC","NE","Dorm. 2","São Paulo"
39.3,21.5,15.5,14.7,10.5,10.4,10.4,46.1,-2.4,3.9,0.1,-0.7,0,-123.1,0,91.8,"Hip.","06","C10","Térreo","HVAC","NE","Sala","São Paulo"
