"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.6,14.7,4.3,3.2,-12,-5.3,7.5,-6.6,-7.3,2.5,0,-1.4,0.8,-49.6,0.8,3.8,"Hip.","06","C10","Intermediário","HVAC","L","Dorm. N","Curitiba"
44.4,5.4,1.1,-14,-8.4,6,3,-13.3,-7.6,1.7,0,-1.1,2.5,-33.4,2.5,1.4,"Hip.","06","C10","Intermediário","HVAC","L","Dorm. S","Curitiba"
51.1,21.2,9.2,5.7,-2.4,6.6,12.8,22.8,-6.2,3.1,0,-1.1,0,-100.4,0,62.1,"Hip.","06","C10","Intermediário","HVAC","L","Sala","Curitiba"
33.1,20.9,8.6,11.6,6.2,-6.4,5.5,16.8,-7.8,3,0,-1.4,0,-72.1,0,5.3,"Hip.","06","C10","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
32.9,22.1,9.7,9.8,9,-4.7,10.8,24.8,-7.7,3.3,0,-1.4,0,-82.5,0,4.7,"Hip.","06","C10","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
39.4,33.8,14.9,14.2,10.1,2.3,10.2,36.8,-5.9,3.9,0,-1.1,0,-122,0,67.6,"Hip.","06","C10","Intermediário","HVAC","NE","Sala","Curitiba"
33.1,20.9,8.5,11.5,5.2,-6.4,6.3,16.6,-7.8,3,0,-1.4,0,-71.8,0,5.3,"Hip.","06","C10","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
32.9,22.1,9.8,9.8,10.6,-4.7,9.3,25.1,-7.7,3.3,0,-1.4,0,-83,0,4.7,"Hip.","06","C10","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
39.4,33.8,14.9,14.2,10.1,2.3,10.2,36.8,-5.9,3.9,0,-1.1,0,-122,0,67.6,"Hip.","06","C10","Intermediário","HVAC","NO","Sala","Curitiba"
33.9,6.1,2.4,-13.6,2.6,3.8,3,-4.2,-7.4,1.1,0,-1,0.7,-31.9,0.7,0.4,"Hip.","06","C10","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
33.6,7.2,3.3,-10.2,4,3.7,4.4,1.9,-7.6,1.3,0,-1.1,0.1,-38.5,0.1,0.4,"Hip.","06","C10","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
39.7,11.3,5.1,-6.6,4.1,5.5,4.3,7.3,-6.5,1.5,0,-0.8,0,-57.8,0,20.4,"Hip.","06","C10","Intermediário","HVAC","SE","Sala","Curitiba"
33.9,6.1,2.4,-13.5,2.7,3.7,2.8,-4.2,-7.4,1.1,0,-1,0.7,-31.7,0.7,0.4,"Hip.","06","C10","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
33.6,7.3,3.3,-10.2,4,3.7,4.5,2,-7.6,1.3,0,-1.1,0.1,-38.8,0.1,0.4,"Hip.","06","C10","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
