"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.7,18.7,169.2,19.2,26.4,47,-11.3,59.2,4.1,300,NA,38.1,-23.9,-33.7,-23.9,123.5,"Hip.","06","C10","Cobertura","HVAC","L","Dorm. N","Curitiba"
-0.9,20.7,175,13.2,31.6,22.9,-5.3,35.6,1.3,112.5,NA,42.1,-18.3,-32.9,-19.4,126.1,"Hip.","06","C10","Cobertura","HVAC","L","Dorm. S","Curitiba"
-0.2,8.9,43.4,97.1,105.6,15.9,28.2,66.5,5.1,-16.3,NA,58.3,0,-17.8,0,33.5,"Hip.","06","C10","Cobertura","HVAC","L","Sala","Curitiba"
-0.9,18.3,337.5,140.9,42.5,43.5,6.7,318.4,3.9,145.5,NA,27.8,-44.4,-41.1,-44.4,165.7,"Hip.","06","C10","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
-0.3,11.4,375,180.6,22.2,47.1,3.3,90.5,6.4,154.5,NA,27.8,-12.5,-32.5,-12.5,156.8,"Hip.","06","C10","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
0,11,44.3,79.2,Inf,2100,12.1,56.5,10.7,-15.2,-100,23.1,NA,-20.2,NA,41,"Hip.","06","C10","Cobertura","HVAC","NE","Sala","Curitiba"
-0.9,17,371.4,140.9,2.2,43.5,25.5,259.1,3.9,125,NA,27.8,-44.4,-37.8,-44.4,144.7,"Hip.","06","C10","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
-0.3,11.4,375,180.6,1.1,47.1,27.4,92.2,6.4,180,NA,27.8,-12.5,-33.3,-12.5,156.8,"Hip.","06","C10","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
0,11,44.3,79.2,11,2100,Inf,57.1,10.7,-15.2,-100,23.1,NA,-20.4,NA,41.3,"Hip.","06","C10","Cobertura","HVAC","NO","Sala","Curitiba"
-0.3,6.3,480,18.3,47.8,-28.9,16.7,92,6.4,133.3,NA,43.8,-2.6,-21.5,-2.6,136.8,"Hip.","06","C10","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
0,6.7,385.7,20.2,28.9,-11.1,5.7,100,7.6,150,NA,37.5,16.7,-23.5,16.7,183.3,"Hip.","06","C10","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
0,-0.7,49.3,36.1,Inf,-6.4,11.8,32.4,9.2,-25,NA,33.3,50,-9.3,50,26.6,"Hip.","06","C10","Cobertura","HVAC","SE","Sala","Curitiba"
0,5,480,18.8,6.7,-28.9,20,83.3,7.7,133.3,NA,47.1,0,-18.5,0,109.5,"Hip.","06","C10","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
0,6.7,371.4,20.2,1.9,-11.1,36.8,103.2,7.6,150,NA,37.5,16.7,-23.7,16.7,183.3,"Hip.","06","C10","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
0,-1.3,49.3,36.1,7.8,-6.4,Inf,31.1,9.2,-25,NA,33.3,50,-9.3,50,26.3,"Hip.","06","C10","Cobertura","HVAC","SO","Sala","Curitiba"
-0.9,16.3,218.2,18.4,-11.9,49.4,47.4,141.7,4.1,222.2,-100,33.3,-25.6,-31.7,-25.6,112.1,"Hip.","06","C10","Cobertura","HVAC","O","Dorm. N","Curitiba"
-0.7,16.4,200,13.6,-10.5,20.3,76.3,64.1,2.5,110,NA,45,-20,-30.7,-20,104,"Hip.","06","C10","Cobertura","HVAC","O","Dorm. S","Curitiba"
-0.2,15.1,38.5,83,48.8,25.7,113.3,58.6,8,-13.8,-100,18.2,0,-20.4,0,32.6,"Hip.","06","C10","Cobertura","HVAC","O","Sala","Curitiba"
0,11.5,14.3,0.6,25.9,24.4,-17.7,5.5,50,121.4,0,42.9,NA,-9.4,NA,11.9,"Hip.","06","C10","Cobertura","HVAC","L","Dorm. N","Rio de Janeiro"
0,11.2,14.1,36.5,22.4,3.8,-18.1,7.1,7.7,95,0,52.2,NA,-9.2,NA,11,"Hip.","06","C10","Cobertura","HVAC","L","Dorm. S","Rio de Janeiro"
0,11.7,13.3,19.9,18.7,0.6,27.6,18.2,16.7,-28.5,0,40,NA,-8.2,NA,6.9,"Hip.","06","C10","Cobertura","HVAC","L","Sala","Rio de Janeiro"
0,13.2,14,17.5,-16.4,21.6,1.9,6.5,200,110.3,0,20,NA,-10.6,NA,14.2,"Hip.","06","C10","Cobertura","HVAC","NE","Dorm. 1","Rio de Janeiro"
0,12.5,13.9,15.7,6,21.1,-7.2,6,100,115.8,0,20,NA,-10.2,NA,12.6,"Hip.","06","C10","Cobertura","HVAC","NE","Dorm. 2","Rio de Janeiro"
-0.3,12.2,13.3,31.1,Inf,18.5,8.3,18.3,20.8,-25,100,50,NA,-9.9,NA,10.2,"Hip.","06","C10","Cobertura","HVAC","NE","Sala","Rio de Janeiro"
0,13.5,14,17.1,1.9,20.9,-16.1,6.4,200,107.7,0,20,NA,-10.5,NA,14.1,"Hip.","06","C10","Cobertura","HVAC","NO","Dorm. 1","Rio de Janeiro"
0,12.5,13.9,15.7,-6.6,21.1,5.6,6.2,100,115.8,0,20,NA,-10.5,NA,12.8,"Hip.","06","C10","Cobertura","HVAC","NO","Dorm. 2","Rio de Janeiro"
-0.3,12.4,13.3,31.1,9.3,18.5,Inf,18.5,20.8,-24.3,100,50,NA,-10,NA,10.3,"Hip.","06","C10","Cobertura","HVAC","NO","Sala","Rio de Janeiro"
0,6.1,11,27.2,-23.1,-18.2,0.8,-10.1,33.3,100,0,64.3,NA,-0.7,NA,0.1,"Hip.","06","C10","Cobertura","HVAC","SE","Dorm. 1","Rio de Janeiro"
-0.3,11.3,13,29.6,5,-16.7,-8.5,-4.2,50,110.3,0,61.5,NA,-4.5,NA,4.1,"Hip.","06","C10","Cobertura","HVAC","SE","Dorm. 2","Rio de Janeiro"
0,7.3,11.3,19.3,Inf,-2,6.7,4.9,50,-31.6,-70,66.7,NA,-2.3,NA,-1.5,"Hip.","06","C10","Cobertura","HVAC","SE","Sala","Rio de Janeiro"
0,6.1,11.5,26.8,0.8,-18.5,-22.8,-10.2,33.3,96.6,0,64.3,NA,-0.5,NA,-0.1,"Hip.","06","C10","Cobertura","HVAC","SO","Dorm. 1","Rio de Janeiro"
-0.3,11.7,13,29.6,-7.5,-16.7,5,-3.9,50,110.3,0,61.5,NA,-4.8,NA,4.4,"Hip.","06","C10","Cobertura","HVAC","SO","Dorm. 2","Rio de Janeiro"
0,7.3,11.3,19.3,8.2,-2,Inf,5.1,50,-31.6,-70,66.7,NA,-2.4,NA,-1.4,"Hip.","06","C10","Cobertura","HVAC","SO","Sala","Rio de Janeiro"
0,12.2,14.7,0.5,-16.7,23.4,28.7,6.7,200,127.9,-50,33.3,NA,-10.3,NA,12.8,"Hip.","06","C10","Cobertura","HVAC","O","Dorm. N","Rio de Janeiro"
0,12.1,14.7,32.9,-16.4,4.2,25.6,8.3,9.1,100,0,52.2,NA,-10.3,NA,11.9,"Hip.","06","C10","Cobertura","HVAC","O","Dorm. S","Rio de Janeiro"
-0.2,12.6,12.9,18.8,23,1.1,18.9,16.9,20.7,-27.9,0,33.3,NA,-8,NA,6.7,"Hip.","06","C10","Cobertura","HVAC","O","Sala","Rio de Janeiro"
-0.5,12.1,46.9,5,450,740,-15.8,29.4,4.3,147.4,-100,30.8,-37.5,-16.1,-37.5,32,"Hip.","06","C10","Cobertura","HVAC","L","Dorm. N","São Paulo"
-0.5,11.3,40.8,29.9,205,7.2,-17.6,37.6,2,100,NA,51.7,-36.4,-15.8,-36.4,30.5,"Hip.","06","C10","Cobertura","HVAC","L","Dorm. S","São Paulo"
