"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
0.2,-16.9,-23,-1,10.8,8.7,-26.7,-9.1,7.1,100,NA,5.7,-3,-50,27.3,-0.6,-1.6,-1.1,"Hip.","06","TV","Térreo","AFN","L","Dorm. N","Curitiba"
0.2,-32.1,14.8,26.3,21.2,-4.1,-23.1,-5.9,5.7,62.5,NA,6.2,-3.2,0,35.9,-1.5,-0.7,0,"Hip.","06","TV","Térreo","AFN","L","Dorm. S","Curitiba"
0,-29.8,-26.8,33.3,Inf,-12.8,28.1,20.5,3.3,-32,NA,2.8,0,7.6,NA,-1.6,1,0.7,"Hip.","06","TV","Térreo","AFN","L","Sala","Curitiba"
-0.3,4.4,-16.9,6.3,-19.3,3.3,3,-1.7,2.5,92,NA,-0.2,0,0,300,-0.4,-0.7,-0.4,"Hip.","06","TV","Térreo","AFN","NE","Dorm. 1","Curitiba"
0,12.5,-16.6,7.1,-0.7,2.3,-17.5,-4.4,2.6,84.6,NA,0.2,0,0,Inf,0,-1.3,-0.7,"Hip.","06","TV","Térreo","AFN","NE","Dorm. 2","Curitiba"
-0.3,42.7,-27.4,51.6,Inf,-2.7,-1.7,16.4,-2,-29,NA,-2.6,0,1,NA,-0.2,-0.7,0,"Hip.","06","TV","Térreo","AFN","NE","Sala","Curitiba"
-0.3,3.8,-17.5,6.3,1,3.3,-21.4,-3.1,2.5,84.6,NA,0.5,0,0,300,-0.4,-1,-0.4,"Hip.","06","TV","Térreo","AFN","NO","Dorm. 1","Curitiba"
0,13.6,-15.9,8,-17.9,4.5,0.7,-4,5.3,92,NA,-0.1,0,0,Inf,-0.1,-1.3,-0.4,"Hip.","06","TV","Térreo","AFN","NO","Dorm. 2","Curitiba"
-0.3,42.7,-27.4,51.6,-1.7,-2.7,Inf,16.4,-2,-29,NA,-2.6,0,1,NA,-0.2,-0.7,0,"Hip.","06","TV","Térreo","AFN","NO","Sala","Curitiba"
0,-37.7,-5.2,66.7,-30.1,-30.4,-8,-23.4,10.2,66.7,NA,14.7,-9.7,NA,350,-2.1,-0.4,0,"Hip.","06","TV","Térreo","AFN","SE","Dorm. 1","Curitiba"
0.3,-33.5,-4.8,125,-10.9,-27.4,-26.3,-20.5,10.6,63.2,NA,13.8,-9.1,NA,433.3,-1.3,-0.4,0,"Hip.","06","TV","Térreo","AFN","SE","Dorm. 2","Curitiba"
0.2,-36.6,-11.3,32,Inf,-3.9,-3.3,3.4,9.5,-44.4,NA,7.6,-3.8,4.8,Inf,-0.5,0,0,"Hip.","06","TV","Térreo","AFN","SE","Sala","Curitiba"
0,-37.7,-6.4,80,-9.3,-30.4,-33,-24.9,10.2,66.7,NA,15.1,-9.7,NA,383.3,-2.3,-0.4,0,"Hip.","06","TV","Térreo","AFN","SO","Dorm. 1","Curitiba"
0.3,-33,-4.8,100,-26.3,-27.4,-10,-20.5,10.6,63.2,NA,13.7,-9.1,NA,333.3,-1,-0.4,0,"Hip.","06","TV","Térreo","AFN","SO","Dorm. 2","Curitiba"
0.2,-36.6,-11.3,32,-3.3,-3.9,Inf,2.3,9.5,-44.4,NA,7.8,-3.8,4.8,Inf,-0.5,0,0,"Hip.","06","TV","Térreo","AFN","SO","Sala","Curitiba"
0.2,-16.2,-23.1,-3.4,-27.5,4.2,5.6,-9.3,7,92.6,NA,5.7,-2.9,-28.6,42.1,-0.5,-1.9,-1.1,"Hip.","06","TV","Térreo","AFN","O","Dorm. N","Curitiba"
0,-31.9,8.3,25,-23.2,-6.2,8.2,-7.2,5.6,55.6,NA,6.5,-3.1,-25,45.5,-1.5,-0.7,0,"Hip.","06","TV","Térreo","AFN","O","Dorm. S","Curitiba"
-0.2,-7.1,-30.2,37.5,46.8,0,0,23.6,-3.7,-27.3,NA,-0.7,0,4.1,NA,-1.5,0.3,1.1,"Hip.","06","TV","Térreo","AFN","O","Sala","Curitiba"
0.6,-10.9,-22.3,-2.6,7.5,8.2,-25.3,-7.6,10.8,100,NA,4.1,0,-5.2,NA,10.8,-2.2,-0.6,"Hip.","06","TV","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
0.8,-27.9,15.2,Inf,10.7,-5.3,-21.2,-5,7,64.3,NA,4.9,0,-5.5,NA,8.1,-0.8,0,"Hip.","06","TV","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
-0.2,-12.6,-23.5,30.6,4.3,-7.5,38.8,18.6,0,-31.4,NA,-1,0,-1.9,NA,16,0.5,0.6,"Hip.","06","TV","Térreo","AFN","L","Sala","Rio de Janeiro"
0,7.5,-17.4,6.5,-20.6,1.3,0.9,-2.6,3,92.6,NA,-0.8,0,0.6,NA,-1.4,-0.6,-0.3,"Hip.","06","TV","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
0,15.8,-15.4,8.3,0.6,1.9,-16.7,-3.5,0,88.9,NA,-1.4,0,1.1,NA,-3,-0.8,0,"Hip.","06","TV","Térreo","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.3,42.9,-22.6,48.1,Inf,0,0,14.9,-5,-28.9,NA,-4.2,0,1.7,NA,-24.6,-0.3,0.6,"Hip.","06","TV","Térreo","AFN","NE","Sala","Rio de Janeiro"
0,6.5,-16.9,6.5,0.9,2.7,-20.6,-3,3,85.7,NA,-0.6,0,0.4,NA,-1.1,-0.6,0,"Hip.","06","TV","Térreo","AFN","NO","Dorm. 1","Rio de Janeiro"
0,16.7,-15.4,9.1,-16.7,1.9,0.6,-3.1,0,88.9,NA,-1.6,0,1.2,NA,-3.4,-0.8,0,"Hip.","06","TV","Térreo","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.3,42.9,-22.6,48.1,1.3,0,Inf,14.9,-5,-28.9,NA,-4.3,0,1.7,NA,-24.6,-0.3,0.6,"Hip.","06","TV","Térreo","AFN","NO","Sala","Rio de Janeiro"
1.8,-33.3,1.2,61.5,-28.4,-28.5,-6.2,-19.7,18.4,75,NA,12.5,-5.3,-12.4,NA,19.7,-0.6,0,"Hip.","06","TV","Térreo","AFN","SE","Dorm. 1","Rio de Janeiro"
1.4,-30.5,4.6,77.8,-8.3,-25.4,-23.7,-17,19.4,71.4,NA,11.4,-2.5,-12.3,NA,19.9,-0.6,0.3,"Hip.","06","TV","Térreo","AFN","SE","Dorm. 2","Rio de Janeiro"
0.6,-32.2,-3.1,112.5,Inf,-4.8,-2.6,1.5,15.4,-43.5,NA,7.8,-3.3,-8.4,NA,37.7,-0.3,0.3,"Hip.","06","TV","Térreo","AFN","SE","Sala","Rio de Janeiro"
1.8,-34,1.2,61.5,-7.4,-28.5,-29.2,-20.2,18.4,70,NA,12.8,-5.3,-12.7,NA,20.3,-0.6,0,"Hip.","06","TV","Térreo","AFN","SO","Dorm. 1","Rio de Janeiro"
1.4,-29.8,4.6,77.8,-23.7,-25.4,-8.3,-16.7,16.7,71.4,NA,11.2,-2.5,-12.3,NA,19.9,-0.3,0.3,"Hip.","06","TV","Térreo","AFN","SO","Dorm. 2","Rio de Janeiro"
0.6,-32.2,-3.1,112.5,-2.6,-4.8,Inf,1.5,15.4,-40.9,NA,7.8,-3.3,-8.4,NA,37.7,-0.3,0.3,"Hip.","06","TV","Térreo","AFN","SO","Sala","Rio de Janeiro"
0.9,-12,-20.3,-3.3,-25.6,4.5,5.8,-8.2,8.6,100,NA,4.4,-2.5,-5.2,NA,11.6,-1.9,-0.9,"Hip.","06","TV","Térreo","AFN","O","Dorm. N","Rio de Janeiro"
0.8,-28.2,15.9,100,-21.8,-5,10,-5.2,7.1,65.5,NA,5.1,-2.6,-5.6,NA,8.7,-0.8,0,"Hip.","06","TV","Térreo","AFN","O","Dorm. S","Rio de Janeiro"
0,-13.9,-25.6,26.2,34,-8.5,0,14.8,0,-31,NA,0.3,0,-1.5,NA,17.5,-0.8,0.9,"Hip.","06","TV","Térreo","AFN","O","Sala","Rio de Janeiro"
0.5,-20,-24.2,-4.5,9.5,9.4,-26.8,-8.4,10.3,92.3,NA,5.9,0,-12.2,NA,2.1,-1.2,-1.3,"Hip.","06","TV","Térreo","AFN","L","Dorm. N","São Paulo"
0.5,-34.4,6.1,120,12.1,-6.4,-24,-6.7,6.5,59.3,NA,7.1,-2.7,-9.9,Inf,1.5,-0.6,-0.7,"Hip.","06","TV","Térreo","AFN","L","Dorm. S","São Paulo"
0,-25.6,-28,34.5,13,-9.1,38,20.2,1.9,-34.5,NA,0.5,0,-1.2,NA,1.2,0.6,0.3,"Hip.","06","TV","Térreo","AFN","L","Sala","São Paulo"
