"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.4,11.8,5.5,14.4,61.5,53.1,-10.8,9.6,4.1,135.7,NA,-8.8,6.1,37.5,-20.8,0.4,1.2,3.3,"Hip.","06","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.2,2.9,24.6,38.1,62.5,15.3,-6.5,16.5,1.9,89.3,NA,-8.7,3.4,50,-9.3,0.6,1,2.1,"Hip.","06","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
-1.2,15.8,11.4,79.2,120,6.5,50,47.9,-6,-20.7,NA,-12.8,6.9,24.7,-100,-9.6,5.9,3.2,"Hip.","06","TV","Intermediário","AFN","L","Sala","Curitiba"
-0.8,16.2,11.6,26.2,-4,40.9,15.7,16.7,2,113.3,NA,-14.2,8.6,120,-69.2,-0.9,3.5,-4.1,"Hip.","06","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.6,13.4,10.1,25.2,11.6,40.6,-7.7,9.5,6.1,106.5,NA,-10.2,5.3,100,-33.3,-1.4,2.2,2.5,"Hip.","06","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-1.3,22,8.8,84.5,18.7,50,8.6,38.7,-4.7,-19.4,NA,-14.8,9.4,23.7,NA,-12.8,2.5,4.2,"Hip.","06","TV","Intermediário","AFN","NE","Sala","Curitiba"
-0.8,15.8,10.8,25.5,14,40.9,-6.2,15.2,2,106.5,NA,-13.4,8.6,120,-76.9,-0.9,3.1,-1.8,"Hip.","06","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.6,13.4,10.1,25.2,-9.1,40.6,13.3,9.7,6.1,106.5,NA,-10.3,5.3,100,-33.3,-1.4,2.5,1.2,"Hip.","06","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-1.3,22,8.8,84.5,7,50,20.6,38.7,-4.7,-19.4,NA,-14.8,9.4,23.4,NA,-12.6,2.5,4.2,"Hip.","06","TV","Intermediário","AFN","NO","Sala","Curitiba"
0,-5.7,5.1,88.9,-12.5,-26.5,12.8,-10.1,9.8,105.3,NA,0.3,0,50,1.8,-0.2,0.7,-1.9,"Hip.","06","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
-0.3,-4.2,5.9,100,6.1,-23.5,-11.9,-7.9,10,90,NA,1.1,0,50,-16.2,0.5,1,-2.4,"Hip.","06","TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
0,-0.8,7.3,32,-2.9,-1.6,12.5,9.6,6.1,-35,NA,-1.3,0,12.9,0,-2.7,1.6,-1.9,"Hip.","06","TV","Intermediário","AFN","SE","Sala","Curitiba"
0,-6.9,3.8,88.9,10.3,-27,-15.1,-12.5,9.8,105.3,NA,1.5,0,0,13.5,-0.8,0.7,-2.5,"Hip.","06","TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
