"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
46.7,26.5,11.5,13.5,4.2,4.9,14.1,36.6,-4.7,6.6,0,-124.6,3.5,2.2,3.8,94,32.4,28.7,"Hip.","06","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
47.2,14.4,7.1,-1.3,3.9,12.8,8.6,24,-5.3,5.3,0,-96,3,0.9,7.8,91.3,31.3,27.6,"Hip.","06","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
49.6,19.8,8.8,4.3,0.1,4.9,12,21.3,-7.1,2.3,0,-93.6,3.1,35.8,0,64.1,33.9,29.1,"Hip.","06","TV","Intermediário","AFN","L","Sala","Curitiba"
35.7,32.3,15.4,20.2,12,6.2,14,52.5,-4.9,6.4,0,-139.2,3.8,3.3,0.4,96.3,32.9,28.9,"Hip.","06","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
35.8,33,16.3,15.9,20.2,4.5,18,58.6,-4.6,6.4,0,-146.7,4,3,0.2,96.8,32.3,28.7,"Hip.","06","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
38.2,31,13.6,13.1,7.6,3.6,7.6,31.9,-6.7,2.9,0,-110.4,3.5,43.3,0,56.7,32.8,28.5,"Hip.","06","TV","Intermediário","AFN","NE","Sala","Curitiba"
35.7,32.3,15.4,20.2,13.8,6.2,12.2,52.4,-4.9,6.4,0,-139.2,3.8,3.3,0.3,96.3,32.9,28.9,"Hip.","06","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
35.8,33,16.3,15.9,17.9,4.5,20.4,58.7,-4.6,6.4,0,-146.8,4,3,0.2,96.8,32.4,28.7,"Hip.","06","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
38.2,31,13.6,13.1,7.6,3.6,7.6,31.9,-6.7,2.9,0,-110.4,3.5,43.3,0,56.7,32.8,28.5,"Hip.","06","TV","Intermediário","AFN","NO","Sala","Curitiba"
36.4,14.8,8.2,-0.1,7,10.8,8.8,26.6,-4.6,3.9,0,-87.4,2.9,0.3,5.7,94,30,26.5,"Hip.","06","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
36.4,15.9,9,0,12.1,8.8,10.4,31.3,-4.5,3.8,0,-93.1,3.1,0.3,3.1,96.6,29.8,26.4,"Hip.","06","TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
39.9,12,5.9,-1.7,3.4,6.1,3.6,11.4,-6.2,1.3,0,-63.9,2.6,19.3,1.1,79.6,31.4,26.8,"Hip.","06","TV","Intermediário","AFN","SE","Sala","Curitiba"
36.4,14.8,8.2,-0.1,8.6,10.8,7.3,26.5,-4.6,3.9,0,-87.3,2.9,0.3,5.9,93.7,30,26.5,"Hip.","06","TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
36.4,16,9,0,10.1,8.8,12.5,31.4,-4.5,3.9,0,-93.5,3.1,0.3,3.1,96.6,29.8,26.4,"Hip.","06","TV","Intermediário","AFN","SO","Dorm. 2","Curitiba"
39.9,12,5.9,-1.7,3.4,6.1,3.6,11.4,-6.2,1.3,0,-63.9,2.6,19.3,1.1,79.6,31.4,26.8,"Hip.","06","TV","Intermediário","AFN","SO","Sala","Curitiba"
