"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.1,1.7,2.7,0.9,2.8,2.8,0.2,6.7,0.6,0.2,0,0.9,-0.1,-12.3,-0.1,6.5,"Hip.","07","TV","Cobertura","HVAC","L","Dorm. N","Curitiba"
-0.2,1.1,2.5,1.5,2.6,1,0.5,5.6,0.4,0.3,0,1,-0.3,-10.3,-0.3,4.9,"Hip.","07","TV","Cobertura","HVAC","L","Dorm. S","Curitiba"
0,0.7,3.5,2.3,2.8,0.7,3.7,9.4,0.6,-0.9,0,1.4,0,-14.2,0,18.1,"Hip.","07","TV","Cobertura","HVAC","L","Sala","Curitiba"
-0.2,2.3,3.1,5.4,3.4,3,0.9,12.6,0.6,0.2,0,0.6,-0.2,-18.7,-0.2,8.3,"Hip.","07","TV","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
-0.1,1.1,3.2,4.3,1.4,2.2,2.3,10.1,0.8,0.2,0,0.6,0.1,-15.7,0.1,7.6,"Hip.","07","TV","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
0,1.5,4.1,5.2,2,3,0.9,11.1,0.9,-0.9,-0.1,0.3,0,-16.3,0,19.7,"Hip.","07","TV","Cobertura","HVAC","NE","Sala","Curitiba"
-0.2,2.1,3.1,5.2,0.7,3,2.8,11.7,0.6,0.1,0,0.7,-0.2,-17.7,-0.2,7.8,"Hip.","07","TV","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
-0.1,1.3,3.2,4.4,2.7,2.2,1.6,10.8,0.8,0.2,0,0.4,0.1,-16.5,0.1,7.8,"Hip.","07","TV","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
0,1.5,4.1,5.2,0.9,3,2,11.1,0.9,-0.9,-0.1,0.3,0,-16.3,0,19.8,"Hip.","07","TV","Cobertura","HVAC","NO","Sala","Curitiba"
-0.1,0.4,2.6,1.7,1.3,-0.5,0.6,3.2,0.7,0.1,0,0.7,0.3,-8.3,0.3,4.1,"Hip.","07","TV","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
0,0.3,2.9,1.3,0.9,0.1,1.1,3.4,0.7,0.1,0,0.7,0.6,-8.9,0.6,4.3,"Hip.","07","TV","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
0.1,-1,3.5,1.5,0.5,0.5,0.4,2.9,0.8,-0.9,0,0.5,0.1,-5.3,0.1,8.9,"Hip.","07","TV","Cobertura","HVAC","SE","Sala","Curitiba"
0,0.3,2.6,1.7,0.5,-0.5,1,2.6,0.7,0.1,0,0.9,0.4,-7.7,0.4,3.8,"Hip.","07","TV","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
0,0.3,2.9,1.3,1.2,0.2,1.1,3.7,0.7,0.2,0,0.5,0.6,-9.1,0.6,4.5,"Hip.","07","TV","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
0.1,-1,3.5,1.5,0.3,0.5,0.6,2.9,0.8,-0.9,0,0.5,0.1,-5.3,0.1,8.9,"Hip.","07","TV","Cobertura","HVAC","SO","Sala","Curitiba"
-0.1,1.8,2.9,1.1,1.2,3,3.4,8.7,0.7,0.3,-0.1,0.7,-0.1,-14.4,-0.1,9.3,"Hip.","07","TV","Cobertura","HVAC","O","Dorm. N","Curitiba"
-0.2,1.1,2.6,1.6,1.2,1.1,3.2,7.2,0.5,0.3,0,0.8,-0.4,-11.9,-0.4,7,"Hip.","07","TV","Cobertura","HVAC","O","Dorm. S","Curitiba"
0,2.9,3.9,2.9,6,1.3,4,14.2,0.7,-1,-0.1,0.2,0.1,-20.6,0.1,25.6,"Hip.","07","TV","Cobertura","HVAC","O","Sala","Curitiba"
0,4.4,2.8,0.8,3.3,2.7,2.7,9.6,0.3,0.1,-0.1,0.3,0,-17.5,0,18.1,"Hip.","07","TV","Cobertura","HVAC","L","Dorm. N","Rio de Janeiro"
-0.1,3.9,2.8,1.9,3.3,1.1,3,9.3,0.2,0.3,0,1.1,0,-16.3,0,16,"Hip.","07","TV","Cobertura","HVAC","L","Dorm. S","Rio de Janeiro"
0,4.8,3.9,2.3,3.5,0.4,7.3,13.6,0.4,-3.5,0,0.3,0,-16.3,0,13.2,"Hip.","07","TV","Cobertura","HVAC","L","Sala","Rio de Janeiro"
