"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.3,13.8,9.9,10,0,4.3,10.7,25,-3.9,4.5,0,-97.3,3.1,0.3,6.3,93.4,30.9,14.9,"Hip.","08","C10","Térreo","AFN","L","Dorm. N","Curitiba"
47.5,14.5,5.6,-5.9,2.2,11,7,14.3,-4.9,3.6,0,-82.3,2.8,0.1,9.3,90.5,30,14.3,"Hip.","08","C10","Térreo","AFN","L","Dorm. S","Curitiba"
51,6.3,7.5,2.7,-3.5,3.2,8,10.4,-5.6,1.6,0,-70.5,2.7,20.5,1.4,78,31,15.4,"Hip.","08","C10","Térreo","AFN","L","Sala","Curitiba"
36.2,18.3,13.3,15.9,9.5,4.5,11.2,41.2,-3.9,4.7,0,-110.7,3.4,0.4,1.7,97.9,30.6,16.5,"Hip.","08","C10","Térreo","AFN","NE","Dorm. 1","Curitiba"
36.3,20.6,14,12.9,16.3,3.4,14.5,47,-3.7,4.8,0,-119.6,3.7,0.3,0.6,99.1,30.1,15.2,"Hip.","08","C10","Térreo","AFN","NE","Dorm. 2","Curitiba"
39.3,12,11.8,9.4,5.4,1.5,5.5,21.8,-5.1,2.2,0,-81.7,3.1,22.4,0,77.6,30.9,16.6,"Hip.","08","C10","Térreo","AFN","NE","Sala","Curitiba"
36.2,18.2,13.3,15.9,11,4.5,9.7,41.1,-3.9,4.7,0,-110.7,3.4,0.4,1.7,97.9,30.6,16.5,"Hip.","08","C10","Térreo","AFN","NO","Dorm. 1","Curitiba"
36.3,20.6,13.9,12.9,14.4,3.4,16.4,47.1,-3.7,4.8,0,-119.6,3.7,0.3,0.6,99.1,30.1,16.2,"Hip.","08","C10","Térreo","AFN","NO","Dorm. 2","Curitiba"
39.3,12,11.8,9.4,5.4,1.5,5.5,21.8,-5.1,2.2,0,-81.7,3.1,22.4,0,77.6,30.9,16.6,"Hip.","08","C10","Térreo","AFN","NO","Sala","Curitiba"
36.6,14,7.4,-4.2,6,9.4,7.6,18.8,-4.2,2.9,0,-76.8,2.7,0.1,7.8,92.2,28.8,15.1,"Hip.","08","C10","Térreo","AFN","SE","Dorm. 1","Curitiba"
36.6,15.1,8.2,-3,10.5,7.8,9.1,24.4,-4.1,3,0,-83.8,3,0,5.8,94.2,28.5,15.6,"Hip.","08","C10","Térreo","AFN","SE","Dorm. 2","Curitiba"
40.4,8,5.3,-5.4,2.4,4.5,2.5,4,-5.5,1,0,-52.7,2.4,10.5,2.9,86.5,29.9,15.2,"Hip.","08","C10","Térreo","AFN","SE","Sala","Curitiba"
36.6,13.9,7.4,-4.2,7.3,9.3,6.2,18.7,-4.2,2.9,0,-76.7,2.7,0.1,7.8,92.2,28.7,15.1,"Hip.","08","C10","Térreo","AFN","SO","Dorm. 1","Curitiba"
36.6,15.1,8.3,-3,8.9,7.8,10.8,24.5,-4.1,3,0,-84,3,0,5.7,94.3,28.5,15.6,"Hip.","08","C10","Térreo","AFN","SO","Dorm. 2","Curitiba"
40.4,8,5.3,-5.4,2.4,4.5,2.5,4,-5.5,1,0,-52.7,2.4,10.5,2.9,86.5,29.9,15.2,"Hip.","08","C10","Térreo","AFN","SO","Sala","Curitiba"
47.1,13.3,10.8,11.6,10.6,4,5.6,31.8,-4.1,4.9,0,-104.9,3.2,1,5.8,93.2,32.2,14.9,"Hip.","08","C10","Térreo","AFN","O","Dorm. N","Curitiba"
47.3,13.9,6.3,-5.9,6.6,12.7,8.7,22.1,-5,4,0,-90.2,3,0.6,8.4,90.9,32,14.3,"Hip.","08","C10","Térreo","AFN","O","Dorm. S","Curitiba"
49.9,8.1,10.7,3.8,11.4,4.2,2.4,21.9,-5.4,2.4,0,-87.2,2.9,30.3,1.3,68.4,33.3,15.3,"Hip.","08","C10","Térreo","AFN","O","Sala","Curitiba"
35.6,16,11.5,11.6,6.8,6.2,12.1,36.7,-3.4,5.2,0,-102,3.9,63.3,0,36.7,36.4,20,"Hip.","08","C10","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
36.3,16.9,7.2,-3.2,10.3,13,8,28.1,-4,4.3,0,-90.6,3.7,55.3,0,44.7,37.1,19.7,"Hip.","08","C10","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
40.1,8.5,11.1,4.3,2.2,4.9,12.2,23.5,-4.7,2.4,0,-81.6,3.1,84.8,0,15.2,37.8,22.3,"Hip.","08","C10","Térreo","AFN","L","Sala","Rio de Janeiro"
27.1,21.2,14.5,17.7,10.7,6.6,11.8,46.8,-3.3,5.2,0,-112.5,4,72.8,0,27.2,36.6,20.7,"Hip.","08","C10","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
27.1,23.7,15.1,14.2,17.5,4.8,16.1,52.6,-3.1,5.2,0,-121.2,4.3,74.4,0,25.6,36.2,20.9,"Hip.","08","C10","Térreo","AFN","NE","Dorm. 2","Rio de Janeiro"
31.3,15.6,14.2,11.6,7.4,4.4,7.3,30.7,-4.2,2.8,0,-90.7,3.3,93.6,0,6.4,36.6,23.3,"Hip.","08","C10","Térreo","AFN","NE","Sala","Rio de Janeiro"
27.1,21.1,14.5,17.7,11.7,6.6,10.7,46.7,-3.3,5.2,0,-112.4,4,72.7,0,27.3,36.6,20.8,"Hip.","08","C10","Térreo","AFN","NO","Dorm. 1","Rio de Janeiro"
27.1,23.8,15.1,14.2,16.2,4.7,17.6,52.7,-3.1,5.2,0,-121.4,4.3,74.4,0,25.6,36.2,20.9,"Hip.","08","C10","Térreo","AFN","NO","Dorm. 2","Rio de Janeiro"
31.3,15.6,14.2,11.6,7.4,4.4,7.3,30.7,-4.2,2.8,0,-90.7,3.3,93.6,0,6.4,36.6,23.3,"Hip.","08","C10","Térreo","AFN","NO","Sala","Rio de Janeiro"
28.4,17.5,8.9,-0.6,7.3,11.1,8.4,26.2,-3,3.4,0,-82.7,3.6,53.7,0,46.3,35.4,20.1,"Hip.","08","C10","Térreo","AFN","SE","Dorm. 1","Rio de Janeiro"
28.3,19,9.8,-0.5,12.2,9.2,10.7,31.7,-2.9,3.6,0,-90.1,3.9,54.7,0,45.3,35.2,20.3,"Hip.","08","C10","Térreo","AFN","SE","Dorm. 2","Rio de Janeiro"
32.9,10.8,7.1,-3.1,3.6,5.8,3.6,10,-4.3,1.3,0,-57.1,2.9,71.5,0,28.5,36.1,21.7,"Hip.","08","C10","Térreo","AFN","SE","Sala","Rio de Janeiro"
28.4,17.4,8.9,-0.5,8.3,11.1,7.2,26.1,-3,3.4,0,-82.6,3.6,53.6,0,46.4,35.4,20.1,"Hip.","08","C10","Térreo","AFN","SO","Dorm. 1","Rio de Janeiro"
28.3,19.1,9.8,-0.5,10.8,9.3,12.2,31.8,-2.9,3.6,0,-90.3,3.9,54.7,0,45.3,35.2,20.3,"Hip.","08","C10","Térreo","AFN","SO","Dorm. 2","Rio de Janeiro"
32.9,10.8,7.1,-3.1,3.6,5.8,3.6,10,-4.3,1.3,0,-57.1,2.9,71.5,0,28.5,36.1,21.7,"Hip.","08","C10","Térreo","AFN","SO","Sala","Rio de Janeiro"
35.3,16.4,12.2,12.1,12.6,6.8,7.5,38.9,-3.3,5.4,0,-105.8,3.9,64.7,0,35.3,36.7,20,"Hip.","08","C10","Térreo","AFN","O","Dorm. N","Rio de Janeiro"
36,17.5,7.8,-2.6,8.4,13.7,11.3,30.7,-4,4.6,0,-94.5,3.8,56.8,0,43.2,37.7,19.7,"Hip.","08","C10","Térreo","AFN","O","Dorm. S","Rio de Janeiro"
39.3,10.3,12.6,4.8,13.4,5.4,6.1,29.6,-4.3,2.9,0,-91.5,3.2,87.9,0,12.1,38.3,22.2,"Hip.","08","C10","Térreo","AFN","O","Sala","Rio de Janeiro"
43.3,13,10.6,10.8,4.6,5.3,11,31.7,-3.6,4.7,0,-100.7,3.7,15.9,0.6,83.5,33.7,16.4,"Hip.","08","C10","Térreo","AFN","L","Dorm. N","São Paulo"
43.7,13.9,6.5,-3.9,7.4,12,7.3,22.8,-4.3,3.9,0,-88.1,3.5,13.7,1,85.3,32.6,16.1,"Hip.","08","C10","Térreo","AFN","L","Dorm. S","São Paulo"
46.6,6.1,9,3.3,-0.5,3.8,9.9,16.5,-5.2,1.9,0,-75,2.9,50.5,0,49.5,33.4,17.3,"Hip.","08","C10","Térreo","AFN","L","Sala","São Paulo"
33.1,18.2,13.6,16.5,10,5.9,11.4,43.7,-3.5,4.9,0,-111,3.9,19,0.1,80.9,33.6,17.2,"Hip.","08","C10","Térreo","AFN","NE","Dorm. 1","São Paulo"
33.1,20.6,14.1,13.2,16.7,4.3,14.9,49,-3.2,4.9,0,-119.4,4.2,20.1,0,79.9,32.9,17.3,"Hip.","08","C10","Térreo","AFN","NE","Dorm. 2","São Paulo"
36.2,12.2,12.1,9.8,5.8,2.4,5.8,23.8,-4.7,2.3,0,-81.6,3.2,57.7,0,42.3,33.4,18.6,"Hip.","08","C10","Térreo","AFN","NE","Sala","São Paulo"
33.1,18,13.6,16.4,11.3,5.9,9.9,43.5,-3.5,4.9,0,-111,3.9,18.9,0,81,33.7,17.2,"Hip.","08","C10","Térreo","AFN","NO","Dorm. 1","São Paulo"
33.1,20.7,14.2,13.2,14.9,4.3,16.7,49.2,-3.2,4.9,0,-119.5,4.2,20.1,0,79.8,32.9,17.3,"Hip.","08","C10","Térreo","AFN","NO","Dorm. 2","São Paulo"
36.2,12.2,12.1,9.8,5.8,2.4,5.8,23.8,-4.7,2.3,0,-81.6,3.2,57.7,0,42.3,33.4,18.6,"Hip.","08","C10","Térreo","AFN","NO","Sala","São Paulo"
33.8,14.4,8.3,-1.5,6.6,10.2,7.9,23.3,-3.4,3.1,0,-80.6,3.3,13.1,0.4,86.5,31.2,17,"Hip.","08","C10","Térreo","AFN","SE","Dorm. 1","São Paulo"
33.8,15.8,9.1,-1,11.3,8.5,9.8,28.6,-3.3,3.3,0,-87.8,3.6,14.2,0.1,85.7,31,16.9,"Hip.","08","C10","Térreo","AFN","SE","Dorm. 2","São Paulo"
37.6,8.6,6,-3.8,2.9,5.1,2.9,7.1,-4.7,1.1,0,-55,2.6,38,0,62,31.7,17.3,"Hip.","08","C10","Térreo","AFN","SE","Sala","São Paulo"
33.8,14.3,8.2,-1.4,7.9,10.1,6.6,23.2,-3.4,3.1,0,-80.6,3.3,13,0.5,86.6,31.2,17,"Hip.","08","C10","Térreo","AFN","SO","Dorm. 1","São Paulo"
33.8,15.9,9,-1,9.8,8.5,11.4,28.6,-3.3,3.3,0,-87.8,3.6,14.3,0.1,85.6,31,16.9,"Hip.","08","C10","Térreo","AFN","SO","Dorm. 2","São Paulo"
37.6,8.6,6,-3.8,2.9,5.1,2.9,7.1,-4.7,1.1,0,-55,2.6,38,0,62,31.7,17.3,"Hip.","08","C10","Térreo","AFN","SO","Sala","São Paulo"
43.1,13.3,11.1,11.4,11.4,5.6,5.7,34.1,-3.5,5,0,-104.4,3.8,18.2,0.5,81.3,34.4,16.4,"Hip.","08","C10","Térreo","AFN","O","Dorm. N","São Paulo"
43.5,14.3,6.9,-3.4,7.5,12.7,9,25.8,-4.2,4.2,0,-92.1,3.6,15.8,0.9,83.3,33.4,16.1,"Hip.","08","C10","Térreo","AFN","O","Dorm. S","São Paulo"
46,7.3,10.3,3.7,10.9,4.2,2.6,21.4,-4.9,2.3,0,-83.1,3,54.4,0,45.6,34.6,17.3,"Hip.","08","C10","Térreo","AFN","O","Sala","São Paulo"
