"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.2,14.8,11.2,10.5,3.7,4.8,10.6,29.6,-4.2,5,0,-104.4,3.3,0.4,4.3,95.3,30.8,15.9,"Hip.","08","TV","Térreo","AFN","L","Dorm. N","Curitiba"
47.4,15.2,6.7,-1.6,3.7,9.9,7.4,19.4,-5.1,4.1,0,-89.6,3,0.2,6.6,93.2,29.9,15.3,"Hip.","08","TV","Térreo","AFN","L","Dorm. S","Curitiba"
50.7,6.2,8.3,3.4,0.1,3.6,8.7,15.8,-6.1,1.7,0,-75.8,2.8,23.1,0.1,76.7,31.3,16,"Hip.","08","TV","Térreo","AFN","L","Sala","Curitiba"
36.2,19.4,14.1,16,9.6,5.9,10.8,42.4,-4.2,5,0,-114,3.4,0.5,0.5,99,30.7,16.4,"Hip.","08","TV","Térreo","AFN","NE","Dorm. 1","Curitiba"
36.2,21.4,14.6,12.8,15.7,4.3,14.4,47.2,-3.9,5,0,-121.4,3.7,0.4,0.4,99.2,30.4,16.6,"Hip.","08","TV","Térreo","AFN","NE","Dorm. 2","Curitiba"
39.1,12.1,12.4,9.9,6.2,3.6,6.1,25.9,-5.5,2.3,0,-86.1,3.2,26.2,0,73.8,31,17,"Hip.","08","TV","Térreo","AFN","NE","Sala","Curitiba"
36.2,19.2,14.1,16,10.7,5.9,9.6,42.2,-4.1,5,0,-113.9,3.4,0.5,0.5,99,30.7,16.4,"Hip.","08","TV","Térreo","AFN","NO","Dorm. 1","Curitiba"
36.2,21.5,14.6,12.8,14.5,4.3,15.7,47.4,-3.9,5,0,-121.4,3.7,0.4,0.5,99.1,30.3,16.3,"Hip.","08","TV","Térreo","AFN","NO","Dorm. 2","Curitiba"
39.1,12.1,12.4,9.9,6.2,3.6,6.1,25.9,-5.5,2.3,0,-86.1,3.2,26.2,0,73.8,31,17,"Hip.","08","TV","Térreo","AFN","NO","Sala","Curitiba"
36.5,14.8,8.3,-0.4,6.2,9.9,7.3,22.9,-4.6,3.2,0,-82.6,2.8,0.1,5.1,94.7,28.9,15.9,"Hip.","08","TV","Térreo","AFN","SE","Dorm. 1","Curitiba"
36.6,15.9,8.9,-0.2,10.3,8.1,9.2,27.4,-4.4,3.3,0,-88.5,3.1,0.1,3.1,96.8,28.7,15.5,"Hip.","08","TV","Térreo","AFN","SE","Dorm. 2","Curitiba"
40.2,7.7,5.9,-1.9,2.9,5,3,9,-5.9,1.1,0,-57.5,2.5,13.1,1.2,85.6,30.2,15.8,"Hip.","08","TV","Térreo","AFN","SE","Sala","Curitiba"
36.5,14.7,8.3,-0.4,7.2,9.9,6.2,22.9,-4.5,3.2,0,-82.6,2.8,0.1,5.2,94.7,28.9,15.9,"Hip.","08","TV","Térreo","AFN","SO","Dorm. 1","Curitiba"
36.6,15.9,8.9,-0.2,9.2,8.1,10.5,27.5,-4.4,3.3,0,-88.6,3.1,0.1,3.1,96.8,28.8,15.4,"Hip.","08","TV","Térreo","AFN","SO","Dorm. 2","Curitiba"
40.2,7.7,5.9,-1.9,2.9,5,3,9,-5.9,1.1,0,-57.5,2.5,13.1,1.2,85.6,30.2,15.8,"Hip.","08","TV","Térreo","AFN","SO","Sala","Curitiba"
47,14.4,11.9,11.7,10.9,4.8,7.2,34.6,-4.3,5.4,0,-110.4,3.3,1,4,94.9,31.8,15.9,"Hip.","08","TV","Térreo","AFN","O","Dorm. N","Curitiba"
47.3,14.9,7.3,-1.4,7.6,11.2,7.6,25,-5.3,4.5,0,-95.7,3.1,0.7,6,93.4,31.4,15.3,"Hip.","08","TV","Térreo","AFN","O","Dorm. S","Curitiba"
49.7,8.1,11.4,4.7,12.3,4.8,4.9,26.7,-5.8,2.6,0,-92.3,3,32.5,0.2,67.2,33.4,15.9,"Hip.","08","TV","Térreo","AFN","O","Sala","Curitiba"
35.3,17,12.9,11.8,8.2,6.4,12,38.3,-3.6,5.7,0,-106.3,3.9,65.5,0,34.5,36.4,20.3,"Hip.","08","TV","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
36.1,18,8.3,0.4,9,11.5,8.6,29.4,-4.2,4.9,0,-94.7,3.8,57.2,0,42.8,36.8,20,"Hip.","08","TV","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
39.8,8.6,11.9,5.1,4.6,5.3,12.7,27.7,-5,2.6,0,-86.2,3.1,87,0,13,37.9,22.8,"Hip.","08","TV","Térreo","AFN","L","Sala","Rio de Janeiro"
27,22.1,15.3,17.5,10.6,7.4,11.3,46.8,-3.6,5.5,0,-114.2,4,73.4,0,26.6,36.8,20.8,"Hip.","08","TV","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
27,24.4,15.8,13.9,16.8,5.4,15.9,52,-3.4,5.4,0,-121.9,4.3,74.6,0,25.4,36.5,20.9,"Hip.","08","TV","Térreo","AFN","NE","Dorm. 2","Rio de Janeiro"
31.1,15.7,14.9,12.1,8.1,6,7.9,34.1,-4.5,2.9,0,-94.6,3.4,94.6,0,5.4,36.9,23.4,"Hip.","08","TV","Térreo","AFN","NE","Sala","Rio de Janeiro"
27,22,15.3,17.4,11.3,7.4,10.5,46.7,-3.6,5.4,0,-114.1,4,73.4,0,26.6,36.7,20.7,"Hip.","08","TV","Térreo","AFN","NO","Dorm. 1","Rio de Janeiro"
27,24.6,15.8,13.9,16,5.4,16.8,52.1,-3.4,5.4,0,-122.2,4.3,74.5,0,25.5,36.5,20.9,"Hip.","08","TV","Térreo","AFN","NO","Dorm. 2","Rio de Janeiro"
31.1,15.7,14.9,12.1,8.1,6,7.9,34.1,-4.5,2.9,0,-94.6,3.4,94.6,0,5.4,36.9,23.4,"Hip.","08","TV","Térreo","AFN","NO","Sala","Rio de Janeiro"
28.2,18.3,9.7,1.9,7.2,11.5,8,28.6,-3.3,3.7,0,-86.7,3.7,55.1,0,44.9,35.4,20.3,"Hip.","08","TV","Térreo","AFN","SE","Dorm. 1","Rio de Janeiro"
28.2,19.7,10.3,1.4,11.7,9.3,10.7,33.3,-3.2,3.8,0,-92.9,3.9,55.8,0,44.2,35.3,20.4,"Hip.","08","TV","Térreo","AFN","SE","Dorm. 2","Rio de Janeiro"
32.6,10.7,7.7,-0.1,4,6.3,4,14.2,-4.7,1.4,0,-61.3,3,74.6,0,25.4,36.3,21.9,"Hip.","08","TV","Térreo","AFN","SE","Sala","Rio de Janeiro"
28.2,18.2,9.7,1.9,8,11.4,7.2,28.5,-3.3,3.7,0,-86.5,3.7,55,0,45,35.4,20.2,"Hip.","08","TV","Térreo","AFN","SO","Dorm. 1","Rio de Janeiro"
28.2,19.8,10.3,1.4,10.8,9.4,11.8,33.4,-3.2,3.9,0,-93.1,3.9,55.9,0,44.1,35.3,20.4,"Hip.","08","TV","Térreo","AFN","SO","Dorm. 2","Rio de Janeiro"
32.6,10.7,7.7,-0.1,4,6.3,4,14.2,-4.7,1.4,0,-61.3,3,74.6,0,25.4,36.3,21.9,"Hip.","08","TV","Térreo","AFN","SO","Sala","Rio de Janeiro"
35.1,17.3,13.3,12.3,12.4,6.7,8.7,40.1,-3.5,5.9,0,-109.3,4,66.6,0,33.4,36.3,20.2,"Hip.","08","TV","Térreo","AFN","O","Dorm. N","Rio de Janeiro"
35.9,18.5,8.8,0.9,9,12,9.5,31.4,-4.1,5,0,-97.7,3.8,58.4,0,41.6,37.1,20,"Hip.","08","TV","Térreo","AFN","O","Dorm. S","Rio de Janeiro"
39,10.4,13.3,5.6,14.3,5.9,7.7,33.5,-4.6,3.1,0,-95.8,3.2,90,0,10,38.3,22.7,"Hip.","08","TV","Térreo","AFN","O","Sala","Rio de Janeiro"
43.1,14.1,11.9,11.1,6.5,5.5,11,34.2,-3.8,5.3,0,-106,3.8,17.4,0.1,82.5,33.6,17,"Hip.","08","TV","Térreo","AFN","L","Dorm. N","São Paulo"
43.5,15.1,7.6,-0.1,7.1,10.8,7.9,25.6,-4.4,4.5,0,-93.6,3.6,15.1,0.4,84.5,32.4,17.1,"Hip.","08","TV","Térreo","AFN","L","Dorm. S","São Paulo"
46.3,6.1,9.7,4.1,2.3,4.3,10.4,21,-5.6,2.1,0,-79.7,3,52.8,0,47.2,33.7,17.9,"Hip.","08","TV","Térreo","AFN","L","Sala","São Paulo"
33,19.1,14.3,16.4,9.9,6.6,10.9,43.8,-3.7,5.2,0,-113,3.9,20.2,0,79.8,33.7,17.6,"Hip.","08","TV","Térreo","AFN","NE","Dorm. 1","São Paulo"
33.1,21.2,14.7,13,15.9,4.8,14.7,48.5,-3.5,5.1,0,-120.2,4.2,20.8,0,79.2,33.3,18.2,"Hip.","08","TV","Térreo","AFN","NE","Dorm. 2","São Paulo"
36,12.2,12.7,10.3,6.6,4.2,6.5,27.5,-5,2.4,0,-85.6,3.2,60.2,0,39.8,33.6,19,"Hip.","08","TV","Térreo","AFN","NE","Sala","São Paulo"
33,18.9,14.3,16.3,10.8,6.6,9.9,43.6,-3.7,5.2,0,-113,3.9,20.1,0,79.8,33.8,17.9,"Hip.","08","TV","Térreo","AFN","NO","Dorm. 1","São Paulo"
33.1,21.4,14.7,13,14.8,4.8,16,48.6,-3.5,5.1,0,-120.2,4.2,20.8,0,79.2,33.2,18.2,"Hip.","08","TV","Térreo","AFN","NO","Dorm. 2","São Paulo"
36,12.2,12.7,10.3,6.6,4.2,6.5,27.5,-5,2.4,0,-85.6,3.2,60.2,0,39.8,33.6,19,"Hip.","08","TV","Térreo","AFN","NO","Sala","São Paulo"
33.7,15.3,9,1.3,6.7,10.6,7.6,26.2,-3.7,3.4,0,-85.3,3.4,14.7,0.1,85.2,31.3,17,"Hip.","08","TV","Térreo","AFN","SE","Dorm. 1","São Paulo"
33.7,16.6,9.6,1,11,8.6,9.9,30.5,-3.5,3.5,0,-90.9,3.7,15.3,0.1,84.6,31.1,17.1,"Hip.","08","TV","Térreo","AFN","SE","Dorm. 2","São Paulo"
37.4,8.4,6.5,-0.8,3.4,5.5,3.3,11.4,-5.1,1.2,0,-58.9,2.7,40.4,0,59.6,31.9,17.8,"Hip.","08","TV","Térreo","AFN","SE","Sala","São Paulo"
33.7,15.2,9,1.3,7.6,10.6,6.7,26.1,-3.7,3.4,0,-85.2,3.4,14.7,0.1,85.2,31.3,17,"Hip.","08","TV","Térreo","AFN","SO","Dorm. 1","São Paulo"
33.7,16.7,9.6,1,9.9,8.7,11,30.5,-3.5,3.5,0,-91,3.7,15.4,0.1,84.5,31.1,16.8,"Hip.","08","TV","Térreo","AFN","SO","Dorm. 2","São Paulo"
37.4,8.4,6.5,-0.8,3.4,5.5,3.3,11.4,-5.1,1.2,0,-58.9,2.7,40.4,0,59.6,31.9,17.8,"Hip.","08","TV","Térreo","AFN","SO","Sala","São Paulo"
42.9,14.3,12.2,11.6,11.3,5.7,7.4,36.1,-3.7,5.5,0,-109.1,3.8,19.3,0.1,80.6,34,17.3,"Hip.","08","TV","Térreo","AFN","O","Dorm. N","São Paulo"
43.4,15.4,8,0.2,8.2,11.3,8.1,27.8,-4.4,4.7,0,-96.8,3.6,16.7,0.4,82.9,32.9,16.8,"Hip.","08","TV","Térreo","AFN","O","Dorm. S","São Paulo"
45.7,7.3,11,4.5,11.8,4.7,4.8,25.8,-5.3,2.5,0,-87.6,3,56.9,0,43.1,34.7,17.9,"Hip.","08","TV","Térreo","AFN","O","Sala","São Paulo"
