"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
46.9,21.1,10.7,12,2.7,3.3,12.3,30.2,-4.9,5.8,0,-111.1,3.3,1.5,5.2,93.2,32,14.9,"Hip.","08","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
47.3,13.6,6.4,-2,2.6,11.4,8,20,-5.4,4.7,0,-90,2.9,0.8,8.3,90.9,31.2,14.1,"Hip.","08","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
50,14.8,7.9,4,-0.7,4.4,10.7,18.3,-7,2.1,0,-85.3,2.9,31.2,0.5,68.3,33.1,15.4,"Hip.","08","TV","Intermediário","AFN","L","Sala","Curitiba"
35.9,25.9,13.7,17.9,10.6,4.3,12.3,45.2,-5.1,5.6,0,-123.2,3.5,1.9,1.2,96.9,32,16.7,"Hip.","08","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
36,27.1,14.4,14.2,17.7,3.2,16,51.1,-4.8,5.6,0,-130.9,3.7,1.7,0.4,97.9,31.7,16.6,"Hip.","08","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
38.5,23.5,12,11.5,6.8,2.4,6.8,27.6,-6.5,2.6,0,-98,3.2,37.5,0,62.5,32.2,16.5,"Hip.","08","TV","Intermediário","AFN","NE","Sala","Curitiba"
35.9,25.8,13.7,17.8,12.1,4.3,10.7,44.9,-5.1,5.6,0,-123.2,3.5,1.9,1.2,96.9,32.1,16.4,"Hip.","08","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
36,27.2,14.4,14.2,16,3.2,17.9,51.3,-4.8,5.6,0,-130.8,3.7,1.7,0.4,97.9,31.7,16.4,"Hip.","08","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
38.5,23.5,12,11.5,6.8,2.4,6.8,27.6,-6.5,2.6,0,-98,3.2,37.5,0,62.5,32.2,16.5,"Hip.","08","TV","Intermediário","AFN","NO","Sala","Curitiba"
36.4,14.3,8.1,-0.8,6.6,10.5,8.2,24.5,-4.9,3.6,0,-84.2,2.8,0.4,6.9,92.7,30.1,15.4,"Hip.","08","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
36.4,15.4,8.7,-0.5,11.3,8.5,9.8,29.2,-4.8,3.6,0,-90.2,3,0.3,5,94.6,29.9,16.1,"Hip.","08","TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
39.9,10.8,5.6,-2.2,3.2,5.7,3.3,10.1,-6.4,1.2,0,-61.1,2.5,18.7,2.5,78.8,31.3,15.2,"Hip.","08","TV","Intermediário","AFN","SE","Sala","Curitiba"
36.4,14.2,8.1,-0.8,8,10.4,6.8,24.4,-4.9,3.5,0,-84.2,2.8,0.4,6.9,92.7,30,15.3,"Hip.","08","TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
36.4,15.4,8.7,-0.5,9.7,8.5,11.6,29.3,-4.8,3.6,0,-90.2,3,0.4,5,94.7,29.9,16.1,"Hip.","08","TV","Intermediário","AFN","SO","Dorm. 2","Curitiba"
39.9,10.8,5.6,-2.2,3.2,5.7,3.3,10.1,-6.4,1.2,0,-61.1,2.5,18.7,2.5,78.8,31.3,15.2,"Hip.","08","TV","Intermediário","AFN","SO","Sala","Curitiba"
46.7,22.4,11.4,13.7,12.5,3.4,5.5,35.1,-5,6.3,0.1,-119.2,3.4,2.6,4.9,92.4,33.1,15,"Hip.","08","TV","Intermediário","AFN","O","Dorm. N","Curitiba"
47.1,14.9,6.9,-1.7,8.1,13.2,6,25.6,-5.6,5.2,0,-98,3,1.7,7.6,90.7,32.6,14.3,"Hip.","08","TV","Intermediário","AFN","O","Dorm. S","Curitiba"
48.9,20,10.5,5.1,14.3,5.4,3.3,28.1,-7,2.9,0,-103.2,3.1,39.9,0.8,59.3,35.1,15.5,"Hip.","08","TV","Intermediário","AFN","O","Sala","Curitiba"
