"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,-9.5,1.1,2.8,6.9,20,-20,-9.9,0,117.4,NA,1.9,0,11.1,7.2,-0.7,0.3,-2.2,"Hip.","09","C10","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.2,-2.4,17.8,0,0,3.3,-11.8,-4.2,0,69.6,NA,-2.2,0,25,-1.6,0.1,0.3,1.6,"Hip.","09","C10","Intermediário","AFN","L","Dorm. S","Curitiba"
0.2,-14.8,-3,520,-3.7,2.6,-37.5,-3.3,-1.7,-26.9,NA,2,0,5.2,31,-2.8,1.6,-1.4,"Hip.","09","C10","Intermediário","AFN","L","Sala","Curitiba"
0,-12.9,-6.5,-59.6,-6.5,61.5,0.8,-21.6,6.7,81.5,-100,7.8,-3,-25,24.3,-0.6,-1,-4.4,"Hip.","09","C10","Intermediário","AFN","NE","Dorm. 1","Curitiba"
0.3,-12.9,-8.1,-59.6,-2.2,87.5,-18.1,-20.2,9.1,78.6,-100,8.7,-5.4,-22.2,183.3,-2,-0.6,-3.6,"Hip.","09","C10","Intermediário","AFN","NE","Dorm. 2","Curitiba"
0.3,-11.9,-8.8,-68.6,20,63.6,1.6,-11.3,5.3,-27.3,NA,5.7,-3.2,-6.9,500,1.9,-1,-4.4,"Hip.","09","C10","Intermediário","AFN","NE","Sala","Curitiba"
0.3,-14,-7.9,-60.3,-3.3,61.5,-12.6,-24.3,6.7,75,-100,8.8,-5.9,-33.3,21.6,-0.5,-1,-3.8,"Hip.","09","C10","Intermediário","AFN","NO","Dorm. 1","Curitiba"
0.3,-12.9,-8.1,-59.6,-20.1,87.5,0.6,-19.6,6.8,85.2,-100,8.7,-5.4,-22.2,175,-1.9,-1,-3.6,"Hip.","09","C10","Intermediário","AFN","NO","Dorm. 2","Curitiba"
0.3,-11.9,-8.8,-68.6,-1.6,63.6,24,-11.3,5.3,-27.3,NA,5.7,-3.2,-6.9,500,1.9,-1,-4.4,"Hip.","09","C10","Intermediário","AFN","NO","Sala","Curitiba"
0,-10.4,4.3,12.3,-12.3,-37.4,6.2,-22.4,4.3,82.4,NA,5.6,-3.6,0,6.3,-0.5,-0.7,-3.4,"Hip.","09","C10","Intermediário","AFN","SE","Dorm. 1","Curitiba"
0,-9.1,2.6,14.3,0,-35.2,-14.2,-17.7,4.3,88.2,NA,5.3,-3.3,0,29.8,-1.9,0.3,-5.1,"Hip.","09","C10","Intermediário","AFN","SE","Dorm. 2","Curitiba"
0,-11.8,4.3,11.4,-10.3,-40,16.7,-33.3,5,-38.9,NA,5.3,-4.2,0,65.5,-2.3,0.3,-5.3,"Hip.","09","C10","Intermediário","AFN","SE","Sala","Curitiba"
0,-11.6,1.4,12.3,1.2,-37.4,-20.2,-25.9,6.4,82.4,NA,7.2,-3.6,-50,7.8,-0.5,-0.7,-4.1,"Hip.","09","C10","Intermediário","AFN","SO","Dorm. 1","Curitiba"
