"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0.2,-11.6,0,2,7.3,Inf,-22.2,-12.7,2.2,114.3,0,3.3,-3.4,-15.4,1,0.1,-0.6,0.8,"Hip.","09","C10","Cobertura","AFN","L","Dorm. N","Curitiba"
0,-4.1,0,0,-7.1,0.9,-18.5,-13.9,-1.9,76.2,NA,0.8,0,-11.1,-3.2,0.8,-0.3,2.6,"Hip.","09","C10","Cobertura","AFN","L","Dorm. S","Curitiba"
0.2,-18.1,-5.3,200,-1.8,2.6,-32.5,-4.3,0,-32.1,NA,3.1,0,-3.9,2.1,1.5,-0.3,2.4,"Hip.","09","C10","Cobertura","AFN","L","Sala","Curitiba"
0.3,-15.9,-1.4,-52.6,-8,800,-0.9,-21.1,4.3,87.5,0,7.9,-3.2,-40,7.6,0,-1.6,-0.7,"Hip.","09","C10","Cobertura","AFN","NE","Dorm. 1","Curitiba"
0.3,-17,0,-54.7,-3.1,700,-19.1,-20.5,8.7,83.3,0,9.3,-5.9,-37.5,13,-0.2,-1.6,-0.7,"Hip.","09","C10","Cobertura","AFN","NE","Dorm. 2","Curitiba"
0.5,-16.3,1.5,-52.8,16.3,50,0,-8.9,7.1,-28.1,NA,5.8,-3.3,-9.5,0,4.4,-1.3,0,"Hip.","09","C10","Cobertura","AFN","NE","Sala","Curitiba"
0.3,-16.9,-1.4,-52.6,-3.6,700,-13.8,-23.7,6.4,76,0,8.9,-6.5,-43.8,7.7,0.1,-1.6,0,"Hip.","09","C10","Cobertura","AFN","NO","Dorm. 1","Curitiba"
0.3,-16.7,0,-54.7,-20.7,700,-0.6,-20,8.7,87.5,0,9.3,-5.9,-43.8,13,-0.1,-1.6,-0.7,"Hip.","09","C10","Cobertura","AFN","NO","Dorm. 2","Curitiba"
0.5,-16.3,1.5,-52.8,-1.7,50,20.4,-8.3,7.1,-28.1,NA,5.8,-3.3,-9.5,0,4.4,-1.3,0,"Hip.","09","C10","Cobertura","AFN","NO","Sala","Curitiba"
0.3,-12.8,0,9.1,-13.3,-34.4,2.5,-23.1,4,76.5,NA,6.6,-3.7,-37.5,3.5,-0.1,-1.9,0,"Hip.","09","C10","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0,-11.9,0,12.2,-3.4,-34.1,-17.6,-19.7,6,82.4,NA,6.8,-3.4,-37.5,6.3,-0.4,-1.6,-0.7,"Hip.","09","C10","Cobertura","AFN","SE","Dorm. 2","Curitiba"
0.3,-14.5,3.2,10,-6.1,-31.3,6.7,-23.3,6.6,-42.9,NA,5.4,-4.2,-7.8,7.4,1.9,-0.9,-0.8,"Hip.","09","C10","Cobertura","AFN","SE","Sala","Curitiba"
0.3,-14,-1.4,9.1,-3.7,-34.4,-19,-26.2,4,76.5,NA,7.8,-3.7,-44.4,10,-0.7,-1.9,0,"Hip.","09","C10","Cobertura","AFN","SO","Dorm. 1","Curitiba"
0,-11.9,0,10.2,-20.2,-34.1,0,-19.7,6,82.4,NA,6.8,-3.4,-37.5,7.4,-0.4,-1.6,-0.7,"Hip.","09","C10","Cobertura","AFN","SO","Dorm. 2","Curitiba"
0.3,-14.5,3.2,10,3.3,-30.3,-5.9,-23.3,6.6,-42.9,NA,5.4,-4.2,-8.2,7.4,1.9,-0.9,-0.8,"Hip.","09","C10","Cobertura","AFN","SO","Sala","Curitiba"
0.2,-13.2,0,0.8,-24.8,50,75,-11.4,2.1,104.2,0,3.7,0,-16.7,1.1,0.5,-0.6,1.6,"Hip.","09","C10","Cobertura","AFN","O","Dorm. N","Curitiba"
0,-7.1,0,1.3,-21.3,0,0,-10.2,-1.9,64,NA,1.7,0,-11.1,-2.9,0.6,-0.3,1.7,"Hip.","09","C10","Cobertura","AFN","O","Dorm. S","Curitiba"
0.2,-15.7,-3.2,186.7,-37.2,19.5,-25,3.8,0,-23.5,-100,1.2,0,-2.3,-4.9,1.5,0,2.3,"Hip.","09","C10","Cobertura","AFN","O","Sala","Curitiba"
0.6,-12.4,2.6,-0.8,33.3,27.3,-22.2,-8.1,2.4,112.5,NA,3.4,-2.7,-2.6,NA,4.2,-0.5,0,"Hip.","09","C10","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
0,-4.3,1.2,2.1,3.3,-1.4,-19.4,-7.5,0,69.2,NA,0.7,0,-0.6,NA,0.6,-0.8,0.5,"Hip.","09","C10","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
0.3,-15.9,-5.8,108.7,-125,1.9,-15.6,3.6,-2.1,-30.8,NA,1.1,-3.3,-0.8,NA,4.5,-0.3,1.5,"Hip.","09","C10","Cobertura","AFN","L","Sala","Rio de Janeiro"
