"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,-17.8,-9.5,-5.2,-3.3,-4.5,-25,-11.1,3.6,100,NA,5.5,-2.9,200,Inf,-1.4,0.3,-8.4,"Hip.","09","SF","Térreo","AFN","L","Dorm. N","Curitiba"
-0.2,-30.9,13,-10.3,-4.3,-6.1,-25.8,-12.7,4.8,62.1,NA,7.9,-6.1,Inf,500,-1.7,2.3,-5.2,"Hip.","09","SF","Térreo","AFN","L","Dorm. S","Curitiba"
0.2,-28.4,-17.1,-2.4,-10.4,-12.8,-1.2,-5.5,5.5,-36.4,NA,6.4,-6.5,2,NA,-0.7,3.1,-9.3,"Hip.","09","SF","Térreo","AFN","L","Sala","Curitiba"
-0.3,-5,-12.9,-8.6,-24.8,-3.7,-3.4,-10.6,3.8,92.3,NA,4.3,-2.9,300,Inf,-0.8,0.6,-8.3,"Hip.","09","SF","Térreo","AFN","NE","Dorm. 1","Curitiba"
0,-5.8,-13.3,-9.3,-5.3,-5.3,-20.1,-11,5.9,80.8,NA,5.5,-2.8,200,Inf,-0.7,0,-11,"Hip.","09","SF","Térreo","AFN","NE","Dorm. 2","Curitiba"
-0.3,18.2,-18.9,7.3,0,-3.6,-4.3,0.4,3.3,-31.6,NA,2.4,-3,3,NA,-1.3,0.6,-7,"Hip.","09","SF","Térreo","AFN","NE","Sala","Curitiba"
-0.3,-6.4,-12.9,-9.4,-4.5,-3.7,-25.2,-11.3,3.8,85.2,NA,4.6,-2.9,200,Inf,-0.8,0.6,-9.9,"Hip.","09","SF","Térreo","AFN","NO","Dorm. 1","Curitiba"
0,-3.9,-13.3,-8.4,-19.6,-5.3,-4.6,-11,5.9,80.8,NA,5.2,-2.8,200,Inf,-0.7,0.3,-10.4,"Hip.","09","SF","Térreo","AFN","NO","Dorm. 2","Curitiba"
-0.3,18.2,-18.9,7.3,-4.2,-3.6,-1.5,0.4,3.3,-31.6,NA,2.4,-3,2.6,NA,-1.1,0.6,-7,"Hip.","09","SF","Térreo","AFN","NO","Sala","Curitiba"
0,-37.4,9.5,-14,-30.5,-18.6,-10.3,-19.5,8.5,75,NA,12.9,-9.4,Inf,Inf,-1.6,3.1,-4.6,"Hip.","09","SF","Térreo","AFN","SE","Dorm. 1","Curitiba"
