"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47,20.4,5.8,10.9,1.7,2.4,11.1,26.1,-5,5.1,0.1,-100.6,3,1.7,7.8,90.5,32.8,13.5,"Hip.","09","TV","Cobertura","AFN","L","Dorm. N","Curitiba"
47.2,13.4,5.7,-2.3,1.6,10.6,7.8,17.7,-5.7,4.3,0,-85.7,2.7,1.3,11.5,87.2,32.6,12.7,"Hip.","09","TV","Cobertura","AFN","L","Dorm. S","Curitiba"
50.2,15.4,5.2,4,-0.5,4.3,6.8,14.6,-6.5,2.1,0,-80.6,2.8,30.6,3.3,66.1,32.8,13.6,"Hip.","09","TV","Cobertura","AFN","L","Sala","Curitiba"
36.1,23.4,6.9,10.4,9.2,3.3,10.5,33.4,-4.9,4.8,0,-101.7,3.1,1.5,5.8,92.8,32.1,14.6,"Hip.","09","TV","Cobertura","AFN","NE","Dorm. 1","Curitiba"
36.1,24.4,7.3,8,15.1,2.5,13.7,39.3,-4.7,4.7,0,-108.7,3.3,1.5,4.9,93.6,31.9,15.1,"Hip.","09","TV","Cobertura","AFN","NE","Dorm. 2","Curitiba"
38.8,22.6,6.7,5.8,6.4,2.3,6.4,20.8,-5.8,2.4,0,-86.6,3,33.9,1.1,65,31.9,14.3,"Hip.","09","TV","Cobertura","AFN","NE","Sala","Curitiba"
36.1,23.3,6.8,10.3,10.3,3.3,9.3,33.2,-4.9,4.8,0,-101.9,3.1,1.5,5.8,92.7,32.1,14.6,"Hip.","09","TV","Cobertura","AFN","NO","Dorm. 1","Curitiba"
36.1,24.4,7.4,8,13.8,2.5,15.1,39.4,-4.7,4.7,0,-108.7,3.3,1.5,5,93.6,31.9,15.1,"Hip.","09","TV","Cobertura","AFN","NO","Dorm. 2","Curitiba"
38.8,22.6,6.7,5.8,6.4,2.3,6.4,20.8,-5.8,2.4,0,-86.6,3,33.9,1.1,65,31.9,14.3,"Hip.","09","TV","Cobertura","AFN","NO","Sala","Curitiba"
36.3,14.2,6.9,-1.3,6.7,10.5,7.9,23.8,-5.3,3.4,0,-81.4,2.7,0.9,9.5,89.5,31.6,13.7,"Hip.","09","TV","Cobertura","AFN","SE","Dorm. 1","Curitiba"
36.4,15.2,7.2,-0.8,11,8.2,9.8,28.3,-5.1,3.4,0,-86.8,2.9,0.9,8.5,90.5,31.5,14.2,"Hip.","09","TV","Cobertura","AFN","SE","Dorm. 2","Curitiba"
