"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,-13.7,2.1,6.4,100,7.5,-18.9,-4.9,0,125,NA,0.8,-3.1,200,26,-1.6,1.6,-4.5,"Hip.","10","C10","Térreo","AFN","L","Dorm. N","Curitiba"
-0.2,-27.1,33.3,9.2,37.5,3.8,-14.6,3.6,2,80,NA,2.1,-3.4,Inf,27.4,-2.4,2.4,-4,"Hip.","10","C10","Térreo","AFN","L","Dorm. S","Curitiba"
-0.4,-1.1,-100,190,-17.6,-5.7,16.4,31.8,-5.5,18.2,NA,100,2739981.5,10.6,0,-1.8,4,-3.1,"Hip.","10","C10","Térreo","AFN","L","Sala","Curitiba"
-0.3,-1.2,-100,-20.9,-12.3,-2,6.9,-8.5,-2.8,178.3,NA,100,2634497,-100,125,-1,1.7,-12.6,"Hip.","10","C10","Térreo","AFN","NE","Dorm. 1","Curitiba"
-0.3,1.8,-100,-25.2,1.3,0,-15.9,-10.9,-2.9,170.8,NA,100,2574350,-100,533.3,-1.5,1.4,-10.9,"Hip.","10","C10","Térreo","AFN","NE","Dorm. 2","Curitiba"
-0.5,40.5,-100,23.9,17.4,-21.7,3.8,10.2,-8.7,7.1,NA,100,3709975.9,11.5,Inf,-2.1,2.7,-3,"Hip.","10","C10","Térreo","AFN","NE","Sala","Curitiba"
-0.3,-0.6,-100,-20.9,3.9,0,-17.5,-10.8,-2.8,166.7,NA,100,2632981.8,-100,112.5,-0.8,1.7,-8.9,"Hip.","10","C10","Térreo","AFN","NO","Dorm. 1","Curitiba"
-0.3,1.8,-100,-25.2,-17,0,3.3,-10.9,-2.9,170.8,NA,100,2573947.2,-100,500,-1.4,1.4,-14.7,"Hip.","10","C10","Térreo","AFN","NO","Dorm. 2","Curitiba"
-0.5,40.5,-100,23.9,3.8,-21.7,17.4,10.2,-8.7,7.1,NA,100,3709975.9,11.5,Inf,-2.1,2.7,-3,"Hip.","10","C10","Térreo","AFN","NO","Sala","Curitiba"
0,-25.8,-100,13.2,-19.5,-30.1,5.4,-19.5,2.2,187.5,NA,100,2245553.3,NA,46.7,-1.4,2.5,-6.7,"Hip.","10","C10","Térreo","AFN","SE","Dorm. 1","Curitiba"
0,-23.1,-100,16.2,-1.8,-32.4,-17.7,-17.6,4.5,182.4,NA,100,2264075,NA,141.7,-1.7,2.9,-9,"Hip.","10","C10","Térreo","AFN","SE","Dorm. 2","Curitiba"
-0.2,-12.5,-100,9.1,-7.4,0,8.3,16.7,1.7,6.2,NA,100,3051140,71.2,200,-5.1,5.6,-6.1,"Hip.","10","C10","Térreo","AFN","SE","Sala","Curitiba"
0,-26,-100,13.2,0,-30.1,-25.6,-23,2.2,181.2,NA,100,2242223.3,NA,55.2,-1.6,2.2,-7.4,"Hip.","10","C10","Térreo","AFN","SO","Dorm. 1","Curitiba"
0,-23.1,-100,13.5,-19.5,-32.4,0,-17.8,4.5,182.4,NA,100,2266556.2,NA,133.3,-1.6,2.9,-8.4,"Hip.","10","C10","Térreo","AFN","SO","Dorm. 2","Curitiba"
-0.2,-12.5,-100,9.1,4.2,0,-3.7,16.7,1.7,6.2,NA,100,3051140,71.2,200,-5,5.6,-6.7,"Hip.","10","C10","Térreo","AFN","SO","Sala","Curitiba"
-0.2,-12.5,1.9,4.5,-20.9,5.3,1.8,-5.6,-2.5,104.2,NA,0.9,-3,42.9,28.9,-1.7,0.9,-4.5,"Hip.","10","C10","Térreo","AFN","O","Dorm. N","Curitiba"
-0.2,-26.8,28.6,9.2,-18.5,3.3,7.4,0.5,2,73.9,NA,2.2,0,50,27.3,-2.3,2.6,-5.3,"Hip.","10","C10","Térreo","AFN","O","Dorm. S","Curitiba"
-0.8,11.6,-100,150,19.4,10,-30.3,18.3,-8,19.4,NA,100,3077227.6,-7.2,-50,2.4,3.8,-3.7,"Hip.","10","C10","Térreo","AFN","O","Sala","Curitiba"
-0.3,-6.4,1.8,4.5,3,3.3,-17.7,-4.4,0,116.7,NA,-0.3,0,-1.9,NA,3.4,0.6,-1,"Hip.","10","C10","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
0,-22.8,28.6,15.8,6.2,3.2,-14.9,0.7,2.4,72,NA,1.3,-2.6,-2.6,NA,3.5,1.4,-1.5,"Hip.","10","C10","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
-1,11.5,-100,114.3,-40,2,25,17.4,-11.6,18.7,NA,100,2806496.7,-9.5,NA,59.4,3.9,-6.6,"Hip.","10","C10","Térreo","AFN","L","Sala","Rio de Janeiro"
