"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,-2,0.1,0.3,0.2,0.2,-3.1,-2.4,0,2.7,0,1.9,0,0.1,0.5,-0.6,0.1,-0.3,"Hip.","10","C10","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.1,-0.3,0.8,0,0,0.4,-1,-0.6,0,1.6,0,-1.7,0,0.1,-0.2,0.1,0.1,0.2,"Hip.","10","C10","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.1,-1.1,-6.7,2.6,-1.1,0,1.2,2.6,-0.4,0.5,0,73.6,79428.7,-3.9,-2.7,6.6,0.7,0.5,"Hip.","10","C10","Intermediário","AFN","L","Sala","Curitiba"
0,-2.7,-12.4,-4.4,-0.8,0.1,0,-5,0.1,4.1,-0.1,111.8,90321.6,-0.8,-0.8,1.7,-0.1,-0.9,"Hip.","10","C10","Intermediário","AFN","NE","Dorm. 1","Curitiba"
0.1,-3.3,-13.6,-3.7,-0.5,0.3,-3.5,-7.5,0.1,4.2,-0.1,124.6,98254,-0.9,0.2,0.6,0,-1.9,"Hip.","10","C10","Intermediário","AFN","NE","Dorm. 2","Curitiba"
0,-2.1,-11.4,0.8,0.8,0,-0.1,1.5,0,0,0,86.4,118774.3,-7.7,0.2,7.4,-0.1,-0.2,"Hip.","10","C10","Intermediário","AFN","NE","Sala","Curitiba"
0.1,-3,-12.6,-4.5,-0.4,0.1,-1.6,-6.3,0.1,4,-0.1,113.2,90307.1,-0.9,-0.8,1.6,-0.1,-0.9,"Hip.","10","C10","Intermediário","AFN","NO","Dorm. 1","Curitiba"
0.1,-3.2,-13.6,-3.7,-3.9,0.2,0,-7.3,0.1,4.3,-0.1,124.5,98226,-0.9,0.3,0.5,-0.1,-0.6,"Hip.","10","C10","Intermediário","AFN","NO","Dorm. 2","Curitiba"
0,-2.1,-11.4,0.8,-0.3,0,1,1.5,0,0,0,86.4,118774.3,-7.7,0.2,7.4,-0.1,-0.2,"Hip.","10","C10","Intermediário","AFN","NO","Sala","Curitiba"
0,-1.1,-7,0.2,-0.9,-5.6,0.4,-6,0,3.1,0,82,66451,-0.1,-1.4,1.5,-0.1,0,"Hip.","10","C10","Intermediário","AFN","SE","Dorm. 1","Curitiba"
0,-1,-7.8,0.3,-0.1,-4.6,-1.7,-6,0.1,3.3,0,88.9,72121.3,-0.1,-0.9,1,0.2,-0.4,"Hip.","10","C10","Intermediário","AFN","SE","Dorm. 2","Curitiba"
-0.1,-0.4,-4.6,0.1,-0.4,-0.2,0.3,-0.1,0,0.1,0,56.4,78165.9,-1.3,-1.9,3.2,0.6,-0.3,"Hip.","10","C10","Intermediário","AFN","SE","Sala","Curitiba"
0,-1.3,-7.2,0.2,0,-5.6,-1.7,-7.2,0.1,3,0,83.4,66493.7,-0.2,-1.2,1.4,-0.1,-0.2,"Hip.","10","C10","Intermediário","AFN","SO","Dorm. 1","Curitiba"
0,-1,-7.8,0.3,-2,-4.5,0.4,-5.9,0.1,3.3,0,89,72150.7,-0.1,-1,1.1,0.2,-0.4,"Hip.","10","C10","Intermediário","AFN","SO","Dorm. 2","Curitiba"
-0.1,-0.4,-4.6,0.1,0,-0.2,-0.3,-0.1,0,0.1,0,56.5,78165.9,-1.3,-1.9,3.2,0.6,-0.3,"Hip.","10","C10","Intermediário","AFN","SO","Sala","Curitiba"
0,-2.5,0,0.2,-3.7,0.1,0.2,-3.1,0,2.8,0,2.9,-0.1,-0.1,0.4,-0.3,-0.1,-0.3,"Hip.","10","C10","Intermediário","AFN","O","Dorm. N","Curitiba"
0,-0.6,0.8,0.1,-1.4,0.3,0,-1.1,0,1.7,0,-0.4,0,0.1,0,-0.1,0.2,-0.1,"Hip.","10","C10","Intermediário","AFN","O","Dorm. S","Curitiba"
-0.4,-1.7,-9.5,2.9,1.1,0.6,-1.5,3.2,-0.5,0.7,0,88,95625.6,-6.8,-2.2,9,0.3,0.1,"Hip.","10","C10","Intermediário","AFN","O","Sala","Curitiba"
0.1,-2.3,0.1,0.1,0.4,0.4,-3.4,-2.5,0.1,3,0,2.1,0,-1.3,0,1.3,0.2,0,"Hip.","10","C10","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-0.1,-0.4,0.8,0.1,0,0.1,-1.3,-1.1,-0.1,1.8,0,-1.2,0,0.1,0,-0.1,0.1,0,"Hip.","10","C10","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
-0.4,-1.5,-10,2.9,-1.6,0.1,2,3.3,-0.6,0.6,0,83,91496.4,-6.1,0,6.1,0.6,0.1,"Hip.","10","C10","Intermediário","AFN","L","Sala","Rio de Janeiro"
0.1,-2.7,-13.7,-3.8,-1.3,0.4,-0.1,-4.9,0.1,4.6,0,112.4,90687.4,-17.5,0,17.5,-0.3,-1.1,"Hip.","10","C10","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
0.1,-2.8,-14.6,-3.3,0.1,0.4,-3.5,-6.3,0.1,4.7,0,123.3,98444.4,-19.9,0,19.9,-0.4,-1.4,"Hip.","10","C10","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.2,-1.9,-13.6,1,1.2,-0.2,-0.1,1.8,-0.1,0,0,94.3,130576.7,-8.8,0,8.8,-0.2,-0.7,"Hip.","10","C10","Intermediário","AFN","NE","Sala","Rio de Janeiro"
0.1,-2.7,-13.6,-3.9,-0.1,0.3,-1.4,-5.1,0.1,4.6,0,112.5,90661.8,-17.4,0,17.4,-0.2,-1.1,"Hip.","10","C10","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
0.1,-2.7,-14.6,-3.3,-3.3,0.4,0.1,-6.1,0.1,4.7,0,123.3,98515.8,-20.1,0,20.1,-0.4,-1.4,"Hip.","10","C10","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.2,-1.9,-13.6,1,-0.1,-0.2,1.1,1.9,-0.1,0,0,94.2,130576.7,-8.8,0,8.8,-0.2,-0.7,"Hip.","10","C10","Intermediário","AFN","NO","Sala","Rio de Janeiro"
0.1,-1,-8.4,0.3,-1.8,-5.7,0.2,-7,0.1,3.6,0,86.2,70428.7,-10.2,0,10.2,-0.2,-0.8,"Hip.","10","C10","Intermediário","AFN","SE","Dorm. 1","Rio de Janeiro"
0,-0.7,-9,0.3,0.3,-4.9,-1.9,-6.1,0.1,3.8,0,91.8,75683.2,-10.3,0,10.3,0,-1,"Hip.","10","C10","Intermediário","AFN","SE","Dorm. 2","Rio de Janeiro"
0,0.4,-6.4,0.3,-0.2,0,0.4,0.5,0.1,0.2,0,60.3,85200.6,-6,0,6,0.3,-1,"Hip.","10","C10","Intermediário","AFN","SE","Sala","Rio de Janeiro"
0.1,-1.1,-8.4,0.3,0.1,-5.7,-1.9,-7.2,0,3.6,0,86.4,70393,-10.2,0,10.2,-0.2,-0.8,"Hip.","10","C10","Intermediário","AFN","SO","Dorm. 1","Rio de Janeiro"
0,-0.6,-9,0.3,-1.8,-4.8,0.3,-6,0,3.9,0,91.8,75767.6,-10.4,0,10.4,0.1,-1,"Hip.","10","C10","Intermediário","AFN","SO","Dorm. 2","Rio de Janeiro"
