"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0.3,-6.7,0.4,-0.4,-0.3,-0.3,-3.2,-4.2,0.4,2.8,0,8.8,-0.1,-1.2,0.4,0.8,-0.5,-0.1,"Hip.","10","SF","Cobertura","AFN","L","Dorm. N","Curitiba"
0.1,-2,0.1,0,0,-0.1,-1.6,-1.8,0.1,1.8,0,2.6,0,-0.6,-0.9,1.4,-0.7,0.3,"Hip.","10","SF","Cobertura","AFN","L","Dorm. S","Curitiba"
0.3,-5.1,-0.1,0.1,-0.4,-0.5,-0.7,-1.6,0.2,-0.1,0,4.1,0,-3.1,-0.5,3.5,-0.6,0.3,"Hip.","10","SF","Cobertura","AFN","L","Sala","Curitiba"
0.1,-7.7,-4.3,-3.3,-3,-0.6,-0.6,-7.4,0.5,4,0,109.8,83288.8,-3.1,-1.1,4,-1.2,-0.3,"Hip.","10","SF","Cobertura","AFN","NE","Dorm. 1","Curitiba"
0.2,-8.2,-4.7,-3.1,-1.3,-0.5,-3.7,-8.4,0.6,3.6,0,115,85733.1,-3,-0.8,3.8,-1.1,-0.8,"Hip.","10","SF","Cobertura","AFN","NE","Dorm. 2","Curitiba"
0.3,-7,0.2,-0.7,-0.3,-0.3,-0.6,-1.9,0.6,-0.4,0,6.5,-0.1,-3.3,-0.1,3.4,-0.9,0.3,"Hip.","10","SF","Cobertura","AFN","NE","Sala","Curitiba"
0.2,-7.8,-4.4,-3.3,-0.6,-0.6,-3,-7.5,0.5,3.8,0,109.9,83311.8,-3.1,-1.1,4,-1,-0.3,"Hip.","10","SF","Cobertura","AFN","NO","Dorm. 1","Curitiba"
0.2,-8,-4.6,-3,-3.7,-0.5,-1.2,-8.3,0.6,3.7,0,115.1,85691.1,-3,-0.9,3.9,-1.3,-1,"Hip.","10","SF","Cobertura","AFN","NO","Dorm. 2","Curitiba"
0.3,-7,0.2,-0.7,-0.6,-0.3,-0.3,-2,0.6,-0.4,0,6.6,-0.1,-3.3,-0.1,3.5,-0.9,0.3,"Hip.","10","SF","Cobertura","AFN","NO","Sala","Curitiba"
0,-2.1,-5.7,-0.1,-1.7,-2.5,0,-4.4,0.1,3.4,0,84.6,69009.2,-1.8,-2.2,3.9,-1,0.2,"Hip.","10","SF","Cobertura","AFN","SE","Dorm. 1","Curitiba"
