"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47,22.5,3.2,9.1,8.4,5.9,9.2,32.6,-6.7,5.4,0,-103.4,3.1,2,5.6,92.4,34.9,14.9,"Hip.","10","SF","Cobertura","AFN","L","Dorm. N","Curitiba"
47.2,15.1,4.3,2.9,5.8,7.3,6.5,22.5,-7,4.6,0,-88.8,2.8,1.6,7.7,90.7,34.7,14.2,"Hip.","10","SF","Cobertura","AFN","L","Dorm. S","Curitiba"
49.3,20.1,0,5.6,6.2,5.6,9.9,27.2,-7.4,4.1,0,0,100281.9,27.2,0.1,72.7,34.5,14.2,"Hip.","10","SF","Cobertura","AFN","L","Sala","Curitiba"
36.1,24.9,0,10.1,7.9,6.9,8.1,33.1,-6.5,6.6,0,0,83292,0.2,3.3,96.4,34.3,15.3,"Hip.","10","SF","Cobertura","AFN","NE","Dorm. 1","Curitiba"
36.2,25.1,0,7.3,12.1,4.9,11.4,35.8,-6.2,6.3,0,0,85736.5,0.2,3.1,96.7,34.4,15.1,"Hip.","10","SF","Cobertura","AFN","NE","Dorm. 2","Curitiba"
38.2,27,0,9.1,8,6.2,7.8,31.1,-6.5,4,0,0,141042.6,28.7,0.2,71.2,33.7,14.8,"Hip.","10","SF","Cobertura","AFN","NE","Sala","Curitiba"
36.1,24.8,0,10.1,8.2,6.9,7.7,32.9,-6.5,6.5,0,0,83315,0.2,3.3,96.4,34.5,15.4,"Hip.","10","SF","Cobertura","AFN","NO","Dorm. 1","Curitiba"
36.2,25.3,0,7.4,11.8,4.9,11.8,35.9,-6.2,6.3,0,0,85694.5,0.2,3,96.8,34.2,14.9,"Hip.","10","SF","Cobertura","AFN","NO","Dorm. 2","Curitiba"
38.2,27,0,9.1,8,6.2,7.8,31.1,-6.5,4,0,0,141042.6,28.7,0.2,71.2,33.7,14.8,"Hip.","10","SF","Cobertura","AFN","NO","Sala","Curitiba"
36.3,16.4,0,3.9,5.6,7.9,6,23.4,-6.6,5.2,0,0,69011.9,0.2,5.6,94.2,34,14.7,"Hip.","10","SF","Cobertura","AFN","SE","Dorm. 1","Curitiba"
36.4,16.8,0,2.7,8.6,5.8,8.2,25.3,-6.3,5.1,0,0,70893.1,0.2,5.4,94.4,34,14.9,"Hip.","10","SF","Cobertura","AFN","SE","Dorm. 2","Curitiba"
39,15.8,0,3.1,5.1,6.4,5,19.7,-6.9,2.7,0,0,106770.5,21.7,0.7,77.6,34,13.9,"Hip.","10","SF","Cobertura","AFN","SE","Sala","Curitiba"
36.3,16.3,0,3.9,6,7.9,5.6,23.4,-6.6,5.2,0,0,69157.6,0.2,5.7,94.1,34.1,14.6,"Hip.","10","SF","Cobertura","AFN","SO","Dorm. 1","Curitiba"
