"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,-14,-0.9,2.9,0,4.3,-21.5,-7.5,0,108.3,NA,2.3,0,100,95.5,-2.4,1,-5.4,"Hip.","10","TV","Térreo","AFN","L","Dorm. N","Curitiba"
-0.2,-27.3,24.1,15.8,12.1,1,-18.7,-4,3.8,70.8,NA,3.7,-3.2,100,69.2,-3,2.4,-6.1,"Hip.","10","TV","Térreo","AFN","L","Dorm. S","Curitiba"
-0.4,1.2,-2.4,50,-Inf,-2.6,6.2,10.2,-5,12,NA,-2.3,0,34.5,Inf,-7.2,3.7,-4.7,"Hip.","10","TV","Térreo","AFN","L","Sala","Curitiba"
-0.3,-3.8,-100,-20.3,-18.4,0,4,-11.1,0,172,NA,100,2644905.9,-100,1500,-1.4,1.3,-14.1,"Hip.","10","TV","Térreo","AFN","NE","Dorm. 1","Curitiba"
-0.3,-1.6,-100,-25.7,-1.3,0,-18.1,-12.9,2.6,161.5,NA,100,2623791.7,-100,Inf,-1.8,1,-14.5,"Hip.","10","TV","Térreo","AFN","NE","Dorm. 2","Curitiba"
-0.5,36.6,-10.4,8.1,8.9,-2.7,1.7,4.7,-3.9,0,NA,-3.2,0,23.8,NA,-5.7,1.3,-4,"Hip.","10","TV","Térreo","AFN","NE","Sala","Curitiba"
-0.3,-3.8,-100,-20.3,2,0,-20.5,-12.4,0,161.5,NA,100,2642582.4,-100,1500,-1.4,1.3,-13.5,"Hip.","10","TV","Térreo","AFN","NO","Dorm. 1","Curitiba"
-0.3,-1.1,-100,-25.7,-18.5,0,0,-12.7,2.6,172,NA,100,2625483.3,-100,Inf,-1.9,1,-15.2,"Hip.","10","TV","Térreo","AFN","NO","Dorm. 2","Curitiba"
-0.5,36.6,-10.4,8.1,1.7,-2.7,9.1,4.7,-3.9,0,NA,-3.2,0,23.8,NA,-5.7,1.3,-4,"Hip.","10","TV","Térreo","AFN","NO","Sala","Curitiba"
-0.3,-26.9,-100,16.7,-22.9,-28.9,0,-19.2,4.1,177.8,NA,100,2316838.7,NA,266.7,-1.6,2.5,-9.5,"Hip.","10","TV","Térreo","AFN","SE","Dorm. 1","Curitiba"
-0.3,-25.4,-100,50,-4.5,-32.1,-20.3,-18.4,4.3,173.7,NA,100,2297763.6,NA,433.3,-1.3,2.9,-15.3,"Hip.","10","TV","Térreo","AFN","SE","Dorm. 2","Curitiba"
-0.2,-14.3,11.3,16,-3.1,-5.9,3.3,3.4,1.6,0,NA,0.7,-3.8,61.4,Inf,-6.3,3.1,-6.4,"Hip.","10","TV","Térreo","AFN","SE","Sala","Curitiba"
-0.3,-27.4,-100,0,-1.3,-28.9,-27.3,-21.5,4.1,177.8,NA,100,2316419.4,NA,266.7,-1.6,2.5,-11.2,"Hip.","10","TV","Térreo","AFN","SO","Dorm. 1","Curitiba"
-0.3,-25.4,-100,50,-21.2,-32.1,-3.6,-18.4,4.3,173.7,NA,100,2299757.6,NA,333.3,-1,2.9,-11.8,"Hip.","10","TV","Térreo","AFN","SO","Dorm. 2","Curitiba"
-0.2,-14.3,11.3,16,3.3,-5.9,-3.1,2.3,1.6,0,NA,0.8,-3.8,61.4,Inf,-6.3,3.1,-6.4,"Hip.","10","TV","Térreo","AFN","SO","Sala","Curitiba"
-0.2,-13.8,-1.7,0.9,-23.2,0,0,-8.2,0,100,NA,2.5,-2.9,42.9,110.5,-2.6,0.6,-5.4,"Hip.","10","TV","Térreo","AFN","O","Dorm. N","Curitiba"
-0.2,-27,21.7,12.5,-20,0,4.1,-5.3,1.9,66.7,NA,3.8,-3.1,75,81.8,-3,2.6,-5.6,"Hip.","10","TV","Térreo","AFN","O","Dorm. S","Curitiba"
-0.8,12.9,-5.2,46.9,8.9,6.5,-4,10.6,-9.3,18.2,NA,-4.7,0,20.1,Inf,-7.5,3.8,-5.3,"Hip.","10","TV","Térreo","AFN","O","Sala","Curitiba"
-0.3,-7.6,-0.8,2.6,2.5,4.9,-20,-5.9,2.7,111.1,NA,0.5,0,-3.2,NA,6.8,-0.3,-0.5,"Hip.","10","TV","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
0.3,-22.7,25.8,Inf,7.1,0.9,-17.3,-2.6,2.3,75,NA,2,0,-3.9,NA,5.7,1.7,-1.5,"Hip.","10","TV","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
-1,13.7,0,44.4,-6.5,1.9,12.9,11.3,-10.6,14.3,NA,-6.9,3.2,-1.9,NA,16,3.6,-0.9,"Hip.","10","TV","Térreo","AFN","L","Sala","Rio de Janeiro"
-0.4,1.5,-100,-16.9,-19,1.3,2.8,-9.6,0,177.8,NA,100,2315243.6,-25.1,NA,64.9,0,-9.1,"Hip.","10","TV","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
0,3.4,-100,-21.5,1.3,1.9,-16.1,-10.1,0,177.8,NA,100,2267888.1,-26.9,NA,73.8,-0.3,-9,"Hip.","10","TV","Térreo","AFN","NE","Dorm. 2","Rio de Janeiro"
-1,37.1,-6.5,10.4,11.4,-1.7,4.1,6.4,-7.5,5.3,NA,-5.7,0,0.6,NA,-9.2,0.6,0,"Hip.","10","TV","Térreo","AFN","NE","Sala","Rio de Janeiro"
-0.4,0.5,-100,-16.9,2.8,1.3,-19,-10,0,167.9,NA,100,2312159,-25.2,NA,65.5,0,-9.1,"Hip.","10","TV","Térreo","AFN","NO","Dorm. 1","Rio de Janeiro"
