"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,-2.6,-0.2,0.2,0.1,0.1,-3.5,-3.2,0,3,0,3.4,0,-0.1,0.4,-0.4,0,-0.1,"Hip.","10","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
0,-0.4,0.7,0.1,0.2,0.3,-1.2,-0.6,0,1.9,0,-1.7,0,0.2,-0.3,0.1,0.2,0.1,"Hip.","10","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
0,-1.6,-7.9,1.7,-0.3,-0.2,0.4,1.7,-0.3,0.4,0,83,87553.9,-6.8,-0.3,7.2,0.8,0.1,"Hip.","10","TV","Intermediário","AFN","L","Sala","Curitiba"
0,-3.5,-13.8,-4.4,-2.2,-0.1,-0.2,-6.9,0.1,4.4,0,121.9,96456.1,-1.4,-0.1,1.5,-0.3,-1.4,"Hip.","10","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
0.1,-3.9,-14.8,-4,-1,0,-4.1,-9,0.2,4.4,0,133.1,103149.8,-1.4,1.3,0.2,-0.3,-2.1,"Hip.","10","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
0,-2.7,-12.5,0.2,0.3,0,-0.3,0.2,0.1,-0.1,0,96.2,129258.9,-12.8,0,12.8,-0.4,-0.3,"Hip.","10","TV","Intermediário","AFN","NE","Sala","Curitiba"
0,-3.7,-13.9,-4.5,-0.4,-0.1,-2.6,-7.6,0.1,4.3,0,122.7,96510.4,-1.4,0,1.5,-0.3,-1.9,"Hip.","10","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
0.1,-3.8,-14.8,-4,-4.3,0,-0.7,-8.9,0.2,4.4,0,133.1,103119.7,-1.5,1.3,0.2,-0.3,-1.8,"Hip.","10","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
0,-2.7,-12.5,0.2,-0.4,0,0.4,0.2,0.1,-0.1,0,96.2,129258.9,-12.9,0,12.9,-0.4,-0.3,"Hip.","10","TV","Intermediário","AFN","NO","Sala","Curitiba"
0,-1,-7.8,0,-1.3,-4.6,0.4,-5.5,0.1,3.5,0,87.7,72057.9,-0.2,-1.6,1.8,0,-0.2,"Hip.","10","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
