"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
42.7111111111111,20.9333333333333,8.55555555555556,6.77777777777778,5.12222222222222,3.6,10.3,25.8,-10.8555555555556,1.23333333333333,0,-2.83333333333333,0,-82.4777777777778,0,92.3555555555556,"Hip.","00","SF","Intermediário","HVAC","L","Dorm. N","Curitiba"
43.0888888888889,10,2.7,-0.511111111111111,1.1,3.92222222222222,4.61111111111111,9.12222222222222,-10.6111111111111,1.32222222222222,0,-2.14444444444444,0,-52.7777777777778,0,60.9222222222222,"Hip.","00","SF","Intermediário","HVAC","L","Dorm. S","Curitiba"
50.8066666666667,26.8133333333333,12.48,7.26,8.91333333333333,8.18,13.54,37.8933333333333,-8.24666666666667,6.54,0.0266666666666667,-2.55333333333333,0,-125.58,0,147.233333333333,"Hip.","00","SF","Intermediário","HVAC","L","Sala","Curitiba"
32.7833333333333,24.0416666666667,10.9916666666667,10.4833333333333,9.31666666666667,5.10833333333333,6.725,31.6416666666667,-10.9333333333333,1.53333333333333,0.00833333333333333,-2.41666666666667,0,-85.4666666666667,0,93.2666666666667,"Hip.","00","SF","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
32.7583333333333,24.6666666666667,11.4416666666667,8.24166666666667,10.6,3.66666666666667,13.175,35.6833333333333,-10.6583333333333,1.54166666666667,0.00833333333333333,-2.26666666666667,0,-90.9,0,98.9,"Hip.","00","SF","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
39.3,36.865,17.465,13.21,0,9.16,11.705,45.455,-7.265,7.03,0.085,-1.465,0,-140.125,0,157.09,"Hip.","00","SF","Intermediário","HVAC","NE","Sala","Curitiba"
32.7833333333333,24.0333333333333,11,10.4916666666667,6.86666666666667,5.11666666666667,9.04166666666667,31.5166666666667,-10.925,1.61666666666667,0.00833333333333333,-2.41666666666667,0,-85.4583333333333,0,93.2583333333333,"Hip.","00","SF","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
32.7583333333333,24.6833333333333,11.4416666666667,8.25,13.5833333333333,3.66666666666667,10.2583333333333,35.7583333333333,-10.6583333333333,1.53333333333333,0.00833333333333333,-2.26666666666667,0,-90.9666666666667,0,98.9666666666667,"Hip.","00","SF","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
39.3,36.88,17.47,13.215,11.985,9.165,0,45.53,-7.265,7.005,0.085,-1.465,0,-140.19,0,157.15,"Hip.","00","SF","Intermediário","HVAC","NO","Sala","Curitiba"
33.05,11,4.20833333333333,0.491666666666667,4.36666666666667,6,3.28333333333333,14.1416666666667,-10.4916666666667,0.741666666666667,0,-1.84166666666667,0,-50,0,56.5916666666667,"Hip.","00","SF","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
32.975,11.4,4.58333333333333,0.416666666666667,4.96666666666667,4.74166666666667,6.275,16.4,-10.275,0.75,0,-1.725,0,-53.2333333333333,0,60.0916666666667,"Hip.","00","SF","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
39.385,17.46,7.595,3.425,0,7.42,5.865,22.545,-8.455,3.635,0.02,-1.29,0,-82.1,0,97.345,"Hip.","00","SF","Intermediário","HVAC","SE","Sala","Curitiba"
33.0416666666667,11.05,4.25833333333333,0.525,3.33333333333333,6.03333333333333,4.39166666666667,14.2833333333333,-10.4916666666667,0.741666666666667,0,-1.84166666666667,0,-50.25,0,56.8666666666667,"Hip.","00","SF","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
32.975,11.4,4.58333333333333,0.425,6.30833333333333,4.74166666666667,4.94166666666667,16.4166666666667,-10.275,0.75,0,-1.725,0,-53.25,0,60.1166666666667,"Hip.","00","SF","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
39.385,17.49,7.615,3.435,5.935,7.43,0,22.605,-8.45,3.64,0.02,-1.29,0,-82.215,0,97.46,"Hip.","00","SF","Intermediário","HVAC","SO","Sala","Curitiba"
42.7,21.7555555555556,9.12222222222222,7.14444444444444,11.1333333333333,3.9,5.78888888888889,27.9777777777778,-10.8222222222222,1.38888888888889,0,-2.84444444444444,0,-85.9666666666667,0,95.7444444444445,"Hip.","00","SF","Intermediário","HVAC","O","Dorm. N","Curitiba"
