"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.8444444444444,15.7444444444444,-1.82222222222222,3.98888888888889,-6.65555555555556,-4.08888888888889,8.18888888888889,1.42222222222222,-8.12222222222222,0.855555555555556,0.0333333333333333,-2.27777777777778,2.12222222222222,-50.3444444444444,2.13333333333333,56.7222222222222,"Hip.","00","TV","Cobertura","HVAC","L","Dorm. N","Curitiba"
44.4888888888889,7.64444444444444,-1.8,-8.5,-6.35555555555556,4.33333333333333,4.36666666666667,-6.15555555555556,-8.41111111111111,1.02222222222222,0.0111111111111111,-2.05555555555556,3.97777777777778,-38.5444444444444,3.97777777777778,43.7333333333333,"Hip.","00","TV","Cobertura","HVAC","L","Dorm. S","Curitiba"
51.1933333333333,24.02,7.50666666666667,5.12,2.21333333333333,7.01333333333333,11.58,25.92,-6.53333333333333,4.91333333333333,0.0333333333333333,-2.54666666666667,0.0266666666666667,-105.7,0.0266666666666667,125.773333333333,"Hip.","00","TV","Cobertura","HVAC","L","Sala","Curitiba"
33.4,19.7833333333333,-1.14166666666667,6.43333333333333,5.94166666666667,-3.5,4.93333333333333,13.8083333333333,-8.48333333333333,1.24166666666667,0.0333333333333333,-1.98333333333333,0.691666666666667,-56.3833333333333,0.691666666666667,62.1,"Hip.","00","TV","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
33.25,21.1083333333333,-1.04166666666667,5.03333333333333,7.49166666666667,-2.475,10.2583333333333,20.3083333333333,-8.46666666666667,1.2,0.0333333333333333,-1.925,0.225,-63.6083333333333,0.225,69.825,"Hip.","00","TV","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
39.48,32.92,8.91,9.545,0,4.215,9.79,32.36,-6.05,5.135,0.12,-1.35,0,-112.85,0,129.31,"Hip.","00","TV","Cobertura","HVAC","NE","Sala","Curitiba"
33.4,19.8666666666667,-1.125,6.46666666666667,5,-3.475,6.15833333333333,14.15,-8.48333333333333,1.33333333333333,0.0333333333333333,-1.98333333333333,0.691666666666667,-56.9,0.691666666666667,62.6416666666667,"Hip.","00","TV","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
33.25,21.1083333333333,-1.04166666666667,5.03333333333333,10.3833333333333,-2.475,7.34166666666667,20.2916666666667,-8.46666666666667,1.19166666666667,0.0333333333333333,-1.91666666666667,0.225,-63.575,0.225,69.7916666666667,"Hip.","00","TV","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
39.48,32.92,8.91,9.545,9.895,4.215,0,32.355,-6.05,5.11,0.12,-1.35,0,-112.82,0,129.275,"Hip.","00","TV","Cobertura","HVAC","NO","Sala","Curitiba"
33.9583333333333,9.60833333333333,-1.05,-7.78333333333333,3.46666666666667,6.8,3.15,5.64166666666667,-8.5,0.691666666666667,0.00833333333333333,-1.76666666666667,2.15833333333333,-40.3666666666667,2.15833333333333,44.9583333333333,"Hip.","00","TV","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
33.775,10.5333333333333,-1.18333333333333,-5.60833333333333,4.48333333333333,5.18333333333333,6,10.0666666666667,-8.525,0.666666666666667,0.00833333333333333,-1.71666666666667,1.29166666666667,-44.35,1.29166666666667,49.3,"Hip.","00","TV","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
39.725,17.155,6.64,-1.58,0,7.71,5.65,17.28,-7.04,3.165,0.03,-1.295,0.065,-76.875,0.065,90.845,"Hip.","00","TV","Cobertura","HVAC","SE","Sala","Curitiba"
33.9333333333333,9.7,-1.05,-7.775,3.175,6.81666666666667,3.8,6.01666666666667,-8.51666666666667,0.691666666666667,0.00833333333333333,-1.775,2.13333333333333,-40.775,2.13333333333333,45.3916666666667,"Hip.","00","TV","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
33.775,10.5333333333333,-1.18333333333333,-5.60833333333333,6.00833333333333,5.18333333333333,4.48333333333333,10.0666666666667,-8.53333333333333,0.666666666666667,0.00833333333333333,-1.71666666666667,1.28333333333333,-44.3666666666667,1.29166666666667,49.3083333333333,"Hip.","00","TV","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
39.725,17.18,6.64,-1.58,5.69,7.715,0,17.31,-7.045,3.17,0.03,-1.295,0.065,-76.925,0.065,90.905,"Hip.","00","TV","Cobertura","HVAC","SO","Sala","Curitiba"
43.7333333333333,17.2888888888889,-1.51111111111111,5,8.92222222222222,-3.77777777777778,-3.7,6.44444444444444,-8.16666666666667,1.08888888888889,0.0555555555555556,-2.33333333333333,2.03333333333333,-57.1444444444444,2.04444444444444,63.7111111111111,"Hip.","00","TV","Cobertura","HVAC","O","Dorm. N","Curitiba"
44.3222222222222,8.88888888888889,-1.62222222222222,-8.22222222222222,4.73333333333333,5.22222222222222,-3.1,-1.36666666666667,-8.55555555555556,1.23333333333333,0.0111111111111111,-2.17777777777778,3.65555555555556,-44.1222222222222,3.66666666666667,49.5333333333333,"Hip.","00","TV","Cobertura","HVAC","O","Dorm. S","Curitiba"
51.14,31.5933333333333,9.49333333333333,6.46,14.18,8.27333333333333,8.22,37.1266666666667,-5.57333333333333,6.3,0.1,-1.22,0.0466666666666667,-130.66,0.0466666666666667,151.373333333333,"Hip.","00","TV","Cobertura","HVAC","O","Sala","Curitiba"
42.5,38.5444444444444,19.9777777777778,18.1777777777778,20.9555555555556,16.0111111111111,25.6777777777778,80.8222222222222,-0.511111111111111,4.28888888888889,0.155555555555556,-0.711111111111111,0,-179.877777777778,0,193.466666666667,"Hip.","00","TV","Cobertura","HVAC","L","Dorm. N","Rio de Janeiro"
42.5666666666667,26.2333333333333,18.5666666666667,9.23333333333333,19.6,16.6111111111111,18.9777777777778,64.4222222222222,-1.38888888888889,4.04444444444444,0.1,-2.33333333333333,0,-151.422222222222,0,166.4,"Hip.","00","TV","Cobertura","HVAC","L","Dorm. S","Rio de Janeiro"
50.72,47.5933333333333,30.8666666666667,14.76,26.0733333333333,16.8666666666667,29.3066666666667,87.0066666666667,1.76666666666667,12.4466666666667,0.146666666666667,-0.54,0,-233.993333333333,0,262.953333333333,"Hip.","00","TV","Cobertura","HVAC","L","Sala","Rio de Janeiro"
32.6833333333333,40.8416666666667,21.2166666666667,26.475,20.5666666666667,17.1916666666667,15.3333333333333,79.5583333333333,-0.166666666666667,3.825,0.133333333333333,-0.55,0,-173.825,0,184.483333333333,"Hip.","00","TV","Cobertura","HVAC","NE","Dorm. 1","Rio de Janeiro"
32.6833333333333,40.4333333333333,21.4,19.975,22.2166666666667,11.8,27.8083333333333,81.8,-0.05,3.74166666666667,0.15,-0.533333333333333,0,-176.083333333333,0,186.825,"Hip.","00","TV","Cobertura","HVAC","NE","Dorm. 2","Rio de Janeiro"
39.26,54.44,32.435,23.025,0,20.72,19.365,82.055,2.4,10.56,0.09,-0.62,0,-224,0,244.355,"Hip.","00","TV","Cobertura","HVAC","NE","Sala","Rio de Janeiro"
32.6833333333333,40.7,21.2166666666667,26.45,15.3,17.1916666666667,20.3416666666667,79.2833333333333,-0.141666666666667,3.84166666666667,0.133333333333333,-0.55,0,-173.475,0,184.116666666667,"Hip.","00","TV","Cobertura","HVAC","NO","Dorm. 1","Rio de Janeiro"
32.6833333333333,40.425,21.4,19.9666666666667,27.7833333333333,11.8,22.2416666666667,81.7916666666667,-0.05,3.725,0.15,-0.533333333333333,0,-176.033333333333,0,186.766666666667,"Hip.","00","TV","Cobertura","HVAC","NO","Dorm. 2","Rio de Janeiro"
39.26,54.42,32.425,23.02,19.48,20.715,0,82.025,2.4,10.525,0.09,-0.62,0,-223.895,0,244.25,"Hip.","00","TV","Cobertura","HVAC","NO","Sala","Rio de Janeiro"
32.7416666666667,26.15,19.6916666666667,10.275,15.7916666666667,23.9666666666667,11.8333333333333,61.8583333333333,-0.858333333333333,2.81666666666667,0.108333333333333,-1.5,0,-140.266666666667,0,152.908333333333,"Hip.","00","TV","Cobertura","HVAC","SE","Dorm. 1","Rio de Janeiro"
32.7416666666667,25.6416666666667,19.7083333333333,6.85,16.8166666666667,17.9666666666667,20.4,62.025,-0.783333333333333,2.83333333333333,0.116666666666667,-1.425,0,-140.091666666667,0,152.808333333333,"Hip.","00","TV","Cobertura","HVAC","SE","Dorm. 2","Rio de Janeiro"
39.31,33.325,28.295,12.135,0,19.295,13.545,58.985,0.78,7.76,0.95,-0.6,0,-171.26,0,198.08,"Hip.","00","TV","Cobertura","HVAC","SE","Sala","Rio de Janeiro"
32.7416666666667,26.0166666666667,19.7,10.2666666666667,11.8083333333333,23.95,15.6,61.6333333333333,-0.825,2.81666666666667,0.108333333333333,-1.48333333333333,0,-139.966666666667,0,152.608333333333,"Hip.","00","TV","Cobertura","HVAC","SO","Dorm. 1","Rio de Janeiro"
32.7416666666667,25.6416666666667,19.7083333333333,6.85,20.3833333333333,17.9666666666667,16.825,62.025,-0.783333333333333,2.83333333333333,0.116666666666667,-1.425,0,-140.091666666667,0,152.808333333333,"Hip.","00","TV","Cobertura","HVAC","SO","Dorm. 2","Rio de Janeiro"
39.31,33.315,28.295,12.14,13.59,19.295,0,58.965,0.785,7.745,0.95,-0.6,0,-171.195,0,198.015,"Hip.","00","TV","Cobertura","HVAC","SO","Sala","Rio de Janeiro"
42.4888888888889,39.0222222222222,20.5333333333333,18.5,26.5333333333333,16.6111111111111,21.4333333333333,83.0888888888889,-0.2,4.32222222222222,0.177777777777778,-0.666666666666667,0,-183.5,0,196.844444444444,"Hip.","00","TV","Cobertura","HVAC","O","Dorm. N","Rio de Janeiro"
42.5666666666667,26.8,19.0666666666667,9.88888888888889,19.8444444444444,16.9888888888889,20.0222222222222,66.7555555555555,-1.14444444444444,4.06666666666667,0.133333333333333,-2.26666666666667,0,-155.077777777778,0,169.888888888889,"Hip.","00","TV","Cobertura","HVAC","O","Dorm. S","Rio de Janeiro"
50.7466666666667,51.9866666666667,32.4666666666667,15.5933333333333,31.72,17.6266666666667,30.56,95.5,2.87333333333333,13.6466666666667,0.06,-0.333333333333333,0,-252.146666666667,0,280.266666666667,"Hip.","00","TV","Cobertura","HVAC","O","Sala","Rio de Janeiro"
43.0555555555556,23.7888888888889,4.83333333333333,9.01111111111111,4.01111111111111,3.16666666666667,14.1444444444444,30.3222222222222,-5.17777777777778,2.06666666666667,0.0666666666666667,-1.41111111111111,0.266666666666667,-95.4222222222222,0.266666666666667,104.666666666667,"Hip.","00","TV","Cobertura","HVAC","L","Dorm. N","São Paulo"
43.4888888888889,14.7111111111111,4.61111111111111,-1.63333333333333,3.97777777777778,8.8,9.6,20.7444444444444,-5.56666666666667,2.12222222222222,0.0111111111111111,-3.16666666666667,0.466666666666667,-76.7777777777778,0.466666666666667,85.3222222222222,"Hip.","00","TV","Cobertura","HVAC","L","Dorm. S","São Paulo"
50.8666666666667,33.5666666666667,14.94,8.83333333333333,11.9733333333333,10.6866666666667,17.84,49.3333333333333,-3.19333333333333,7.72,0.0466666666666667,-1.28,0,-153.92,0,176.533333333333,"Hip.","00","TV","Cobertura","HVAC","L","Sala","São Paulo"
32.975,26.95,5.78333333333333,12.9666666666667,11.125,4.03333333333333,8.425,36.55,-5.175,2.125,0.075,-1.11666666666667,0.0916666666666667,-96.625,0.0916666666666667,104.266666666667,"Hip.","00","TV","Cobertura","HVAC","NE","Dorm. 1","São Paulo"
32.9083333333333,27.6583333333333,6.03333333333333,9.95833333333333,12.4583333333333,2.8,16.2833333333333,41.5,-5.06666666666667,2.05,0.075,-1.075,0.0333333333333333,-102.45,0.0333333333333333,110.433333333333,"Hip.","00","TV","Cobertura","HVAC","NE","Dorm. 2","São Paulo"
39.35,40.44,16.185,14.065,0,10.42,13.125,49.92,-2.66,7.03,0.32,-0.795,0,-151.675,0,169.555,"Hip.","00","TV","Cobertura","HVAC","NE","Sala","São Paulo"
32.975,26.8583333333333,5.78333333333333,12.9583333333333,8.41666666666667,4.04166666666667,10.9916666666667,36.4083333333333,-5.15833333333333,2.15833333333333,0.075,-1.10833333333333,0.0916666666666667,-96.4583333333333,0.0916666666666667,104.1,"Hip.","00","TV","Cobertura","HVAC","NO","Dorm. 1","São Paulo"
32.9083333333333,27.65,6.025,9.95833333333333,16.2833333333333,2.8,12.4416666666667,41.4833333333333,-5.06666666666667,2.04166666666667,0.075,-1.075,0.0333333333333333,-102.408333333333,0.0333333333333333,110.4,"Hip.","00","TV","Cobertura","HVAC","NO","Dorm. 2","São Paulo"
39.35,40.43,16.18,14.065,13.205,10.42,0,49.9,-2.66,7.005,0.32,-0.795,0,-151.605,0,169.48,"Hip.","00","TV","Cobertura","HVAC","NO","Sala","São Paulo"
33.3,15.675,5.43333333333333,-0.791666666666667,7.96666666666667,12.4083333333333,6.15833333333333,25.7416666666667,-5.375,1.425,0.00833333333333333,-2.48333333333333,0.15,-73.2833333333333,0.15,80.4,"Hip.","00","TV","Cobertura","HVAC","SE","Dorm. 1","São Paulo"
33.1833333333333,16.0083333333333,5.325,-0.775,8.73333333333333,9.34166666666667,11.025,28.325,-5.35833333333333,1.41666666666667,0.00833333333333333,-2.45,0.075,-75.8583333333333,0.075,83.1916666666667,"Hip.","00","TV","Cobertura","HVAC","SE","Dorm. 2","São Paulo"
39.425,23.125,13.41,3.935,0,11.585,8.49,32.51,-3.825,4.775,0.12,-1.685,0.005,-109.35,0.005,126.53,"Hip.","00","TV","Cobertura","HVAC","SE","Sala","São Paulo"
33.2916666666667,15.5916666666667,5.44166666666667,-0.791666666666667,6.15,12.4,7.88333333333333,25.6333333333333,-5.35833333333333,1.425,0.0166666666666667,-2.48333333333333,0.15,-73.1166666666667,0.15,80.2416666666667,"Hip.","00","TV","Cobertura","HVAC","SO","Dorm. 1","São Paulo"
