"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
423.9,188.4,52.4,92.5,-37.5,-1.1,136,189.9,-41.5,19.1,0.7,-848.1,2.9,1.4,9.8,88.9,32.7,28.4,"Hip.","01","C10","Cobertura","AFN","L","Dorm. N","Curitiba"
426.3,108.2,52.7,-64.8,-11.4,108.1,70.1,102,-46.5,19.6,0.2,-687.4,2.5,0.9,16,83.1,32.5,27.8,"Hip.","01","C10","Cobertura","AFN","L","Dorm. S","Curitiba"
755.4,260.5,84.5,13.4,-85.8,57.3,142,126.9,-88.1,24.8,0.1,-1127.8,2.6,29.4,5,65.6,32.8,28,"Hip.","01","C10","Cobertura","AFN","L","Sala","Curitiba"
432.8,323.5,86.2,191.7,120.3,-3,144.5,453.5,-57.3,31,0.1,-1280.5,3.1,1.7,6.2,92.1,32.3,28.1,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 1","Curitiba"
432.3,350.6,91.4,160.3,210.1,-6.1,218.6,582.8,-57.6,31.5,0.1,-1440.8,3.5,1.9,4.7,93.4,32.2,28.1,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 2","Curitiba"
775,542,131.3,206.1,0,-44.2,120.4,397.2,-119.2,48.9,0.1,-1762.5,3,34.7,1.7,63.6,32.2,27.7,"Hip.","01","C10","Cobertura","AFN","NE","Sala","Curitiba"
432.5,327.1,86.5,194.1,144.5,-3.7,131.9,466.7,-57.6,32.2,0.1,-1297.7,3.2,1.9,6.1,92,32.4,28.1,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 1","Curitiba"
432.3,350.4,91.4,160.2,219.7,-6.1,208.8,582.6,-57.6,31.3,0.1,-1440.7,3.5,1.9,4.7,93.4,32.1,28.1,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 2","Curitiba"
775,542.3,131.1,206.2,120.2,-44.4,0,397.4,-119.3,48.6,0.1,-1762.8,3,34.6,1.7,63.6,32.2,27.7,"Hip.","01","C10","Cobertura","AFN","NO","Sala","Curitiba"
437.1,160.6,87.9,-70.4,92.4,120.5,93.6,236.2,-56.4,18.8,0.4,-895.8,2.5,0.7,13.4,85.8,31.6,27,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 1","Curitiba"
437.1,174.9,89.9,-53.5,132.5,99.8,133.2,312,-56.8,19.3,0.4,-987.6,2.8,0.7,11.1,88.2,31.4,27,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 2","Curitiba"
798.5,232.4,131,-126.9,0,110.3,55.7,93,-115.3,22.4,0.4,-1150.8,2.3,21.1,6.3,72.5,32.1,26.8,"Hip.","01","C10","Cobertura","AFN","SE","Sala","Curitiba"
436.9,164,88.2,-71.1,93.6,122.8,104.6,249.9,-56.7,18.9,0.4,-912.1,2.5,0.8,12.9,86.3,31.7,27,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 1","Curitiba"
437.1,175.1,89.9,-53.5,133.1,99.9,132.9,312.5,-56.8,19.3,0.4,-988.4,2.8,0.7,11.1,88.2,31.4,27,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 2","Curitiba"
798.4,233.2,130.9,-127.2,55.7,110.6,0,94.3,-115.5,22.6,0.4,-1152.7,2.3,21.2,6.3,72.5,32.2,26.8,"Hip.","01","C10","Cobertura","AFN","SO","Sala","Curitiba"
421.6,208.5,53.4,113.9,136.9,-4.8,2.4,248.4,-43.3,22.9,0.8,-933.2,3.1,2.5,9.1,88.4,33.7,28.8,"Hip.","01","C10","Cobertura","AFN","O","Dorm. N","Curitiba"
424.3,125.7,53.5,-67.7,67.9,129.1,34.5,163.8,-48.6,23.5,0.2,-772,2.7,1.9,13.9,84.2,34.4,28.2,"Hip.","01","C10","Cobertura","AFN","O","Dorm. S","Curitiba"
742.4,350.3,93.7,19.6,186.5,61.3,-12.1,255.2,-86.9,31.9,0.5,-1343.4,2.8,35.7,4.3,60,35.1,28.3,"Hip.","01","C10","Cobertura","AFN","O","Sala","Curitiba"
318.9,214,68.3,110.4,14.9,19,154.1,298.4,-37.8,22.6,0,-897.2,3.7,62.6,0,37.4,38.4,34.4,"Hip.","01","C10","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
327.5,123.6,75.4,-42.5,55.8,130.6,78.2,222.1,-39.5,24.3,0.1,-766.4,3.5,53.3,0,46.7,39.2,33.6,"Hip.","01","C10","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
592,349.3,132.5,32.5,-7.4,82.5,209.2,316.9,-72.7,37.1,0,-1310.5,3,84.2,0,15.8,39.5,34,"Hip.","01","C10","Cobertura","AFN","L","Sala","Rio de Janeiro"
323.7,353.2,108.9,215.4,141.7,26.9,152.5,536.5,-51.2,34,0,-1312.1,3.8,70.7,0,29.3,37.3,34,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 1","Rio de Janeiro"
321.7,376.5,114.8,176.6,221,15.6,241.5,654.7,-51,33.3,0,-1456.8,4.1,73.6,0,26.4,37.2,34,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 2","Rio de Janeiro"
613.2,630.8,199.3,250.5,0,19.9,159.2,581.4,-98.1,63.3,0,-1988.2,3.3,92.3,0,7.7,37.5,33.2,"Hip.","01","C10","Cobertura","AFN","NE","Sala","Rio de Janeiro"
323.7,352.5,109.5,215.2,152.7,28,140.4,536.3,-50.8,34.3,0,-1312.5,3.8,70.8,0,29.2,37.2,34,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 1","Rio de Janeiro"
321.7,376.3,114.8,176.5,241.7,15.6,220.8,654.5,-51.1,33.2,0,-1456.3,4.1,73.6,0,26.4,37.2,34,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 2","Rio de Janeiro"
613.3,630.4,199.2,250.3,159.3,20,0,580.4,-98,62.8,0,-1986.3,3.3,92.2,0,7.8,37.5,33.2,"Hip.","01","C10","Cobertura","AFN","NO","Sala","Rio de Janeiro"
339.6,173.8,121.2,-31,115.3,139.6,100.3,324.2,-43.8,20.5,0.1,-943.8,3.4,53.9,0,46.1,38,32.9,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 1","Rio de Janeiro"
339.2,185,125.5,-23.2,144.8,113.1,150.7,385.5,-42.9,21.4,0.1,-1021.9,3.6,54.7,0,45.3,37.8,32.9,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 2","Rio de Janeiro"
647,249.6,196.2,-78.1,0,139.6,78,218.6,-90.8,30,0,-1244.7,2.8,75,0,25,38.3,32.5,"Hip.","01","C10","Cobertura","AFN","SE","Sala","Rio de Janeiro"
339.6,172.8,121.8,-30.2,100.5,139.3,115.2,324.7,-43.4,20.6,0.1,-944.4,3.4,53.9,0,46.1,37.9,32.8,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 1","Rio de Janeiro"
339.2,185,125.6,-23.1,150.7,113.1,144.8,385.5,-42.9,21.4,0.1,-1021.8,3.6,54.7,0,45.3,37.7,32.9,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 2","Rio de Janeiro"
647.1,249.5,196.3,-78,78.2,139.5,0,218.2,-90.7,29.8,0,-1243.9,2.8,75,0,25,38.3,32.5,"Hip.","01","C10","Cobertura","AFN","SO","Sala","Rio de Janeiro"
316.8,221.3,73.5,115.3,160.2,25.4,15.9,316.7,-36.1,23.6,0.1,-930.7,3.7,63.8,0,36.2,38.8,34.3,"Hip.","01","C10","Cobertura","AFN","O","Dorm. N","Rio de Janeiro"
325.4,130.6,79,-36.3,84,136.7,58.8,243.2,-38.3,25.3,0.1,-800.3,3.6,54.6,0,45.4,39.9,33.4,"Hip.","01","C10","Cobertura","AFN","O","Dorm. S","Rio de Janeiro"
583.5,384,147.9,39.2,222.3,86.6,33.1,381.2,-69.5,42.2,0,-1426.5,3.1,86.3,0,13.7,40,33.5,"Hip.","01","C10","Cobertura","AFN","O","Sala","Rio de Janeiro"
386.2,199.9,47.2,102.3,-3.5,8.9,140.1,247.7,-39.3,20.8,0.4,-883.8,3.5,20.1,2.7,77.3,35.2,31.3,"Hip.","01","C10","Cobertura","AFN","L","Dorm. N","São Paulo"
391.4,120.1,51.4,-50.2,27.9,120.1,73,170.8,-42.1,22.1,0.2,-738.3,3.2,17.1,4.2,78.7,34.6,30.5,"Hip.","01","C10","Cobertura","AFN","L","Dorm. S","São Paulo"
688.9,310.3,80.1,21,-45,65,172.7,213.7,-81.2,29,0,-1192.1,2.8,53.9,0.6,45.4,35,31,"Hip.","01","C10","Cobertura","AFN","L","Sala","São Paulo"
394.2,335.9,80.8,199.7,131.2,14.8,147.2,493,-52.5,32.3,0,-1292.5,3.6,24.4,1.6,74,34.8,30.9,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 1","São Paulo"
393.2,361.1,86.4,165.2,213.8,7.3,225.8,612.1,-52.3,32,0,-1440.7,4,26.3,0.9,72.8,34.7,30.9,"Hip.","01","C10","Cobertura","AFN","NE","Dorm. 2","São Paulo"
711.1,565.3,123.1,214.5,0,-23.1,127.9,442.3,-109.9,51.7,0,-1772.7,3.1,62.6,0.3,37.1,35,30.5,"Hip.","01","C10","Cobertura","AFN","NE","Sala","São Paulo"
394.2,335.8,81.2,199.9,147.4,15.6,131.3,494.1,-52.3,32.9,0,-1294.5,3.6,24.4,1.6,74,34.7,30.9,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 1","São Paulo"
393.2,360.9,86.3,165.1,226.1,7.3,213.4,611.9,-52.3,31.9,0,-1440.1,4,26.3,0.9,72.8,34.7,30.9,"Hip.","01","C10","Cobertura","AFN","NO","Dorm. 2","São Paulo"
711.2,565,123,214.4,127.9,-23,0,441.5,-109.9,51.4,0,-1771.1,3.1,62.6,0.3,37.1,35,30.5,"Hip.","01","C10","Cobertura","AFN","NO","Sala","São Paulo"
402.9,170.9,87.5,-45.8,103.3,127.9,95.2,280.6,-49,19.3,0.2,-921.1,3,17.5,2.8,79.7,33.7,29.6,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 1","São Paulo"
402.9,184.1,91.8,-34,136.9,104.8,139.7,347.4,-48.4,20.1,0.3,-1006.9,3.3,18.5,2,79.5,33.4,29.6,"Hip.","01","C10","Cobertura","AFN","SE","Dorm. 2","São Paulo"
739.5,252.5,130.6,-98.9,0,121.1,63.6,150,-101.9,25.3,0.2,-1185.9,2.5,44.2,0.7,55.1,33.6,29.6,"Hip.","01","C10","Cobertura","AFN","SE","Sala","São Paulo"
402.9,170.8,88,-45.1,95.4,128.1,104.3,282.6,-48.8,19.4,0.2,-923.8,3.1,17.5,2.8,79.7,33.5,29.6,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 1","São Paulo"
402.9,184.1,91.8,-33.9,139.7,104.9,136.9,347.5,-48.4,20.1,0.3,-1007,3.3,18.5,2,79.5,33.4,29.6,"Hip.","01","C10","Cobertura","AFN","SO","Dorm. 2","São Paulo"
739.5,252.4,130.6,-98.8,63.7,121,0,149.7,-101.9,25.2,0.2,-1185.6,2.5,44.2,0.7,55.1,33.6,29.6,"Hip.","01","C10","Cobertura","AFN","SO","Sala","São Paulo"
384.8,208.1,51,107.7,144,13,2.5,267.2,-38.2,21.9,0.4,-918.6,3.5,21.7,2.7,75.6,35.9,31.2,"Hip.","01","C10","Cobertura","AFN","O","Dorm. N","São Paulo"
390.1,127.7,54.9,-44.9,76.3,126.7,38.2,196.4,-41.2,23.2,0.2,-777.1,3.3,18.5,3.9,77.7,34.9,30.5,"Hip.","01","C10","Cobertura","AFN","O","Dorm. S","São Paulo"
682.3,337.1,92.2,25,184.6,67.6,-12.4,264.7,-78.7,33.1,0.1,-1282.5,2.9,56.7,0.6,42.7,35.8,30.6,"Hip.","01","C10","Cobertura","AFN","O","Sala","São Paulo"
